smiles,regression_log_solubility
COC(C)(C)C,-0.24
CC34CCc1c(ccc2cc(O)ccc12)C3CCC4=O,-5.24
CSCS(=O)CC(CO)NC(=O)C=Cc1c(C)[nH]c(=O)[nH]c1=O,-1.9809999999999999
CCCCOc1ccc(C(=O)OCC)c(c1)N(CC)CC ,-3.84
Oc2ccc1CCCCc1c2 ,-1.99
CC1=C(CCCO1)C(=O)Nc2ccccc2 ,-2.56
CC(C)CCOC=O,-1.52
OC(C(=O)c1ccccc1)c2ccccc2,-2.85
Cc1cc(no1)C(=O)NNCc2ccccc2,-2.461
CCc1ccccc1CC,-3.28
CNC(=O)Oc1ccc(N(C)C)c(C)c1,-2.36
c1(O)c(C)ccc(C(C)C)c1,-2.08
O=C1CCC(=O)N1,0.3
CCC,-1.94
CCC(CC)CO,-1.17
c2ccc1ocnc1c2,-1.16
CSc1nc(nc(n1)N(C)C)N(C)C,-2.676
CCCCCCCCCC(=O)OC,-4.69
O=C1NC(=O)NC(=O)C1(CC)C(C)C,-2.148
CNC(=O)ON=C(SC)C(=O)N(C)C,0.106
CCCCCC(=O)OCC,-2.35
CCC1(CCC(=O)NC1=O)c2ccccc2 ,-2.3369999999999997
OCC2OC(Oc1ccccc1CO)C(O)C(O)C2O,-0.85
c1ccc2c(c1)ccc3c2ccc4c5ccccc5ccc43,-7.87
CC(C)C1CCC(C)CC1=O,-2.35
Cc1cc(=O)n(c2ccccc2)n1C,0.715
Cn1cnc2n(C)c(=O)n(C)c(=O)c12,-0.8759999999999999
CCCCCCCCCC(C)O,-2.94
CCCC(=O)OC,-1.92
CCOC(=O)c1cncn1C(C)c2ccccc2,-4.735
c1cc2ccc3ccc4ccc5cccc6c(c1)c2c3c4c56,-9.017999999999999
CCc1ccc(CC)cc1,-3.75
c1cC2C(=O)NC(=O)C2cc1,-2.932
CC(=O)CC(c1ccccc1)c3c(O)c2ccccc2oc3=O ,-3.8930000000000002
COC(C)(C)CCCC(C)CC=CC(C)=CC(=O)OC(C)C,-5.19
CC1(C)C2CCC1(C)C(=O)C2,-1.96
CCCOC(=O)C,-0.72
C1SC(=S)NC1(=O),-1.77
CCC1(C(=O)NC(=O)NC1=O)C2=CCC3CCC2C3,-2.696
O=C1NC(=O)C(=O)C(=O)N1 ,-1.25
OC1CCCCCC1,-0.88
Cc1ccc(O)cc1C,-1.38
Oc1ccc(C=O)cc1,-0.96
CCC(C)C,-3.18
OCC3OC(OCC2OC(OC(C#N)c1ccccc1)C(O)C(O)C2O)C(O)C(O)C3O ,-0.77
CC(C)=CCC/C(C)=C\CO,-2.46
CC1(O)CCC2C3CCC4=CC(=O)CCC4(C)C3CCC21C,-3.9989999999999997
OCC1OC(O)(CO)C(O)C1O,0.64
C1CCCC1,-2.64
CC12CCC(CC1)C(C)(C)O2,-1.74
CCCC(O)C=C,-0.59
CC1=CCCCC1,-3.27
Cc1ccc(O)cc1,-0.73
CN1CC(O)N(C1=O)c2nnc(s2)C(C)(C)C,-1.8769999999999998
CCCCCCCCC,-5.88
O=C2CN(N=Cc1ccc(o1)N(=O)=O)C(=O)N2 ,-3.38
CNC(=O)Oc1cccc(N=CN(C)C)c1,-2.34
CC(=O)OC3CCC4C2CCC1=CC(=O)CCC1(C)C2CCC34C ,-5.184
O=C3CN=C(c1ccccc1)c2cc(ccc2N3)N(=O)=O,-3.7960000000000003
C=CCCC=C,-2.68
CN2C(=O)CN=C(c1ccccc1)c3cc(ccc23)N(=O)=O,-3.7960000000000003
CCCCCCCCCO,-3.01
Oc1ccc(cc1)N(=O)=O,-0.74
CCC(C)CO,-0.47
Cc1c2ccccc2c(C)c3ccc4ccccc4c13,-7.02
CC(=O)c1ccccc1,-1.28
CCNc1nc(NC(C)(C)C)nc(SC)n1,-4.0
O=C1NC(=O)NC(=O)C1(CC=C)CC=C,-2.077
O=C2NC(=O)C1(CCCC1)C(=O)N2,-2.349
CC2(C)C1CCC(C)(C1)C2=O,-1.85
CCC(=O)C,0.52
CCCCS,-2.18
CCC(C)O,0.47
C1C(O)CCC2(C)CC3CCC4(C)C5(C)CC6OCC(C)CC6OC5CC4C3C=C21,-7.32
Cc1c[nH]c(=O)[nH]c1=O ,-1.506
O=C1CNC(=O)N1 ,-0.4
CCCCc1c(C)nc(NCC)nc1OS(=O)(=O)N(C)C ,-4.16
CN(C(=O)NC(C)(C)c1ccccc1)c2ccccc2,-3.35
CCOC(=O)c1ccccc1C(=O)OCC,-2.35
CCN2c1ccccc1N(C)C(=O)c3ccccc23 ,-4.749
c1ccccc1C(O)C(O)c2ccccc2,-1.93
CNC(=O)Oc1ccccc1C(C)C,-2.863
CCCCCCCCCCCCCCCCCCO,-8.4
CN(C)C(=S)SSC(=S)N(C)C ,-3.9
COc1ccc(cc1)N(=O)=O,-2.41
OCCOc1ccccc1,-0.7
C(c1ccccc1)c2ccccc2,-4.08
CCSCc1ccccc1OC(=O)NC ,-2.09
CCC(C)C1(CC=C)C(=O)NC(=O)NC1=O,-2.016
CC34CCC1C(CC=C2CC(O)CCC12C)C3CCC4=O,-4.12
COc2ncc1nccnc1n2,-1.11
CCC(=O)OC,-0.14
c1cc2ccc(OC)c(CC=C(C)(C))c2oc1=O ,-4.314
NC(=O)c1cnccn1,-0.667
CC(=O)Nc1ccc(O)cc1,-1.03
CCCC(C)C,-3.74
C1CC=CC1,-2.1
c1ccc2c(c1)c3ccccc3c4ccccc24,-6.726
c1ccccc1SC,-2.39
CCCCOCCO,-0.42
O=C1N(COC(=O)CCCCCCC)C(=O)C(N1)(c2ccccc2)c3ccccc3,-6.523
O=C(c1ccccc1)c2ccccc2,-3.12
Nc3nc(N)c2nc(c1ccccc1)c(N)nc2n3,-2.404
Oc1ccccc1O,0.62
CC(C)CC(C)(C)O,-0.92
O(c1ccccc1)c2ccccc2,-3.96
CCCCC(O)CC,-1.47
O=C1N(COC(=O)CC)C(=O)C(N1)(c2ccccc2)c3ccccc3,-4.907
CCSCC,-1.34
CCCOC,-0.39
Nc1ncnc2nc[nH]c12 ,-2.12
CCCCC(=O)OCC,-2.25
C(Cc1ccccc1)c2ccccc2,-4.62
CCCCCCCCO,-2.39
Cc1cc(cc(N(=O)=O)c1O)N(=O)=O,-1.456
CN(C)c1ccccc1,-1.92
c1ccc(cc1)c2ccccc2,-4.345
CN(C)C(=O)OC1=CC(=O)CC(C)(C)C1 ,-0.85
O=C1NC(=O)NC(=O)C1(C)CC=C,-1.16
OCC1OC(CO)(OC2OC(COC3OC(CO)C(O)C(O)C3O)C(O)C(O)C2O)C(O)C1O,-0.41
Cc1ccc(N)cc1,-1.21
Nc1ccccc1N(=O)=O,-1.96
CC=C(C)C,-2.56
COC(=O)c1ccccc1OC2OC(COC3OCC(O)C(O)C3O)C(O)C(O)C2O,-0.742
Oc2ccc1ncccc1c2 ,-2.16
COc1ncnc2nccnc12 ,-1.11
COC(=O)Nc1cccc(OC(=O)Nc2cccc(C)c2)c1,-4.805
CNC(=O)Oc1cc(C)cc(C)c1,-2.5810000000000004
OC1CCCCC1,-0.44
CC(C)c1ccccc1,-3.27
O=Cc1ccco1,-0.1
CCC(=O)CC,-0.28
COc2c1occc1c(OC)c3c(=O)cc(C)oc23 ,-3.0210000000000004
Nc1nc[nH]n1,0.522
Cc1ccccc1N,-2.21
Oc2cc(O)c1C(=O)CC(Oc1c2)c3ccc(O)c(O)c3,-3.62
CCCCCCCCC(=O)C,-3.3
OCc1ccccc1,-0.4
CCN2c1ncccc1N(C)C(=O)c3cccnc23 ,-2.62
CCCCC(C)CC,-5.16
CCNc1nc(NC(C)(C)C)nc(OC)n1,-3.239
c1ccccc1C(O)c2ccccc2,-2.55
Cc1ccc(O)c(C)c1,-1.19
O=C1N(COC(=O)CCCCCC)C(=O)C(N1)(c2ccccc2)c3ccccc3,-6.301
O=N(=O)c1cccc(c1)N(=O)=O,-2.29
CCOC(=O)c1ccc(O)cc1,-2.35
c1cc2cccc3c4cccc5cccc(c(c1)c23)c54,-8.804
c1cc2ccc3cccc4ccc(c1)c2c34,-6.176
COc2c1occc1cc3ccc(=O)oc23 ,-3.6639999999999997
C1Cc2cccc3cccc1c23,-4.63
CCCCCCC(=O)C,-2.05
CN(C)C(=O)Nc1ccccc1,-1.6
CCCCCCCCCCCCO,-4.8
CCCCC(=O)C,-0.8
O=C2NC(=O)C1(CCC1)C(=O)N2,-1.655
C1N(C(=O)NCC(C)C)C(=O)NC1,-2.15
NC(=S)N,0.32
COc1ccc(cc1)C(O)(C2CC2)c3cncnc3 ,-2.596
CCCCOC(=O)c1ccccc1C(=O)OCCCC ,-4.4
CCOC(=O)CC(=O)OCC,-0.82
Cc3ccnc4N(C1CC1)c2ncccc2C(=O)Nc34 ,-3.19
COCCCNc1nc(NC(C)C)nc(SC)n1,-2.928
CCCCOCCCC,-1.85
CCOc1ccc(NC(N)=O)cc1,-2.17
c2ccc1nc(ccc1c2)c4ccc3ccccc3n4 ,-5.4
CC12CCC3C(CCC4=CC(=O)CCC34C)C2CCC1C(=O)CO,-3.45
CC34CCC1C(CCC2=CC(=O)CCC12C)C3CCC4=O,-3.69
OC(C1=CC2C5C(C1C2=C(c3ccccc3)c4ccccn4)C(=O)NC5=O)(c6ccccc6)c7ccccn7 ,-3.931
c1cncnc1,1.1
CC(=O)N,1.58
CNC(=O)Oc1cccc2ccccc12,-3.2239999999999998
OCCCC=C,-0.15
CC12CCC(=O)C=C1CCC3C2CCC4(C)C3CCC4(O)C#C ,-5.66
C1Cc2c3c1cccc3cc4c2ccc5ccccc54,-7.85
Cc1c(cc(cc1N(=O)=O)N(=O)=O)N(=O)=O,-3.22
CCC1(CCC(C)C)C(=O)NC(=O)NC1=O,-2.468
Oc1ccc(cc1)c2ccccc2,-3.48
CCCCCC(O)CC,-1.98
CC(C)C(C)C,-3.65
CC1(C)C(C(=O)OC(C#N)c2cccc(Oc3ccccc3)c2)C1(C)C,-6.025
COc1ccccc1,-1.85
C1OC(O)C(O)C(O)C1O,0.39
Cc1ccc2cc3ccccc3cc2c1,-6.96
CCNc1nc(NC(C)C)nc(SC)n1,-3.04
CCOc2ccc1nc(sc1c2)S(N)(=O)=O ,-3.81
O=C2NC(=O)C1(CCCCCC1)C(=O)N2 ,-3.168
c1ccc(cc1)c2ccc(cc2)c3ccccc3,-7.11
COc1ccccc1O,-1.96
CCC(C)C(=O)C,-0.67
Cc1c(C)c2c3ccccc3ccc2c4ccccc14,-7.01
Oc1cccc(O)c1,0.81
CCCCCCCC(=O)OCC,-3.39
CCNC(=S)NCC,-1.46
CC(C)(C)CO,-0.4
CCSC(=O)N(CC)C1CCCCC1 ,-3.4
CCCSCCC,-2.58
CCCCC,-3.18
Cc1cc(C)c2ccccc2c1,-4.29
C1(=O)NC(=O)NC(=O)C1(O)C2(O)C(=O)NC(=O)NC2(=O),-1.99
Cc1ccc(cc1)c2ccccc2,-4.62
c1ccsc1,-1.33
CC1=CC(=O)CC(C)(C)C1 ,-1.06
CC(=O)N(S(=O)c1ccc(N)cc1)c2onc(C)c2C ,-3.59
c1nccc(C(=O)NN)c1,0.009000000000000001
CCC#N,0.28
CCCN(CCC)c1c(cc(cc1N(=O)=O)S(N)(=O)=O)N(=O)=O,-5.16
c1cc(O)c(O)c2OCC3(O)CC4=CC(=O)C(O)=CC4=C3c21,-2.7
CC(=O)C1(O)CCC2C3CCC4=CC(=O)CCC4(C)C3CCC21C,-3.8169999999999997
CCCCCCCCC(=O)OC,-3.38
O=N(=O)c1ccc(cc1)N(=O)=O,-3.39
CCCCCC=C,-3.73
CCCC=C,-2.68
CCCCCCC=C,-4.44
CCOC(C)OCC,-0.43
CCOC(=O)C=Cc1ccccc1,-3.0
CC(=O)OCC(=O)C3CCC4C2CCC1=CC(=O)CCC1(C)C2CCC34C ,-4.63
CC(C)OC(=O)C,-0.55
COC(=O)c1ccccc1,-1.85
Nc1nc(O)nc2nc[nH]c12 ,-3.4010000000000002
c1ccccc1O,0.0
CCCC(=O)C,-0.19
