,MolecularWeight,IsomericSMILES,IUPACName,name
6215,452.5,C[C@]12C[C@@H]([C@]3([C@H]([C@@H]1C[C@@H]4[C@]2(OC(O4)(C)C)C(=O)CO)C[C@@H](C5=CC(=O)C=C[C@@]53C)F)F)O,"(1S,2S,4R,8S,9S,11S,12R,13S,19S)-12,19-difluoro-11-hydroxy-8-(2-hydroxyacetyl)-6,6,9,13-tetramethyl-5,7-dioxapentacyclo[10.8.0.02,9.04,8.013,18]icosa-14,17-dien-16-one",fluocinolone acetonide
6230,298.4,C[C@]12CC[C@H]3[C@H]([C@@H]1CC[C@]2(C#C)O)CCC4=CC(=O)CC[C@H]34,"(8R,9S,10R,13S,14S,17R)-17-ethynyl-17-hydroxy-13-methyl-1,2,6,7,8,9,10,11,12,14,15,16-dodecahydrocyclopenta[a]phenanthren-3-one",norethindrone
6231,298.4,C[C@]12CC[C@H]3[C@H]([C@@H]1CC[C@]2(C#C)O)CCC4=C3CCC(=O)C4,"(8R,9S,13S,14S,17R)-17-ethynyl-17-hydroxy-13-methyl-1,2,4,6,7,8,9,11,12,14,15,16-dodecahydrocyclopenta[a]phenanthren-3-one",norethynodrel
6234,102.09,C1[C@H](C(=O)NO1)N,"(4R)-4-amino-1,2-oxazolidin-3-one",d-cycloserine
6240,355.3,CN(C)CCCN1C2=CC=CC=C2SC3=C1C=C(C=C3)Cl.Cl,"3-(2-chlorophenothiazin-10-yl)-N,N-dimethylpropan-1-amine;hydrochloride",chlorpromazine hydrochloride
6253,243.22,C1=CN(C(=O)N=C1N)[C@H]2[C@H]([C@@H]([C@H](O2)CO)O)O,"4-amino-1-[(2R,3S,4S,5R)-3,4-dihydroxy-5-(hydroxymethyl)oxolan-2-yl]pyrimidin-2-one",cytarabine
6256,296.20,C1[C@@H]([C@H](O[C@H]1N2C=C(C(=O)NC2=O)C(F)(F)F)CO)O,"1-[(2R,4S,5R)-4-hydroxy-5-(hydroxymethyl)oxolan-2-yl]-5-(trifluoromethyl)pyrimidine-2,4-dione",trifluridine
6284,480.4,CC(C)[N+](C)(CCC(C1=CC=CC=C1)(C2=CC=CC=C2)C(=O)N)C(C)C.[I-],"(4-amino-4-oxo-3,3-diphenylbutyl)-methyl-di(propan-2-yl)azanium;iodide",isopropamide iodide
6291,310.4,C[C@]12CC[C@H]3[C@H]([C@@H]1CC[C@]2(C#C)O)CCC4=C3C=CC(=C4)OC,"(8R,9S,13S,14S,17R)-17-ethynyl-3-methoxy-13-methyl-7,8,9,11,12,14,15,16-octahydro-6H-cyclopenta[a]phenanthren-17-ol",mestranol
6307,289.74,CCC1NC2=CC(=C(C=C2C(=O)N1)S(=O)(=O)N)Cl,"7-chloro-2-ethyl-4-oxo-2,3-dihydro-1H-quinazoline-6-sulfonamide",quinethazone
6314,270.80,CCN(CC)CC(=O)NC1=C(C=CC=C1C)C.Cl,"2-(diethylamino)-N-(2,6-dimethylphenyl)acetamide;hydrochloride",lidocaine hydrochloride
6461,420.3,C[N+]1(CCCC(C1)OC(=O)C(C2=CC=CC=C2)(C3=CC=CC=C3)O)C.[Br-],"(1,1-dimethylpiperidin-1-ium-3-yl) 2-hydroxy-2,2-diphenylacetate;bromide",mepenzolate bromide
6634,284.72,C1=CC(=CC=C1N)S(=O)(=O)NC2=NN=C(C=C2)Cl,4-amino-N-(6-chloropyridazin-3-yl)benzenesulfonamide,sulfachloropyridazine
6674,402.5,C[C@H](CCC(=O)O)[C@H]1CC[C@@H]2[C@@]1(C(=O)C[C@H]3[C@H]2C(=O)C[C@H]4[C@@]3(CCC(=O)C4)C)C,"(4R)-4-[(5S,8R,9S,10S,13R,14S,17R)-10,13-dimethyl-3,7,12-trioxo-1,2,4,5,6,8,9,11,14,15,16,17-dodecahydrocyclopenta[a]phenanthren-17-yl]pentanoic acid",dehydrocholic acid
6741,374.5,C[C@H]1C[C@H]2[C@@H]3CC[C@@]([C@]3(C[C@@H]([C@@H]2[C@@]4(C1=CC(=O)C=C4)C)O)C)(C(=O)CO)O,"(6S,8S,9S,10R,11S,13S,14S,17R)-11,17-dihydroxy-17-(2-hydroxyacetyl)-6,10,13-trimethyl-7,8,9,11,12,14,15,16-octahydro-6H-cyclopenta[a]phenanthren-3-one",methylprednisolone
6839,189.21,CN1C(=O)CC(C1=O)C2=CC=CC=C2,"1-methyl-3-phenylpyrrolidine-2,5-dione",phensuximide
6883,236.14,C1[C@H]([C@@H]2[C@H](O1)[C@H](CO2)O[N+](=O)[O-])O[N+](=O)[O-],"[(3S,3aS,6R,6aS)-3-nitrooxy-2,3,3a,5,6,6a-hexahydrofuro[3,2-b]furan-6-yl] nitrate",isosorbide dinitrate
7172,167.20,CNCC(C1=CC=C(C=C1)O)O,4-[1-hydroxy-2-(methylamino)ethyl]phenol,synephrine
7184,194.23,CCCCOC(=O)C1=CC=C(C=C1)O,butyl 4-hydroxybenzoate,butyl 4-hydroxybenzoate
7638,200.23,C1=CC=C(C=C1)COC2=CC=C(C=C2)O,4-phenylmethoxyphenol,monobenzone
7699,603.7,CCCCNC1=CC=C(C=C1)C(=O)OCCOCCOCCOCCOCCOCCOCCOCCOCCOC,2-[2-[2-[2-[2-[2-[2-[2-(2-methoxyethoxy)ethoxy]ethoxy]ethoxy]ethoxy]ethoxy]ethoxy]ethoxy]ethyl 4-(butylamino)benzoate,benzonatate
8228,316.9,CN(C)CCCN1C2=CC=CC=C2CCC3=CC=CC=C31.Cl,"3-(5,6-dihydrobenzo[b][1]benzazepin-11-yl)-N,N-dimethylpropan-1-amine;hydrochloride",imipramine hydrochloride
8246,303.20,CN(C)C(=O)OC1=CC=CC(=C1)[N+](C)(C)C.[Br-],[3-(dimethylcarbamoyloxy)phenyl]-trimethylazanium;bromide,neostigmine bromide
8307,201.69,CC[N+](C)(C)C1=CC(=CC=C1)O.[Cl-],ethyl-(3-hydroxyphenyl)-dimethylazanium;chloride,edrophonium chloride
8362,262.34,CC1CC(CC(C1)(C)C)OC(=O)C2=CC=CC=C2O,"(3,3,5-trimethylcyclohexyl) 2-hydroxybenzoate",homosalate
8478,448.1,CC(C)(C)CC(C)(C)C1=CC=C(C=C1)OCCOCC[N+](C)(C)CC2=CC=CC=C2.[Cl-],"benzyl-dimethyl-[2-[2-[4-(2,4,4-trimethylpentan-2-yl)phenoxy]ethoxy]ethyl]azanium;chloride",benzethonium chloride
8480,260.08,C1=CC(=CC=C1NC(=O)N)[As](=O)(O)O,[4-(carbamoylamino)phenyl]arsonic acid,carbarsone
8505,751.7,C1=CC=C2C(=C1)C(=O)OC23C4=CC(=C(C=C4OC5=C(C(=C(C=C35)Br)[O-])[Hg])[O-])Br.O.[Na+].[Na+],"disodium;(2',7'-dibromo-3',6'-dioxido-3-oxospiro[2-benzofuran-1,9'-xanthene]-4'-yl)mercury;hydrate",dtxsid0045545
8520,359.9,CCN1CCCC(C1)OC(=O)C(C2=CC=CC=C2)C3=CC=CC=C3.Cl,"(1-ethylpiperidin-3-yl) 2,2-diphenylacetate;hydrochloride",piperidolate hydrochloride
8567,195.21,CNC[C@@H]([C@H]([C@@H]([C@@H](CO)O)O)O)O,"(2R,3R,4R,5S)-6-(methylamino)hexane-1,2,3,4,5-pentol",meglumine
8569,244.24,COC1=CC(=C(C=C1)C(=O)C2=CC=CC=C2O)O,(2-hydroxy-4-methoxyphenyl)-(2-hydroxyphenyl)methanone,dioxybenzone
8667,297.8,CN(C)CCN(CC1=CC=CS1)C2=CC=CC=N2.Cl,"N,N-dimethyl-N'-pyridin-2-yl-N'-(thiophen-2-ylmethyl)ethane-1,2-diamine;hydrochloride",methapyrilene hydrochloride
8691,249.70,C1=CC=C(C=C1)N=NC2=C(N=C(C=C2)N)N.Cl,"3-phenyldiazenylpyridine-2,6-diamine;hydrochloride",phenazopyridine hydrochloride
8695,300.82,CCCCNC1=CC=C(C=C1)C(=O)OCCN(C)C.Cl,2-(dimethylamino)ethyl 4-(butylamino)benzoate;hydrochloride,tetracaine hydrochloride
8732,315.2,CCCC1=NC=C(C(=N1)N)C[N+]2=CC=CC=C2C.Cl.[Cl-],5-[(2-methylpyridin-1-ium-1-yl)methyl]-2-propylpyrimidin-4-amine;chloride;hydrochloride,amprolium hydrochloride
8813,592.7,C1=CC(=CC=C1C(=N)N)OCCCCCOC2=CC=C(C=C2)C(=N)N.C(CS(=O)(=O)O)O.C(CS(=O)(=O)O)O,4-[5-(4-carbamimidoylphenoxy)pentoxy]benzenecarboximidamide;2-hydroxyethanesulfonic acid,pentamidine isethionate
8955,316.5,CC(=O)[C@H]1CC[C@@H]2[C@@]1(CC[C@H]3[C@H]2CC=C4[C@@]3(CC[C@@H](C4)O)C)C,"1-[(3S,8S,9S,10R,13S,14S,17S)-3-hydroxy-10,13-dimethyl-2,3,4,7,8,9,11,12,14,15,16,17-dodecahydro-1H-cyclopenta[a]phenanthren-17-yl]ethanone",pregnenolone
8980,291.8,CN(C)CCOC(C1=CC=CC=C1)C2=CC=CC=C2.Cl,"2-benzhydryloxy-N,N-dimethylethanamine;hydrochloride",diphenhydramine hydrochloride
9051,312.4,CC(=O)[C@H]1CC[C@@H]2[C@@]1(CC[C@@H]3[C@H]2C=CC4=CC(=O)CC[C@@]34C)C,"(8S,9R,10S,13S,14S,17S)-17-acetyl-10,13-dimethyl-1,2,8,9,11,12,14,15,16,17-decahydrocyclopenta[a]phenanthren-3-one",dydrogesterone
9066,291.82,CN(C)CCN(CC1=CC=CC=C1)C2=CC=CC=N2.Cl,"N'-benzyl-N,N-dimethyl-N'-pyridin-2-ylethane-1,2-diamine;hydrochloride",tripelennamine hydrochloride
9270,384.5,CC(=O)O[C@H]1CC[C@@H]2[C@H]3CC[C@]4([C@H]([C@@H]3CCC2=C1)CC[C@]4(C#C)OC(=O)C)C,"[(3S,8R,9S,10R,13S,14S,17R)-17-acetyloxy-17-ethynyl-13-methyl-2,3,6,7,8,9,10,11,12,14,15,16-dodecahydro-1H-cyclopenta[a]phenanthren-3-yl] acetate",ethynodiol diacetate
9279,448.4,CC(C)[N+](C)(CCOC(=O)C1C2=CC=CC=C2OC3=CC=CC=C13)C(C)C.[Br-],methyl-di(propan-2-yl)-[2-(9H-xanthene-9-carbonyloxy)ethyl]azanium;bromide,propantheline bromide
9324,404.9,CC(=O)[C@]1(CC[C@@H]2[C@@]1(CC[C@H]3[C@H]2C=C(C4=CC(=O)CC[C@]34C)Cl)C)OC(=O)C,"[(8R,9S,10R,13S,14S,17R)-17-acetyl-6-chloro-10,13-dimethyl-3-oxo-2,8,9,11,12,14,15,16-octahydro-1H-cyclopenta[a]phenanthren-17-yl] acetate",chlormadinone acetate
9363,223.27,CCN(CC)C(=O)C1=CC(=C(C=C1)O)OC,"N,N-diethyl-4-hydroxy-3-methoxybenzamide",ethamivan
9367,277.21,CC(C)NNC(=O)C1=CC=NC=C1.OP(=O)(O)O,phosphoric acid;N'-propan-2-ylpyridine-4-carbohydrazide,iproniazid phosphate
9373,195.69,CN(CC#C)CC1=CC=CC=C1.Cl,N-benzyl-N-methylprop-2-yn-1-amine;hydrochloride,pargyline hydrochloride
9399,574.3,C[N+]1(CCOC(C1)(C2=CC=C(C=C2)C3=CC=C(C=C3)C4(C[N+](CCO4)(C)C)O)O)C.[Br-].[Br-],"2-[4-[4-(2-hydroxy-4,4-dimethylmorpholin-4-ium-2-yl)phenyl]phenyl]-4,4-dimethylmorpholin-4-ium-2-ol;dibromide",hemicholinium-3
9433,420.43,CN1C2=C(C(=O)N(C1=O)C)NC=N2.CN1C2=C(C(=O)N(C1=O)C)NC=N2.C(CN)N,"1,3-dimethyl-7H-purine-2,6-dione;ethane-1,2-diamine",aminophylline
9458,248.15,CC(=O)OC1=C(C=CC(=C1)C(F)(F)F)C(=O)O,2-acetyloxy-4-(trifluoromethyl)benzoic acid,triflusal
9568,305.8,CC1=CC=CC=C1C(C2=CC=CC=C2)OCCN(C)C.Cl,"N,N-dimethyl-2-[(2-methylphenyl)-phenylmethoxy]ethanamine;hydrochloride",orphenadrine hydrochloride
9642,494.5,CC(=O)OCC(=O)[C@@]12[C@@H](C[C@@H]3[C@@]1(C[C@@H]([C@]4([C@H]3C[C@@H](C5=CC(=O)C=C[C@@]54C)F)F)O)C)OC(O2)(C)C,"[2-[(1S,2S,4R,8S,9S,11S,12R,13S,19S)-12,19-difluoro-11-hydroxy-6,6,9,13-tetramethyl-16-oxo-5,7-dioxapentacyclo[10.8.0.02,9.04,8.013,18]icosa-14,17-dien-8-yl]-2-oxoethyl] acetate",fluocinonide
9703,257.76,CC(C)NC(=O)C1=CC=C(C=C1)CNNC.Cl,4-[(2-methylhydrazinyl)methyl]-N-propan-2-ylbenzamide;hydrochloride,procarbazine hydrochloride
9782,392.5,C[C@H]1C[C@H]2[C@@H]3CCC4=CC(=O)C=C[C@@]4([C@]3([C@H](C[C@@]2([C@]1(C(=O)CO)O)C)O)F)C,"(8S,9R,10S,11S,13S,14S,16S,17R)-9-fluoro-11,17-dihydroxy-17-(2-hydroxyacetyl)-10,13,16-trimethyl-6,7,8,11,12,14,15,16-octahydrocyclopenta[a]phenanthren-3-one",betamethasone
9878,376.5,C[C@H]1C[C@H]2[C@@H]3CC[C@@]([C@]3(C[C@@H]([C@@]2([C@@]4(C1=CC(=O)C=C4)C)F)O)C)(C(=O)C)O,"(6S,8S,9R,10S,11S,13S,14S,17R)-17-acetyl-9-fluoro-11,17-dihydroxy-6,10,13-trimethyl-6,7,8,11,12,14,15,16-octahydrocyclopenta[a]phenanthren-3-one",fluorometholone
9903,376.6,C[C@H](CCC(=O)O)[C@H]1CC[C@@H]2[C@@]1(CC[C@H]3[C@H]2CC[C@H]4[C@@]3(CC[C@H](C4)O)C)C,"(4R)-4-[(3R,5R,8R,9S,10S,13R,14S,17R)-3-hydroxy-10,13-dimethyl-2,3,4,5,6,7,8,9,11,12,14,15,16,17-tetradecahydro-1H-cyclopenta[a]phenanthren-17-yl]pentanoic acid",lithocholic acid
9904,274.4,C[C@]12CC[C@H]3[C@H]([C@@H]1CC[C@@H]2O)CCC4=CC(=O)CC[C@H]34,"(8R,9S,10R,13S,14S,17S)-17-hydroxy-13-methyl-2,6,7,8,9,10,11,12,14,15,16,17-dodecahydro-1H-cyclopenta[a]phenanthren-3-one",nandrolone
9918,261.4,CNCCC=C1C2=CC=CC=C2C=CC3=CC=CC=C31,"N-methyl-3-(2-tricyclo[9.4.0.03,8]pentadeca-1(15),3,5,7,9,11,13-heptaenylidene)propan-1-amine",norcyclobenzaprine
10133,392.6,C[C@H](CCC(=O)O)[C@H]1CC[C@@H]2[C@@]1(CC[C@H]3[C@H]2[C@@H](C[C@H]4[C@@]3(CC[C@H](C4)O)C)O)C,"(4R)-4-[(3R,5S,7R,8R,9S,10S,13R,14S,17R)-3,7-dihydroxy-10,13-dimethyl-2,3,4,5,6,7,8,9,11,12,14,15,16,17-tetradecahydro-1H-cyclopenta[a]phenanthren-17-yl]pentanoic acid",chenodeoxycholic acid
10428,130.14,CC1(CCOC(=O)C1)O,4-hydroxy-4-methyloxan-2-one,674-26-0
10607,414.4,COC1=CC(=CC(=C1OC)OC)[C@H]2[C@@H]3[C@H](COC3=O)[C@H](C4=CC5=C(C=C24)OCO5)O,"(5R,5aR,8aR,9R)-5-hydroxy-9-(3,4,5-trimethoxyphenyl)-5a,6,8a,9-tetrahydro-5H-[2]benzofuro[5,6-f][1,3]benzodioxol-8-one",podophyllotoxin
10621,610.6,C[C@H]1[C@@H]([C@H]([C@H]([C@@H](O1)OC[C@@H]2[C@H]([C@@H]([C@H]([C@@H](O2)OC3=CC(=C4C(=O)C[C@H](OC4=C3)C5=CC(=C(C=C5)OC)O)O)O)O)O)O)O)O,"(2S)-5-hydroxy-2-(3-hydroxy-4-methoxyphenyl)-7-[(2S,3R,4S,5S,6R)-3,4,5-trihydroxy-6-[[(2R,3R,4R,5R,6S)-3,4,5-trihydroxy-6-methyloxan-2-yl]oxymethyl]oxan-2-yl]oxy-2,3-dihydrochromen-4-one",hesperidin
10648,236.74,C1CC(C2=CC=CC=C2C1)C3=NCCN3.Cl,"2-(1,2,3,4-tetrahydronaphthalen-1-yl)-4,5-dihydro-1H-imidazole;hydrochloride",tetrahydrozoline hydrochloride
10649,527.6,CC1=[N+](C2=CC=CC=C2C(=C1)N)CCCCCCCCCC[N+]3=C(C=C(C4=CC=CC=C43)N)C.[Cl-].[Cl-],1-[10-(4-amino-2-methylquinolin-1-ium-1-yl)decyl]-2-methylquinolin-1-ium-4-amine;dichloride,dequalinium chloride
10660,470.0,CN1C2=C(C(=O)N(C1=O)C)NC(=N2)Cl.CN(C)CCOC(C1=CC=CC=C1)C2=CC=CC=C2,"2-benzhydryloxy-N,N-dimethylethanamine;8-chloro-1,3-dimethyl-7H-purine-2,6-dione",dimenhydrinate
10745,300.26,CC(=O)OC1=CC=CC=C1C(=O)OC2=CC=CC=C2C(=O)O,2-(2-acetyloxybenzoyl)oxybenzoic acid,530-75-6
10766,271.78,CCC(C)(CN(C)C)OC(=O)C1=CC=CC=C1.Cl,[1-(dimethylamino)-2-methylbutan-2-yl] benzoate;hydrochloride,amylocaine hydrochloride
10830,433.9,C1CCN(CC1)CC(COC(=O)NC2=CC=CC=C2)OC(=O)NC3=CC=CC=C3.Cl,[2-(phenylcarbamoyloxy)-3-piperidin-1-ylpropyl] N-phenylcarbamate;hydrochloride,diperodon hydrochloride
10921,418.3,C[N+](C)(C)CCCCCCCCCC[N+](C)(C)C.[Br-].[Br-],trimethyl-[10-(trimethylazaniumyl)decyl]azanium;dibromide,decamethonium bromide
10969,181.70,CC(CCCC(C)(C)O)N.Cl,6-amino-2-methylheptan-2-ol;hydrochloride,heptaminol hydrochloride
11065,313.9,CN(C)CCC=C1C2=CC=CC=C2CCC3=CC=CC=C31.Cl,"N,N-dimethyl-3-(2-tricyclo[9.4.0.03,8]pentadeca-1(15),3,5,7,11,13-hexaenylidene)propan-1-amine;hydrochloride",amitriptyline hydrochloride
11078,330.8,CCCOC1=C(C=CC(=C1)N)C(=O)OCCN(CC)CC.Cl,2-(diethylamino)ethyl 4-amino-2-propoxybenzoate;hydrochloride,propoxycaine hydrochloride
11079,246.73,C1CN=C(N1)CC2=CC=CC3=CC=CC=C32.Cl,"2-(naphthalen-1-ylmethyl)-4,5-dihydro-1H-imidazole;hydrochloride",naphazoline hydrochloride
11102,591.7,CCCCCCCCCCCCCCCC[N+](C)(C)CCN(CC1=CC=C(C=C1)OC)C2=NC=CC=N2.[Br-],hexadecyl-[2-[(4-methoxyphenyl)methyl-pyrimidin-2-ylamino]ethyl]-dimethylazanium;bromide,thonzonium bromide
11224,388.5,CC(C1=CC=CC=C1)(C2=CC=CC=N2)OCCN(C)C.C(CC(=O)O)C(=O)O,"butanedioic acid;N,N-dimethyl-2-(1-phenyl-1-pyridin-2-ylethoxy)ethanamine",doxylamine succinate
11273,302.4,C[C@]12CCC(=O)C(=C1CC[C@@H]3[C@@H]2CC[C@]4([C@H]3CCC4=O)C)O,"(8R,9S,10R,13S,14S)-4-hydroxy-10,13-dimethyl-2,6,7,8,9,11,12,14,15,16-decahydro-1H-cyclopenta[a]phenanthrene-3,17-dione",formestane
11289,380.9,COC1=CC=C(C=C1)C(=C(C2=CC=C(C=C2)OC)Cl)C3=CC=C(C=C3)OC,"1-[1-chloro-2,2-bis(4-methoxyphenyl)ethenyl]-4-methoxybenzene",chlorotrianisene
11368,337.8,CC(COC1=CC=CC=C1)NC(C)C(C2=CC=C(C=C2)O)O.Cl,4-[1-hydroxy-2-(1-phenoxypropan-2-ylamino)propyl]phenol;hydrochloride,isoxsuprine hydrochloride
11391,448.5,C1CN(CC2=CC=CC=C21)C(=N)N.C1CN(CC2=CC=CC=C21)C(=N)N.OS(=O)(=O)O,"3,4-dihydro-1H-isoquinoline-2-carboximidamide;sulfuric acid",debrisoquin sulfate
11548,196.67,CC(C[N+](C)(C)C)OC(=O)N.[Cl-],2-carbamoyloxypropyl(trimethyl)azanium;chloride,bethanechol chloride
11683,384.5,CC1=C[C@@H]2[C@H](CC[C@]3([C@H]2CC[C@@]3(C(=O)C)OC(=O)C)C)[C@@]4(C1=CC(=O)CC4)C,"[(8R,9S,10R,13S,14S,17R)-17-acetyl-6,10,13-trimethyl-3-oxo-2,8,9,11,12,14,15,16-octahydro-1H-cyclopenta[a]phenanthren-17-yl] acetate",megestrol acetate
11693,398.3,C[N+]1(CCC(C1)OC(=O)C(C2CCCC2)(C3=CC=CC=C3)O)C.[Br-],"(1,1-dimethylpyrrolidin-1-ium-3-yl) 2-cyclopentyl-2-hydroxy-2-phenylacetate;bromide",glycopyrrolate
12035,163.20,CC(=O)N[C@@H](CS)C(=O)O,(2R)-2-acetamido-3-sulfanylpropanoic acid,n-acetyl-l-cysteine
12492,345.8,C[C@@H]1CCC[C@@H](N1NC(=O)C2=CC(=C(C=C2)Cl)S(=O)(=O)N)C,"4-chloro-N-[(2R,6S)-2,6-dimethylpiperidin-1-yl]-3-sulfamoylbenzamide",clopamide
12498,290.19,CC(C)N=C(N)N=C(N)NC1=CC=C(C=C1)Cl.Cl,1-[amino-(4-chloroanilino)methylidene]-2-propan-2-ylguanidine;hydrochloride,proguanil hydrochloride
12560,733.9,CC[C@@H]1[C@@]([C@@H]([C@H](C(=O)[C@@H](C[C@@]([C@@H]([C@H]([C@@H]([C@H](C(=O)O1)C)O[C@H]2C[C@@]([C@H]([C@@H](O2)C)O)(C)OC)C)O[C@H]3[C@@H]([C@H](C[C@H](O3)C)N(C)C)O)(C)O)C)C)O)(C)O,"(3R,4S,5S,6R,7R,9R,11R,12R,13S,14R)-6-[(2S,3R,4S,6R)-4-(dimethylamino)-3-hydroxy-6-methyloxan-2-yl]oxy-14-ethyl-7,12,13-trihydroxy-4-[(2R,4R,5S,6S)-5-hydroxy-4-methoxy-4,6-dimethyloxan-2-yl]oxy-3,5,7,9,11,13-hexamethyl-oxacyclotetradecane-2,10-dione",erythromycin
12947,434.0,CCN(CCCC(C)NC1=C2C=CC(=CC2=NC=C1)Cl)CCO.OS(=O)(=O)O,2-[4-[(7-chloroquinolin-4-yl)amino]pentyl-ethylamino]ethanol;sulfuric acid,hydroxychloroquine sulfate
13109,312.4,CC[C@]12CC[C@H]3[C@H]([C@@H]1CC[C@]2(C#C)O)CCC4=CC(=O)CC[C@H]34,"(8R,9S,10R,13S,14S,17R)-13-ethyl-17-ethynyl-17-hydroxy-1,2,6,7,8,9,10,11,12,14,15,16-dodecahydrocyclopenta[a]phenanthren-3-one",levonorgestrel
13221,203.75,CC1(C2CCC(C2)C1(C)NC)C.Cl,"N,2,3,3-tetramethylbicyclo[2.2.1]heptan-2-amine;hydrochloride",mecamylamine hydrochloride
13266,241.72,C1=CC=C(C=C1)CCN=C(N)N=C(N)N.Cl,1-(diaminomethylidene)-2-(2-phenylethyl)guanidine;hydrochloride,phenformin hydrochloride
13770,323.9,CN1CCC(=C2C3=CC=CC=C3C=CC4=CC=CC=C42)CC1.Cl,"1-methyl-4-(2-tricyclo[9.4.0.03,8]pentadeca-1(15),3,5,7,9,11,13-heptaenylidene)piperidine;hydrochloride",cyproheptadine hydrochloride
13789,340.5,C[C@]12CCC(=O)C=C1C=C[C@@H]3[C@@H]2CC[C@]4([C@H]3CC[C@@]45CCC(=O)O5)C,"(8R,9S,10R,13S,14S,17R)-10,13-dimethylspiro[2,8,9,11,12,14,15,16-octahydro-1H-cyclopenta[a]phenanthrene-17,5'-oxolane]-2',3-dione",canrenone
13791,356.5,CCCCC(=O)O[C@H]1CC[C@@H]2[C@@]1(CC[C@H]3[C@H]2CCC4=C3C=CC(=C4)O)C,"[(8R,9S,13S,14S,17S)-3-hydroxy-13-methyl-6,7,8,9,11,12,14,15,16,17-decahydrocyclopenta[a]phenanthren-17-yl] pentanoate",estradiol valerate
14219,165.62,CN(C)C(=N)N=C(N)N.Cl,"3-(diaminomethylidene)-1,1-dimethylguanidine;hydrochloride",metformin hydrochloride
14520,159.21,CC(=O)NC1CCSC1=O,N-(2-oxothiolan-3-yl)acetamide,citiolone
14709,330.5,CC(=O)O[C@H]1CC[C@@]2([C@H]3CC[C@]4([C@H]([C@@H]3CC=C2C1)CCC4=O)C)C,"[(3S,8R,9S,10R,13S,14S)-10,13-dimethyl-17-oxo-1,2,3,4,7,8,9,11,12,14,15,16-dodecahydrocyclopenta[a]phenanthren-3-yl] acetate",dehydroepiandrosterone acetate
15165,215.76,CC(C12CC3CC(C1)CC(C3)C2)N.Cl,1-(1-adamantyl)ethanamine;hydrochloride,rimantadine hydrochloride
15209,436.5,C[C@]12CCC(=O)C=C1[C@H](C[C@@H]3[C@@H]2[C@H](C[C@]4([C@H]3C[C@@H]5[C@]4(OC(O5)(C)C)C(=O)CO)C)O)F,"(1S,2S,4R,8S,9S,11S,12S,13R,19S)-19-fluoro-11-hydroxy-8-(2-hydroxyacetyl)-6,6,9,13-tetramethyl-5,7-dioxapentacyclo[10.8.0.02,9.04,8.013,18]icos-17-en-16-one",flurandrenolide
15376,354.4,CC[C@@]12CCCN3[C@@H]1C4=C(CC3)C5=CC=CC=C5N4[C@](C2)(C(=O)OC)O,"methyl (15S,17S,19S)-15-ethyl-17-hydroxy-1,11-diazapentacyclo[9.6.2.02,7.08,18.015,19]nonadeca-2,4,6,8(18)-tetraene-17-carboxylate",vincamine
15432,391.42,CCN(CC)C(=O)N1CCN(CC1)C.C(C(=O)O)C(CC(=O)O)(C(=O)O)O,"N,N-diethyl-4-methylpiperazine-1-carboxamide;2-hydroxypropane-1,2,3-tricarboxylic acid",diethylcarbamazine citrate
15443,327.4,C1CN(CCN1CCCC(=O)C2=CC=C(C=C2)F)C3=CC=CC=N3,1-(4-fluorophenyl)-4-(4-pyridin-2-ylpiperazin-1-yl)butan-1-one,azaperone
15478,390.5,C[C@]12CC[C@@H](C[C@H]1CC[C@@H]3[C@@H]2C[C@H]([C@]4([C@@]3(CC[C@@H]4C5=CC(=O)OC5)O)C)O)O,"3-[(3S,5R,8R,9S,10S,12R,13S,14S,17R)-3,12,14-trihydroxy-10,13-dimethyl-1,2,3,4,5,6,7,8,9,11,12,15,16,17-tetradecahydrocyclopenta[a]phenanthren-17-yl]-2H-furan-5-one",digoxigenin
15723,267.4,C1CNCCC1C(C2=CC=CC=C2)(C3=CC=CC=C3)O,diphenyl(piperidin-4-yl)methanol,azacyclonol
16362,461.5,C1CN(CCC1N2C3=CC=CC=C3NC2=O)CCCC(C4=CC=C(C=C4)F)C5=CC=C(C=C5)F,"3-[1-[4,4-bis(4-fluorophenyl)butyl]piperidin-4-yl]-1H-benzimidazol-2-one",pimozide
16363,381.4,C1CN(CCC1N2C3=CC=CC=C3NC2=O)CCCC(=O)C4=CC=C(C=C4)F,3-[1-[4-(4-fluorophenyl)-4-oxobutyl]piperidin-4-yl]-1H-benzimidazol-2-one,benperidol
16490,410.5,C[C@@H]1C[C@H]2[C@@H]3C[C@@H](C4=CC(=O)C=C[C@@]4([C@]3([C@H](C[C@@]2([C@]1(C(=O)CO)O)C)O)F)C)F,"(6S,8S,9R,10S,11S,13S,14S,16R,17R)-6,9-difluoro-11,17-dihydroxy-17-(2-hydroxyacetyl)-10,13,16-trimethyl-6,7,8,11,12,14,15,16-octahydrocyclopenta[a]phenanthren-3-one",flumethasone
17134,310.33,COC1=C(N=CN=C1OC)NS(=O)(=O)C2=CC=C(C=C2)N,"4-amino-N-(5,6-dimethoxypyrimidin-4-yl)benzenesulfonamide",sulfadoxine
17275,301.8,C1CN=C(N1)CN(CC2=CC=CC=C2)C3=CC=CC=C3.Cl,"N-benzyl-N-(4,5-dihydro-1H-imidazol-2-ylmethyl)aniline;hydrochloride",antazoline hydrochloride
