Stimulus,Descriptor 1,Descriptor 2,Descriptor 3
7921,Herbal,Sweet,Tobacco
638011,Citrus,Sharp,Lemon
5367785,Floral,Rose,Minty
5367785,Floral,Geranium,Green
5367785,Floral,Geranium,Green
5367785,Floral,Geranium,Green
5367785,Floral,Geranium,Green
5353011,Floral,Green,Ylang
6437979,Floral,Rose,Balsamic
5365847,Fruity,Green,Light
5282109,Floral,Green,Rose
5365849,Floral,Rose,Green
6436989,Floral,Rose,Ozonic
5355853,Floral,Fruity,Tropical-Fruit
5367785,Floral,Geranium,Green
11521869,Herbal,Minty,Cooling
22311,Citrus,Grapefruit,Bitter
22311,Citrus,Fresh,Sharp
22311,Citrus,Fresh,Sharp
22311,Citrus,Grapefruit,Fresh
22311,Citrus,Fresh,Sharp
22311,Citrus,Fresh,Sharp
22311,Citrus,Fresh,Sharp
22311,Citrus,Fresh,Sharp
77777,Spicy,Woody,Smoky
61155,Spicy,Woody,Smoky
61453,Green,Fruity,Orange
8159,Fruity,Green,Citrus
8129,Aldehydic,Green,Fruity
17243,Green,Sweet,Fruity
5352557,Green,Floral,Fresh
95391,Tobacco like,Hay,Powdery
102491,Fruity,Floral,Violet
62575,Floral,Sweet,Green
8103,Fruity,Green,Apple
23235,Woody,Fresh,Balsamic
17525,Fruity,Green,Pineapple
61177,Fruity,Apple,Plum
22873,Fruity,Floral,Pear
61455,Fruity,Sweet,Green
221691,Floral,Sweet,Green
22629,Floral,Sweet,Herbal
637523,Fruity,Fresh,Green
23308253,Aromatic,Fruity,Herbal
23308253,Aromatic,Fruity,Herbal
1103,Citrus,Lime,Lavender
5463911,Floral,Muguet,Green
8863,Floral,Fresh,Lily
163281,Floral,Jasmin,warm
7193,Fruity,Balsamic,Apple
7795,Fruity,Sweet,Banana
5273467,Spicy,Warm,Cinnamon
16617,Fruity,Pineapple,Green
12613,Fruity,Banana,Apple
16255,Fruity,Pineapple,Chocolate
6321405,Herbal,Fresh,Pine
6950273,Herbal,Pine,Green
12859587,Herbal,Pine,Woody
61135,Fruity,Melon,Tropical-Fruit
7733,Fruity,Pineapple,Pear
5367807,Herbal,Green,Spicy
24515,Fruity,Grape,Floral
10885,Fruity,Sweet,Peach
7775,Fruity,Sweet,Pineapple
7351,Fruity,Pineapple,Peach
522171,Fruity,Grapefruit,Floral
10895,Fruity,Sweet,Fermented
6873,Floral,Herbal,Spicy
6561,Green,Floral,Aldehydic
106673,Woody,Balsamic,Sandalwood
16204527,Green,Fresh,Herbal
853433,Spicy,Clove,Floral
107519,Balsamic,Spicy,Floral
764139,Spicy,Powdery,Floral
93199,Aldehydic,Citrus,Orange
6435841,Floral,Waxy,Jasmin
11264493,Woody,Patchouli,Musty
5372195,Floral,Violet,Powdery
162413,Floral,Herbal,Fruity
10453,Floral,Jasmin,Fresh
166517,Floral,Balsamic,Cherry-Blossom
7915,Fruity,Sweet,Banana
86209,Floral,Fresh,Marine
170833,Minty,Herbal,Sweet
94579,Minty,Peppermint,Sweet
33865,Floral,Rose,Soft
112239,Floral,Sweet,Fruity
92043553,Floral,Sweet,Jasmin
92043553,Floral,Sweet,Jasmin
92043553,Floral,Sweet,Jasmin
92043553,Floral,Sweet,Jasmin
92043553,Floral,Sweet,Jasmin
92043553,Floral,Sweet,Jasmin
440967,Herbal,Pine,Woody
89479,Animal like,Creamy,Jasmin
93009,Woody,Herbal,Pine
330573,Minty,Herbal,Balsamic
8205,Floral,Citrus,Fresh
8193,Floral,Soft,Waxy
30247,Citrus,Bergamot,Herbal
7793,Floral,Rose,Fresh
91337,Woody,Pine,Apple
6850743,Citrus,Lemon,Herbal
6850743,Citrus,Lemon,Herbal
6850743,Citrus,Lemon,Herbal
11579,Gourmand,Caramel,Fruity
82229,Herbal,Earthy,Camphoraceous
64807,Floral,Neroli,Muguet
6549,Floral,Fresh,Lavender
102611,Herbal,Earthy,Berry
23535,Floral,Neroli,Ylang
31353,Floral,Tuberose,Lily
62321,Fruity,Bergamot,Banana
240119,Citrus,Bergamot,Lavender
251529,Floral,Rose,Muguet
525,Gourmand,Caramel,Acidic
26447,Minty,Herbal,Sweet
11586787,Minty,Cooling,Fresh
107561,Herbal,Minty,Green
10757,Spicy,Nutmeg,Woody
10757,Spicy,Nutmeg,Woody
10757,Spicy,Nutmeg,Woody
8369,Gourmand,Sweet,Caramel
9025,Gourmand,Spicy,Nutty
27867,Herbal,Minty,Fresh
27867,Herbal,Tea,Cooling
163529,Marine,Aldehydic,Floral
19223,Floral,Sweet,Fresh
18467,Gourmand,Sweet,Vanilla
105651,Floral,Fruity,Neroli
118521,Marine,Mossy,Aldehydic
6438191,Amber,Woody,Smoky
106799,Floral,Neroli,Green
106829,Citrus,Fresh,Ozonic
162275,Gourmand,Almond,Cherry
111355,Green,Citrus,Floral
44147575,Floral,Green,Sweet
5364409,Fruity,Green,Pineapple
13357,Fruity,Green,Apple
8137,Floral,Violet,Cucumber
14079,Fruity,Coconut,Oily
575405,Herbal,Pine,Citrus
519845,Fruity,Sweet,Pineapple
61641,Fruity,Pineapple,Grapefruit
61631,Fruity,Watermelon,Pear
5367719,Floral,Jasmin,Soft
106713,Woody,Spicy,Peppery
6435903,Balsamic,Earthy,Rubbery
7757,Fruity,Citrus,Green
8499,Spicy,Balsamic,Anisic
8635,Floral,Neroli,Fruity
78435,Woody,Mossy,Earthy
5362819,Fruity,Floral,Oily
121731,Citrus,Lemon,Lime
139743,Fruity,Sweet,Mango
162409,Floral,Fruity,Tuberose
23137209,Herbal,Green,Watery
102861,Floral,Fresh,Jasmin
8181,Balsamic,Waxy,Floral
162249,Floral,Jasmin,Green
11039,Fruity,Ethereal,Pineapple
5281929,Floral,Fresh,Magnolia
8139,Aldehydic,Waxy,Coconut
17623,Fruity,Soft,Strawberry
7151,Spicy,Herbal,Tobacco
8091,Fruity,Orange,Waxy
61151,Floral,Herbal,Hyacinth
19089,Floral,Rose,Jasmin
7559,Honey,Sweet,Floral
7455,Floral,Sweet,Anisic
605629,Fruity,Honey,Oily
4133,Herbal,Medicinal,Ylang
16751505,Woody,Floral,Violet
94349,Gourmand,Vanilla,Sweet
6669,Musk like,Sweet,Powdery
31253,Citrus,Herbal,Dry
10975,Citrus,Fresh,Floral
14235,Citrus,Fresh,Lavender
31291,Aldehydic,Waxy,Balsamic
10857465,Amber,Woody,Herbal
643779,Citrus,Fresh,Lemon
61275,Green,Floral,Neroli
5284507,Floral,Rose,Woody
6434513,Floral,Sweet,Citrus
1549025,Floral,Citrus,Rose
5365991,Fruity,Sweet,Berry
6429039,Floral,Rose,Herbal
62907,Minty,Herbal,Fresh
15037,Green,Plastic,Waxy
643731,Green,Cucumber,Fatty
31289,Aldehydic,Sweet,Orange
87813,Fruity,Pear,Green
108625,Aldehydic,Floral,Rose
5368785,Fruity,Citrus,Sweet
166257,Herbal,Fresh,Citrus
335,Animal like,Musty,Medicinal
118537,Musk like,Warm,Floral
161675,Woody,Fruity,Floral
1213,Fruity,Earthy,Soft
3034897,Floral,Ozonic,Melon
100939,Amber,Sage,Warm
162481,Herbal,Aromatic,Woody
111547,Ozonic,Herbal,Clean
20487,Balsamic,Vanilla,Hay
61431,Green,Floral,Citrus
24755581,Ozonic,Herbal,Citrus
228769,Floral,Rose,Honey
6835,Floral,Fruity,Rose
62161,Citrus,Fresh,Sharp
88267,Floral,Rose,Cyclamen
5355293,Musk like,Sweet,Berry
9856149,Musk like,Warm,Powdery
6436339,Musk like,Warm,Powdery
78653,Musk like,Warm,Powdery
54131551,Musk like,Fruity,Amber
162533,Green,Floral,Aldehydic
62385,Smoky,Spicy,Clove
14529,Fruity,Cherry,Sweet
7695,Floral,Anisic,Fruity
10231,Spicy,Green,Peppery
2879,Floral,Jasmin,Ylang
69091,Balsamic,Floral,Green
7463,Citrus,Lemon,Green
13129857,Food Like,Nutty,Woody
12217,Fruity,Sweet,Pineapple
6850741,Minty,Herbal,Camphoraceous
6850741,Minty,Herbal,Camphoraceous
6850741,Minty,Herbal,Camphoraceous
6850741,Minty,Herbal,Camphoraceous
6850741,Minty,Herbal,Camphoraceous
80585,Fruity,Green,Floral
5369459,Floral,Spicy,Balsamic
7711,Floral,Rose,Hyacinth
7655,Fruity,Honey,Floral
16741,Green,Fruity,Oily
7601,Floral,Rose,Balsamic
31225,Green,Hyacinth,Nasturtium
103655,Gourmand,Vanilla,Creamy
75033,Green,Floral,Aldehydic
8361,Balsamic,Floral,Ylang
60995,Floral,Green,Hyacinth
21895,Floral,Green,Honey
999,Honey,Floral,Sweet
8615,Floral,Sweet,Rose
7707,Green,Aldehydic,Floral
5280435,Floral,Waxy,Powdery
637195,Balsamic,Fruity,Jasmin
102553,Herbal,Pine,Green
6987,Herbal,Minty,Camphoraceous
9473,Fruity,Raspberry,Floral
61359,Green,Leafy,Woody
325,Spicy,Sweet,Aromatic
24473,Minty,Warm,Herbal
7461,Herbal,Citrus,Spicy
16441,Green,Fresh,Herbal
10819,Floral,Spicy,Woody
70129,Floral,Sweet,Coumarin
7731,Floral,Fresh,Ylang
173535,Fruity,Blueberry,Raspberry
6999977,Fruity,Sweet,Fermented
527,Fruity,Earthy,Nutty
16063805,Herbal,Fresh,Sage
162239,Fruity,Fermented,Sweet
7997,Fruity,Raspberry,Pear
1031,Fruity,Musty,Fermented
12293,Fruity,Pineapple,Green
61403,Floral,Green,Hyacinth
221641,Floral,Sweet,Honey
7803,Fruity,Sweet,Pineapple
228987,Floral,Muguet,Aldehydic
13669,Floral,Musk Like,Warm
7725,Spicy,Fruity,Almond
8797,Floral,Ylang,Phenolic
11505,Spicy,Cinnamon,Floral
7685,Floral,Lily,Fruity
60997,Floral,Narcissus,Hyacinth
442495,Minty,Sweet,Spearmint
55251157,Food Like,Nutty,Earthy
11980947,Spicy,Sweet,Aromatic
81263,Floral,Rose,Geranium
8833,Floral,Rose,Citrus
61093,Fruity,Rose,Citrus
7781,Floral,Rose,Geranium
1712087,Floral,Woody,Dry
91001317,Fruity,Fermented,Ethereal
102815,Green,Herbal,Leafy
73555481,Woody,Sandalwood,Creamy
73555481,Woody,Sandalwood,Creamy
12315259,Woody,Sandalwood,Creamy
163263,Balsamic,Amber,Sage
118641,Green,Galbanum,Sulfurous
118976605,Woody,Dry,Vetiver
44152459,Woody,Amber,Dry
7501,Floral,Balsamic,Powdery
22833361,Herbal,Camphoraceous,Minty
27209,Fruity,Apricot,Plum
11463,Citrus,Pine,Herbal
111037,Herbal,Lavender,Floral
578423,Balsamic,Fruity,Floral
16537,Floral,Lavender,Fruity
522673,Balsamic,Fruity,Floral
114531,Floral,Hyacinth,Green
121777,Floral,Green,Geranium
3024003,Floral,Rose,Green
6438319,Fruity,Floral,Jasmin
110747,Citrus,Lemon,Aldehydic
89385,Citrus,Herbal,Fresh
162479,Citrus,Fresh,Lily
86751,Citrus,Lemon,Lime
112457,Woody,Earthy,Fruity
61953,Herbal,Tea,Tobacco
6850745,Herbal,Aromatic,Spicy
6850745,Herbal,Aromatic,Spicy
6850745,Herbal,Aromatic,Spicy
6989,Herbal,Green,Smoky
5283345,Aldehydic,Earthy,Coriander
5282707,Green,Fruity,Sweet
5352461,Green,Apple,Banana
5352973,Green,Fruity,Apple
5352463,Green,Fruity,Apple
6437473,Floral,Woody,Balsamic
5364941,Green,Violet,Melon
5283335,Green,Cucumber,Oily
6995537,Herbal,Fruity,Minty
88481,Fruity,Apple,Woody
5283363,Aldehydic,Mandarin,Green
643139,Green,Apple,Pear
5352557,Fruity,Green,Banana
36081,Fruity,Apple,Balsamic
637563,Herbal,Anisic,Spicy
444539,Balsamic,Sweet,Cinnamon
5284503,Green,Leafy,Floral
853433,Spicy,Clove,Floral
5284507,Floral,Rose,Woody
26447,Herbal,Minty,Sweet
7007,Floral,Balsamic,Powdery
96509,Balsamic,Woody,Oily
110655,Herbal,Green,Fruity
86579,Green,Fruity,Pear
110977,Gourmand,Creamy,Sweet
25311,Aldehydic,Citrus,Green
30215,Food Like,Nutty,Savoury
13233,Fruity,Blackcurrant,Sulfurous
8185,Floral,Fresh,Ozonic
114601,Floral,Rose,Oily
9855795,Citrus,Fresh,Green
8063,Gourmand,Fruity,cocoa
7991,Acidic,Cheesy,Fruity
1183,Gourmand,Vanilla,Powdery
539829,Gourmand,Vanilla,Creamy
109455,Gourmand,Vanilla,Sweet
8419,Powdery,Sweet,Creamy
8347,Woody,Vetiver,Amber
8347,Woody,Vetiver,Amber
4133,Herbal,Medicinal,Ylang
4133,Herbal,Medicinal,Ylang
31211,Gourmand,Spicy,Sweet
261491,Herbal,Pine,Fruity
