Sr.No.,Name,SMILES,CAS No,Mol. Wt.,Mol. Formula,PubChem,ZINC
151,Sodium erythorbate,C([C@H]([C@@H]1C(=C(C(=O)O1)O)[O-])O)O.[Na+],6381-77-7,198.11,C6H8O6.Na,23683938,
152,Sodium ricinoleate,CCCCCC[C@H](C/C=CCCCCCCCC(=O)[O-])O.[Na+],5323-95-5,320.44,C18H33NaO3,23687338,
153,MSG monohydrate,C(CC(=O)[O-])[C@@H](C(=O)O)N.O.[Na+],6106--04-3,187.13,C5H10NNaO5,23689119,
154,Dibucaine,CCCCOC1=NC2=CC=CC=C2C(=C1)C(=O)NCCN(CC)CC,85-79-0,343.46,C20H29N3O2,3025,ZINC1530939
155,Sesone,C1=CC(=C(C=C1Cl)Cl)OCCOS(=O)(=O)[O-].[Na+],136-78-7,309.10,C8H7Cl2NaO5S,23690431,
156,Butabarbital sodium,CCC(C)C1(C(=O)NC(=NC1=O)[O-])CC.[Na+],143-81-7,234.23,C10H15N2NaO3,23690439,
157,Sodium perborate monohydrate,B(=O)O[O-].O.[Na+],10332-33-9,100.82,BH2NaO4,23695970,
158,Potassium 2-(1'-ethoxy)ethoxypropionate,CCOC(C)OC(C)C(=O)[O-].[K+],100743-68-8,200.27,C7H13KO4,23720076,
159,"5-(1,1-Dimethyloctyl)-2-((1S,3R)-3-hydroxycyclohexyl)phenol",CCCCCCCC(C)(C)C1=CC(=C(C=C1)[C@H]2CCC[C@H](C2)O)O,132296-11-8,332.52,C22H36O2,23986041,
160,Sodium diphenyldiazo-bis(alpha-naphthylaminesulfonate),C1=CC=C2C(=C1)C(=CC(=C2N)N=NC3=CC=C(C=C3)C4=CC=C(C=C4)N=NC5=C(C6=CC=CC=C6C(=C5)S(=O)(=O)O)N)S(=O)(=O)O.[Na+],573-58-0,675.69,C32H24N6NaO6S2+,24181220,
161,Monoammonium L-glutamate,C(CC(=O)O)[C@@H](C(=O)O)N.N,7558-63-6,164.16,C5H12N2O4,24802175,
162,Methylethylcellulose,CCOCC1C(C(C(C(O1)OC)OCC)OCC)OC2C(C(C(C(O2)COC)OC3C(C(C(C(O3)CO)OC)O)O)OC)OC,9004-59-5,658.73,C29H54O16,24832111,
163,Diethanolamine lauryl ether sulfate,CCCCCCCCCCCCOS(=O)(=O)O.C(CO)NCCO.C(CO)O,53568-66-4,433.60,C18H43NO8S,24843096,
164,Dicamba,COC1=C(C=CC(=C1C(=O)O)Cl)Cl,1918-00-9,221.04,C8H6Cl2O3,3030,ZINC126322
165,"Ethene, homopolymer, oxidized",CC(C(CCCCC=O)O)C(=O)CCC(=O)O,68441-17-8,244.28,C12H20O5,24847855,
166,Sodium ricinolate,CCCCCC[C@H](C/C=C/CCCCCCCC(=O)[O-])O.[Na+],108321-51-3,320.44,C18H33NaO3,25022170,
167,Cob(I)alamin,CC1=CC2=C(C=C1C)N(C=N2)[C@@H]3[C@@H]([C@@H]([C@H](O3)CO)OP(=O)(O)O[C@H](C)CNC(=O)CC[C@@]4([C@H]([C@@H]5[C@]6([C@@]([C@@H](C(=N6)/C(=C7/[C@@]([C@@H](C(=N7)/C=C8/C([C@@H](C(=N8)/C(=C4[N-]5)/C)CCC(=O)N)(C)C)CCC(=O)N)(C)CC(=O)N)/C)CCC(=O)N)(C)CC(=O)N)C)CC(=O)N)C)O.[Co],68-19-9,1330.36,C62H89CoN13O14P-,25195380,
168,"Disodium 7-oxabicyclo(2.2.1)heptane-2,3-dicarboxylate",C1C[C@H]2[C@@H]([C@@H]([C@@H]1O2)C(=O)[O-])C(=O)[O-].[Na+].[Na+],33054-59-0,230.13,C8H8Na2O5,44318676,
169,Cellobiose,C(C1C(C(C(C(O1)OC2C(OC(C(C2O)O)O)CO)O)O)O)O,528-50-7,342.30,C12H22O11,294,ZINC3978744
170,Dichlorophen,C1=CC(=C(C=C1Cl)CC2=C(C=CC(=C2)Cl)O)O,97-23-4,269.12,C13H10Cl2O2,3037,ZINC56435
171,Codoroxmin,CC1=CC2=C(C=C1C)N(C=N2)C3C(C(C(O3)CO)OP(=O)([O-])O[C@@H](C)CNC(=O)CC[C@@]4([C@H](C5[C@]6([C@@]([C@@H](C(=N6)/C(=C7/[C@@]([C@@H](C(=N7)/C=C8/C([C@@H](C(=N8)/C(=C4[N-]5)/C)CCC(=O)N)(C)C)CCC(=O)N)(C)CC(=O)N)/C)CCC(=O)N)(C)CC(=O)N)C)CC(=O)N)C)O.O.[Co+2],13422-51-0,1347.36,C62H90CoN13O15P,45357193,
172,Calcium disodium (ethylenedinitrilo)tetraacetate dihydrate,C(CN(CC(=O)[O-])CC(=O)[O-])N(CC(=O)[O-])CC(=O)[O-].O.O.[Na+].[Na+].[Ca+2],6766-87-6,410.30,C10H16CaN2Na2O10,46245300,
173,Diphenidol,C1CCN(CC1)CCCC(C2=CC=CC=C2)(C3=CC=CC=C3)O,972-02-1,309.45,C21H27NO,3055,ZINC968266
174,Tetracycline,C[C@@]1([C@H]2C[C@H]3[C@@H](C(=O)C(=C([C@]3(C(=O)C2=C(C4=C1C=CC=C4O)O)O)O)C(=O)N)N(C)C)O,60-54-8,444.43,C22H24N2O8,54675776,
175,Erythorbic acid,C([C@H]([C@@H]1C(=C(C(=O)O1)O)O)O)O,89-65-6,176.12,C6H8O6,54675810,
176,Acenocoumarol,CC(=O)CC(C1=CC=C(C=C1)[N+](=O)[O-])C2=C(C3=CC=CC=C3OC2=O)O,152-72-7,353.33,C19H15NO6,54676537,
177,Difenacoum,C1C(CC2=CC=CC=C2C1C3=C(C4=CC=CC=C4OC3=O)O)C5=CC=C(C=C5)C6=CC=CC=C6,56073-07-5,444.52,C31H24O3,54676884,
178,Warfarin,CC(=O)CC(C1=CC=CC=C1)C2=C(C3=CC=CC=C3OC2=O)O,81-81-2,308.33,C19H16O4,54678486,
179,"Calcium 5-[(1S)-1,2-dihydroxyethyl]-3-hydroxy-4-oxo-furan-2-olate",C([C@@H](C1C(=C(C(=O)O1)[O-])O)O)O.C([C@@H](C1C(=C(C(=O)O1)[O-])O)O)O.[Ca+2],5743-27-1,390.31,C12H14CaO12,54678500,
180,Coumatetralyl,C1CC(C2=CC=CC=C2C1)C3=C(C4=CC=CC=C4OC3=O)O,5836-29-3,292.33,C19H16O3,54678504,
181,Dinitolmide,CC1=C(C=C(C=C1C(=O)N)[N+](=O)[O-])[N+](=O)[O-],148-01-6,225.16,C8H7N3O5,3092,ZINC2040950
182,L-Ascorbate,C([C@@H]([C@@H]1C(=C(C(=O)O1)[O-])O)O)O,299-36-5,175.12,C6H7O6-,54679076,
183,Bromadiolone,C1=CC=C(C=C1)C(CC(C2=CC=C(C=C2)C3=CC=C(C=C3)Br)O)C4=C(C5=CC=CC=C5OC4=O)O,28772-56-7,527.41,C30H23BrO4,54680085,
184,Brodifacoum,C1C(CC2=CC=CC=C2C1C3=C(C4=CC=CC=C4OC3=O)O)C5=CC=C(C=C5)C6=CC=C(C=C6)Br,56073-10-0,523.42,C31H23BrO3,54680676,
185,Demeclocycline,CN(C)[C@H]1[C@@H]2C[C@@H]3[C@@H](C4=C(C=CC(=C4C(=C3C(=O)[C@@]2(C(=C(C1=O)C(=O)N)O)O)O)O)Cl)O,127-33-3,464.85,C21H21ClN2O8,54680690,
186,Phenprocoumon,CCC(C1=CC=CC=C1)C2=C(C3=CC=CC=C3OC2=O)O,435-97-2,280.32,C18H16O3,54680692,
187,Achromycin,CC1(C2CC3C(C(=O)C(=C(C3(C(=O)C2=C(C4=C1C=CC=C4O)O)O)O)C(=O)N)N(C)C)O,60-54-8,444.43,C22H24N2O8,54685734,
188,Disulfiram,CCN(CC)C(=S)SSC(=S)N(CC)CC,97-77-8,296.54,C10H20N2S4,3117,ZINC1529266
189,Demeclocycline hydrochloride,CN(C)[C@H]1[C@@H]2C[C@@H]3[C@@H](C4=C(C=CC(=C4C(=C3C(=O)[C@@]2(C(=C(C1=O)C(=O)N)O)O)O)O)Cl)O.Cl,64-73-3,501.31,C21H22Cl2N2O8,54686764,
190,Tetracycline hydrochloride,C[C@@]1([C@H]2C[C@H]3[C@@H](C(=O)C(=C([C@]3(C(=O)C2=C(C4=C1C=CC=C4O)O)O)O)C(=O)N)N(C)C)O.Cl,64-75-5,480.90,C22H25ClN2O8,54704426,
191,Calcium diglutamate,C(CC(=O)O)[C@@H](C(=O)[O-])N.C(CC(=O)O)[C@@H](C(=O)[O-])N.[Ca+2],5996-22-5,332.32,C10H16CaN2O8,56841881,
192,Kaolin,O.O.O=[Al]O[Si](=O)O[Si](=O)O[Al]=O,1332-58-7,258.16,Al2H4O9Si2,56841936,
193,Potassium antimony tartrate,C(C(C(=O)[O-])O)(C(=O)[O-])O.C(C(C(=O)[O-])O)(C(=O)[O-])O.[K+].[Sb+3],16039-64-8,457.00,C8H8KO12Sb,56846568,
194,Diuron,CN(C)C(=O)NC1=CC(=C(C=C1)Cl)Cl,330-54-1,233.09,C9H10Cl2N2O,3120,ZINC57287
195,Glycerol 3-oxotetradecanoate,CCCCCCCCCCCC(=O)CC(=O)O.C(C(CO)O)O,128331-49-7,334.45,C17H34O6,57347404,
196,"10,11-Dimethoxystrychnine",COC1=C(C=C2C(=C1)[C@]34CCN5[C@H]3C[C@@H]6[C@@H]7[C@@H]4N2C(=O)C[C@@H]7OCC=C6C5)OC.O.O,145428-94-0,430.49,C23H30N2O6,69897601,
197,Dralserp,CO[C@H]1[C@@H](C[C@@H]2CN3CCC4=C([C@H]3C[C@@H]2[C@@H]1C(=O)OC)NC5=C4C=CC(=C5)OC)OC(=O)C6=CC(=C(C(=C6)OC)OC)OC.C1=CC=C2C(=C1)C=NN=C2NN,37304-91-9,768.85,C41H48N6O9,71300666,
198,Droperidol,C1CN(CC=C1N2C3=CC=CC=C3NC2=O)CCCC(=O)C4=CC=C(C=C4)F,548-73-2,379.43,C22H22FN3O2,3168,ZINC19796080
199,Polydextrose,C([C@@H]1[C@H]([C@@H]([C@H](C(O1)OC[C@@H]2[C@H]([C@@H]([C@H]([C@H](O2)O)O)O)O)O)O)O)O,68424-04-4,342.30,C12H22O11,71306906,
200,DL-Lysine-6-13C dihydrochloride,C(C[13CH2]N)CC(C(=O)O)N.Cl.Cl,127488-93-1,220.10,C6H16Cl2N2O2,71309234,
201,Agar,CC1[C@H]([C@H]2C(C(O1)CO2)OC3[C@@H]([C@H]([C@H]([C@H](O3)CO)O)OC)O)O,9002-18-0,336.33,C14H24O9,71571511,
202,Arsenic trisulfide,S1[As]2S[As]1S2,1303-33-9,246.04,As2S3,71586773,
203,Endothall,C1CC2C(C(C1O2)C(=O)O)C(=O)O,145-73-3,186.16,C8H10O5,3225,ZINC3872447
204,Tartar emetic,[C@@H]([C@H](C(=O)[O-])[O-])(C(=O)[O-])[O-].[C@@H]([C@H](C(=O)[O-])[O-])(C(=O)[O-])[O-].O.O.O.[K+].[K+].[Sb+3].[Sb+3],28300-74-5,667.87,C8H10K2O15Sb2,73415808,
205,"Formic acid, nickel salt",C(=O)O.C(=O)O.[Ni],15843-02-4,150.74,C2H4NiO4,73557423,
206,Casein,CC(C)CC(C(=NC(CCC(=N)O)C(=NC(CC(=O)O)C(=NC(CCCCN)C(=O)O)O)O)O)N=C(C(CCC(=O)O)N=C(C(CC(=O)O)N=C(C(CCC(=O)O)N=C(C(C(C)O)N=C(C(CCC(=N)O)N=C(C(CCC(=N)O)N=C(C(CCC(=N)O)N=C(C(CCC(=O)O)N=C(C(CCC(=O)O)N=C(C(COP(=O)(O)O)N=C(C(CCC(=N)O)N=C(C(CC1=CC=CC=C1)N)O)O)O)O)O)O)O)O)O)O)O)O,9000-71-9,2061.96,C81H125N22O39P,73995022,
207,Etambutol,CCC(CO)NCCNC(CC)CO,1070-11-7,204.31,C10H24N2O2,3279,ZINC19364219
208,"(1S)-3-[2-[(1R,7Ar)-1-[(E,2R,5R)-5,6-dimethylhept-3-en-2-yl]-7a-methyl-2,3,3a,5,6,7-hexahydro-1H-inden-4-ylidene]ethylidene]-4-methylidenecyclohexan-1-ol",C[C@H](/C=C/[C@H](C)C(C)C)[C@H]1CCC2[C@@]1(CCCC2=CC=C3C[C@H](CCC3=C)O)C,50-14-6,396.65,C28H44O,87070941,
209,Ethinamate,C#CC1(CCCCC1)OC(=O)N,126-52-3,167.21,C9H13NO2,3284,ZINC1385
210,Coenzyme B12,CC1=CC2=C(C=C1C)N(C=N2)[C@@H]3[C@@H]([C@@H]([C@H](O3)CO)OP(=O)([O-])O[C@@H](C)CNC(=O)CC[C@]4([C@H]([C@@H]5[C@]6([C@@]([C@@H](C(=N6)/C(=C7/[C@@]([C@@H](C(=N7)/C=C8/C([C@@H](C(=N8)/C(=C4[N-]5)/C)CCC(=O)N)(C)C)CCC(=O)N)(C)CC(=O)N)/C)CCC(=O)N)(C)CC(=O)N)C)CC(=O)N)C)O.[CH2-][C@@H]1[C@H]([C@H]([C@@H](O1)N2C=NC3=C2N=CN=C3N)O)O.[Co],13870-90-1,1579.58,C72H100CoN18O17P-3,91820207,
211,Ethion,CCOP(=S)(OCC)SCSP(=S)(OCC)OCC,563-12-2,384.48,C9H22O4P2S4,3286,ZINC2034740
212,Muscovite,[O-2].O=[Al]O[Al]=O.O=[Si]=O.[K+].[K+],1318-94-1,256.24,KAl2[AlSi3O10](OH)2,92027383,
213,"Decasodium;3-methoxy-6-[2-(6-methoxy-4,5-disulfonatooxyoxan-3-yl)oxy-5-[5-(5-methoxy-3,4-disulfonatooxyoxan-2-yl)oxy-3,4-disulfonatooxyoxan-2-yl]oxy-4-sulfonatooxyoxan-3-yl]oxy-4,5-disulfonatooxyoxane","decasodium;3-methoxy-6-[2-(6-methoxy-4,5-disulfonatooxyoxan-3-yl)oxy-5-[5-(5-methoxy-3,4-disulfonatooxyoxan-2-yl)oxy-3,4-disulfonatooxyoxan-2-yl]oxy-4-sulfonatooxyoxan-3-yl]oxy-4,5-disulfonatooxyoxane-2-carboxylate",37319-17-8,1705.06,C29H38Na10O50S9,92043424,
214,"(2Z,5S,8R,9S,14S,17S)-17-Hydroxy-2-(hydroxymethylidene)-10,13,17-trimethyl-1,4,5,6,7,8,9,11,12,14,15,16-dodecahydrocyclopenta[a]phenanthren-3-one",C[C@@]1(CC[C@@H]2C1(CC[C@H]3[C@H]2CC[C@@H]4C3(C/C(=C/O)/C(=O)C4)C)C)O,434-07-1,332.48,,117072361,
215,Ethoxzolamide,CCOC1=CC2=C(C=C1)N=C(S2)S(=O)(=O)N,452-35-7,258.32,C9H10N2O3S2,3295,ZINC56721
216,Mithramycin,C[C@H]1[C@@H]([C@H](C[C@@H](O1)O[C@H]2C[C@@H](O[C@H]([C@@H]2O)C)OC3=CC4=CC5=C(C(=O)[C@@H]([C@H](C5)[C@H](C(=O)[C@@H]([C@H](C)O)O)OC)O[C@@H]6C[C@@H]([C@H]([C@@H](O6)C)O)O[C@@H]7C[C@@H]([C@H]([C@@H](O7)C)O)O[C@@H]8C[C@@]([C@@H]([C@@H](O8)C)O)(C)O)C(=C4C(=C3C)O)O)O)O,18378-89-7,1085.15,C21H32O3,122172942,
217,"Trideuteriomethyl (1R,2S,9R,14R,15S,17S)-2,15-dimethyl-5,5'-dioxospiro[18-oxapentacyclo[8.8.0.01,17.02,7.011,15]octadec-6-ene-14,2'-oxolane]-9-carboxylate",[2H]C([2H])([2H])OC(=O)[C@@H]1CC2=CC(=O)CC[C@@]2([C@]34C1C5CC[C@]6([C@]5(C[C@@H]3O4)C)CCC(=O)O6)C,107724-20-9,417.51,C24H30O6,122199251,
218,"Gold(1+);(2S,3R,4S,5S,6R)-3,4,5-triacetyloxy-6-(acetyloxymethyl)oxane-2-thiolate;triethylphosphane",CCP(CC)CC.CC(=O)OC[C@@H]1[C@@H]([C@@H]([C@H]([C@@H](O1)[S-])OC(=O)C)OC(=O)C)OC(=O)C.[Au+],34031-32-8,678.48,C20H34AuO9PS,124081048,
219,Felbamate,C1=CC=C(C=C1)C(COC(=O)N)COC(=O)N,25451-15-4,238.24,C11H14N2O4,3331,ZINC1530803
220,Calcium;disodium;2-[2-[bis(carboxylatomethyl)amino]ethyl-(carboxylatomethyl)amino]acetate,C(CN(CC(=O)[O-])CC(=O)[O-])N(CC(=O)[O-])CC(=O)[O-].[Na+].[Na+].[Ca+2],200-529-9,374.27,C10H12CaN2Na2O8,129627867,
221,Flucytosine,C1=NC(=O)NC(=C1F)N,2022-85-7,129.09,C4H4FN3O,3366,ZINC896546
222,XC Polymer,CC(=O)OCC1C(C(C(C(O1)OC2C(C(OC(C2OC3C(C(C(C(O3)CO)OP)O)O)CO)CP)O)OC4C(C(C(C(O4)C(=O)O)OC5C(C(C6C(O5)COC(O6)(C)C(=O)O)O)O)O)O)O)O,11138-66-2,1016.78,C36H58O29P2,131750926,
223,Propylene glycol alginate,CC1C(C(C(OC1C(=O)OCC(C)O)OC2C(C(C(OC2C(=O)O)OC)O)O)O)O,9005-37-2,440.40,C17H28O13,131752735,
224,"1-Hydroxy-14-(2-hydroxypropan-2-yl)-13-methyl-4,7,10-trioxapentacyclo[6.4.1.19,12.03,5.05,13]tetradecane-6,11-dione;(1R,3R,5S,8S,9R,12S,13R,14R)-1-hydroxy-13-methyl-14-prop-1-en-2-yl-4,7,10-trioxapent",CC(=C)[C@@H]1[C@@H]2[C@@H]3[C@@]4([C@]([C@H]1C(=O)O2)(C[C@@H]5[C@]4(O5)C(=O)O3)O)C.CC12C3C4C(C(C1(CC5C2(O5)C(=O)O3)O)C(=O)O4)C(C)(C)O,124-87-8,602.58,C30H34O13,131846146,
225,Erythromycin Stearate,CCCCCCCCCCCCCCCCCC(=O)O.CCC1[C@]([C@H](C(C(=O)[C@H](C[C@]([C@H]([C@@H](C([C@@H](C(=O)O1)C)O[C@@H]2C[C@]([C@@H]([C@H](O2)C)O)(C)OC)C)O[C@@H]3[C@H]([C@@H](C[C@@H](O3)C)N(C)C)O)(C)O)C)C)O)(C)O,643-22-1,1018.40,C55H103NO15,133126689,
226,5-Fluorouracil,C1=C(C(=O)NC(=O)N1)F,51-21-8,130.08,C4H3FN2O2,3385,ZINC38212689
227,"(1S,3Z,4S)-3-[(2E)-2-[(1R,3As,7aR)-1-[(E,2R)-5,6-dimethylhept-3-en-2-yl]-7a-methyl-2,3,3a,5,6,7-hexahydro-1H-inden-4-ylidene]ethylidene]-4-methylcyclohexan-1-ol",C[C@H]1CC[C@@H](C/C1=C/C=C/2CCC[C@]3([C@H]2CC[C@@H]3[C@H](C)/C=C/C(C)C(C)C)C)O,67-96-9,398.66,C28H46O,134715456,
228,Fluoroandrenolone acetonide,CC1(OC2CC3C4CC(C5=CC(=O)CCC5(C4C(CC3(C2(O1)C(=O)CO)C)O)C)F)C,_,436.51,C24H33FO6,3392,ZINC607896
229,"2-Oxazolidinone, 3-[[(5-nitro-2-furanyl)methylene]amino]-",C1COC(=O)N1N=CC2=CC=C(O2)[N+](=O)[O-],67-45-8,225.16,C8H7N3O5,3435,ZINC113418
230,Furosemide,C1=COC(=C1)CNC2=CC(=C(C=C2C(=O)O)S(=O)(=O)N)Cl,54-31-9,330.74,C12H11ClN2O5S,3440,ZINC35804
231,Bromuconazole,C1C(COC1(CN2C=NC=N2)C3=C(C=C(C=C3)Cl)Cl)Br,116255-48-2,377.06,C13H12BrCl2N3O,3444,ZINC2383073
232,Flaxedil,CC[N+](CC)(CC)CCOC1=C(C(=CC=C1)OCC[N+](CC)(CC)CC)OCC[N+](CC)(CC)CC,7006-17-9,510.82,C30H60N3O3+3,3450,ZINC3830882
233,Glyphosate,C(C(=O)O)NCP(=O)(O)O,1071-83-6,169.07,C3H8NO5P,3496,ZINC3872713
234,Chlordecone,C1(=O)C2(C3(C4(C1(C5(C2(C3(C(C45Cl)(Cl)Cl)Cl)Cl)Cl)Cl)Cl)Cl)Cl,143-50-0,490.64,C10Cl10O,299,ZINC100064026
235,Gris-PEG,CC1CC(=O)C=C(C12C(=O)C3=C(O2)C(=C(C=C3OC)OC)Cl)OC,6915--11-3,352.77,C17H17ClO6,3512,ZINC622123
236,Hydralazine,C1=CC=C2C(=C1)C=NN=C2NN,304-20-1,160.18,C8H8N4,3637,ZINC12360535
237,Hydrochlorothiazide,C1NC2=CC(=C(C=C2S(=O)(=O)N1)S(=O)(=O)N)Cl,58-93-5,297.74,C7H8ClN3O4S2,3639,ZINC896569
238,Hydroflumethiazide,C1NC2=C(C=C(C(=C2)C(F)(F)F)S(=O)(=O)N)S(=O)(=O)N1,135-09-1,331.29,C8H8F3N3O4S2,3647,ZINC897225
239,Imipramine,CN(C)CCCN1C2=CC=CC=C2CCC3=CC=CC=C31,50-49-7,280.41,C19H24N2,3696,ZINC20245
240,Indomethacin,CC1=C(C2=C(N1C(=O)C3=CC=C(C=C3)Cl)C=CC(=C2)OC)CC(=O)O,53-86-1,357.79,C19H16ClNO4,3715,ZINC601283
241,Iodoquinol,C1=CC2=C(C(=C(C=C2I)I)O)N=C1,83-73-8,396.95,C9H5I2NO,3728,ZINC3830942
242,Iodipamide,C1=C(C(=C(C(=C1I)NC(=O)CCCCC(=O)NC2=C(C=C(C(=C2I)C(=O)O)I)I)I)C(=O)O)I,606-17-7,1139.76,C20H14I6N2O6,3739,
243,Lansoprazole,CC1=C(C=CN=C1CS(=O)C2=NC3=CC=CC=C3N2)OCC(F)(F)F,103577-45-3,369.36,C16H14F3N3O2S,3883,ZINC599734
244,Letrozole,C1=CC(=CC=C1C#N)C(C2=CC=C(C=C2)C#N)N3C=NC=N3,112809-51-5,285.30,C17H11N5,3902,ZINC3778874
245,Citric acid,C(C(=O)O)C(CC(=O)O)(C(=O)O)O,77-92-9,192.12,C6H8O7,311,ZINC895081
246,Sarcolysin,C1=CC(=CC=C1CC(C(=O)O)N)N(CCCl)CCCl,531-76-0,305.20,C13H18Cl2N2O2,4053,ZINC1673
247,Methenamine,C1N2CN3CN1CN(C2)C3,100-97-0,140.19,C6H12N4,4101,ZINC86040406
248,Methoxsalen,COC1=C2C(=CC3=C1OC=C3)C=CC(=O)O2,298-81-7,216.19,C12H8O4,4114,ZINC2548959
249,3-Hydroxy-alpha-methyl-DL-tyrosine,CC(CC1=CC(=C(C=C1)O)O)(C(=O)O)N,55-40-3,211.21,C10H13NO4,4138,ZINC20255
250,A-Methapred,CC1CC2C3CCC(C3(CC(C2C4(C1=CC(=O)C=C4)C)O)C)(C(=O)CO)O,83-43-2,374.47,C22H30O5,4159,ZINC3875560
251,Metolazone,CC1NC2=CC(=C(C=C2C(=O)N1C3=CC=CC=C3C)S(=O)(=O)N)Cl,17560-51-9,365.83,C16H16ClN3O3S,4170,ZINC601254
252,Metronidazole,CC1=NC=C(N1CCO)[N+](=O)[O-],443-48-1,171.15,C6H9N3O3,4173,ZINC113442
253,Minoxidil,C1CCN(CC1)C2=NC(=N)N(C(=C2)N)O,38304-91-5,209.25,C9H15N5O,4201,ZINC1735
254,Corgard,CC(C)(C)NCC(COC1=CC=CC2=C1CC(C(C2)O)O)O,42200-33-9,309.40,C17H27NO4,4411,ZINC3812974
255,Nalidixic acid,CCN1C=C(C(=O)C2=C1N=C(C=C2)C)C(=O)O,389-08-2,232.24,C12H12N2O3,4421,ZINC57421
256,Naphazoline,C1CN=C(N1)CC2=CC=CC3=CC=CC=C32,835-31-4,210.27,C14H14N2,4436,ZINC119717
257,Nitroglycerin,C(C(CO[N+](=O)[O-])O[N+](=O)[O-])O[N+](=O)[O-],55-63-0,227.09,C3H5N3O9,4510,ZINC8214625
258,17-Ethynyl-17-hydroxyestr-5(10)-en-3-one,CC12CCC3C(C1CCC2(C#C)O)CCC4=C3CCC(=O)C4,13577-86-1,298.42,C20H26O2,4537,ZINC1482123
259,Gnoscopine,CN1CCC2=CC3=C(C(=C2C1C4C5=C(C(=C(C=C5)OC)OC)C(=O)O4)OC)OCO3,6035-40-1,413.42,C22H23NO7,4544,ZINC19418976
260,Nylidrin,CC(CCC1=CC=CC=C1)NC(C)C(C2=CC=C(C=C2)O)O,447-41-6,299.41,C19H25NO2,4567,ZINC57422
261,Oxazepam,C1=CC=C(C=C1)C2=NC(C(=O)NC3=C2C=C(C=C3)Cl)O,604-75-1,286.71,C15H11ClN2O2,4616,ZINC575
262,Oxotremorine,C1CCN(C1)CC#CCN2CCCC2=O,70-22-4,206.28,C12H18N2O,4630,ZINC1530795
263,Oxyphenbutazone,CCCCC1C(=O)N(N(C1=O)C2=CC=C(C=C2)O)C3=CC=CC=C3,129-20-4,324.37,C19H20N2O3,4641,ZINC1606505
264,4-Aminosalicylic acid,C1=CC(=C(C=C1N)O)C(=O)O,65-49-6,153.14,C7H7NO3,4649,ZINC922
265,Patulin,C1C=C2C(=CC(=O)O2)C(O1)O,247172-18-5,154.12,C7H6O4,4696,ZINC3874615
266,4-Aminoisoxazolidin-3-one,C1C(C(=O)NO1)N,68-39-3,102.09,C3H6N2O2,401,ZINC34676245
267,Pentobarbital,CCCC(C)C1(C(=O)NC(=O)NC1=O)CC,57-33-0,226.27,C11H18N2O3,4737,ZINC13545634
268,Perphenazine,C1CN(CCN1CCCN2C3=CC=CC=C3SC4=C2C=C(C=C4)Cl)CCO,58-39-9,403.97,C21H26ClN3OS,4748,ZINC19228902
269,Phenacemide,C1=CC=C(C=C1)CC(=O)NC(=O)N,63-98-9,178.19,C9H10N2O2,4753,ZINC1916
270,Phenacetin,CCOC1=CC=C(C=C1)NC(=O)C,62-44-2,179.22,C10H13NO2,4754,ZINC602
271,Phenindione,C1=CC=C(C=C1)C2C(=O)C3=CC=CC=C3C2=O,83-12-5,222.24,C15H10O2,4760,ZINC100004862
272,Phenobarbital,CCC1(C(=O)NC(=O)NC1=O)C2=CC=CC=C2,50-06-6,232.24,C12H12N2O3,4763,ZINC95588079
273,Phenolphthalein,C1=CC=C2C(=C1)C(=O)OC2(C3=CC=C(C=C3)O)C4=CC=C(C=C4)O,77-09-8,318.32,C20H14O4,4764,ZINC3831317
274,Phenylbutazone,CCCCC1C(=O)N(N(C1=O)C2=CC=CC=C2)C3=CC=CC=C3,50-33-9,308.37,C19H20N2O2,4781,ZINC100004227
275,Phloretin,C1=CC(=CC=C1CCC(=O)C2=C(C=C(C=C2O)O)O)O,60-82-2,274.27,C15H14O5,4788,ZINC47553
276,DL-Aspartic acid,C(C(C(=O)O)N)C(=O)O,617-45-8,133.10,C4H7NO4,424,ZINC895218
277,Prilocaine,CCCNC(C)C(=O)NC1=CC=CC=C1C,721-50-6,220.31,C13H20N2O,4906,ZINC1530816
278,Primidone,CCC1(C(=O)NCNC1=O)C2=CC=CC=C2,125-33-7,218.25,C12H14N2O2,4909,ZINC1979
279,Probenecid,CCCN(CCC)S(=O)(=O)C1=CC=C(C=C1)C(=O)O,57-66-9,285.36,C13H19NO4S,4911,ZINC1982
280,Prometryn,CC(C)NC1=NC(=NC(=N1)SC)NC(C)C,7287-19-6,241.36,C10H19N5S,4929,ZINC1635499
281,Propanil,CCC(=O)NC1=CC(=C(C=C1)Cl)Cl,709-98-8,218.08,C9H9Cl2NO,4933,ZINC362579
282,Propyl gallate,CCCOC(=O)C1=CC(=C(C(=C1)O)O)O,121-79-9,212.20,C10H12O5,4947,ZINC1532172
283,Pyridostigmine,C[N+]1=CC=CC(=C1)OC(=O)N(C)C,155-97-5,181.21,C9H13N2O2+,4991,ZINC2009
284,Rotenone,CC(=C)C1CC2=C(O1)C=CC3=C2OC4COC5=CC(=C(C=C5C4C3=O)OC)OC,83-79-4,394.42,C23H22O6,6758,ZINC1530836
285,Saccharin,C1=CC=C2C(=C1)C(=O)NS2(=O)=O,81-07-2,183.18,C7H5NO3S,5143,ZINC2560357
286,Secobarbital,CCCC(C)C1(C(=O)NC(=O)NC1=O)CC=C,309-43-3,238.28,C12H18N2O3,5193,ZINC2005550
