Sr. No,Primary Odor,Sub-odor,CAS-Id,Chemical name
3328,Caramel,Buttery,84642-61-5,1-Methyl-2-oxopropyl butyrate
3329,Caramel,Buttery,21834-92-4,5-Methyl-2-phenylhex-2-enal
3330,Caramel,Buttery,122-57-6,Benzylideneacetone
3331,Caramel,Buttery,13991-37-2,2-Pentenoic acid
3332,Caramel,Buttery,38433-74-8,3-(Methylthio)hexanal
3333,Caramel,Buttery,4502-00-5,Sodium 4-methyl-2-oxovalerate
3334,Caramel,Buttery,1871-67-6,2-Octenoic acid
3335,Caramel,Buttery,18679-18-0,(Z)-4-Hydroxy-6-dodecenoic acid lactone
3336,Caramel,Buttery,16491-36-4,cis-3-Hexenyl butyrate
3337,Caramel,Buttery,68698-59-9,trans-2-Hexenyl isovalerate
3338,Caramel,Buttery,35852-46-1,(E)-Hex-3-enyl valerate
3339,Caramel,Buttery,81925-81-7,5-Methyl-2-hepten-4-one
3340,Caramel,Buttery,84642-60-4,(E)-Oct-2-enyl butyrate
3341,Caramel,Buttery,85392-03-6,5-Decenoic acid
3342,Caramel,Buttery,85392-04-7,6-Decenoic acid
3343,Caramel,Buttery,6728-31-0,cis-4-Heptenal
3344,Caramel,Buttery,18402-82-9,3-Octen-2-one
3345,Caramel,Buttery,30361-29-6,"2,4-Undecadienal"
3346,Caramel,Buttery,26446-31-1,Glyceryl 5-hydroxydecanoate
3347,Caramel,Buttery,63095-33-0,gamma-Jasmolactone
3348,Caramel,Buttery,103-13-9,Methoxystyryl isopropyl ketone
3349,Caramel,Buttery,70851-61-5,(Z)-5-Hex-3-enyldihydro-5-methylfuran-2(3H)-one
3350,Caramel,Buttery,38462-23-6,"Pyridine, 4-(4,8-dimethyl-3,7-nonadienyl)-"
3351,Caramel,Buttery,65504-97-4,"2-Hexyl-5-keto-1,4-dioxane"
3352,Caramel,Buttery,59285-67-5,(S)-delta-Decanolide
3353,Caramel,Buttery,3188-00-9,(2S)-2-Methyloxolan-3-one
3354,Caramel,Buttery,71662-27-6,Ethyl butyryl lactate
3355,Caramel,Buttery,7774-47-2,"2(3H)-Furanone, 5,5-dibutyldihydro-"
3356,Caramel,Buttery,68959-28-4,Jasmolactone
3357,Caramel,Buttery,94089-23-3,Acetoin propyleneglycol ketal
3358,Caramel,Buttery,7779-66-0,Isoamyl 4-(2-furan)butyrate
3359,Caramel,Buttery,15456-70-9,9-Tetradecen-5-olide
3360,Caramel,Caramel,600-18-0,2-Oxobutyric acid
3361,Caramel,Caramel,431-03-8,"2,3-Butanedione"
3362,Caramel,Caramel,133-37-9,Tartaric acid
3363,Caramel,Caramel,78-98-8,Methylglyoxal
3364,Caramel,Caramel,127-17-3,Pyruvic acid
3365,Caramel,Caramel,121-33-5,Vanillin
3366,Caramel,Caramel,50-70-4,Sorbitol
3367,Caramel,Caramel,58-86-6,DL-Xylose
3368,Caramel,Caramel,60-01-5,Tributyrin
3369,Caramel,Caramel,80-71-7,Cyclotene
3370,Caramel,Caramel,88-09-5,2-Ethylbutyric acid
3371,Caramel,Caramel,96-48-0,gamma-Butyrolactone
3372,Caramel,Caramel,97-99-4,Tetrahydrofurfuryl alcohol
3373,Caramel,Caramel,98-00-0,Furfuryl alcohol
3374,Caramel,Caramel,98-01-1,Furfural
3375,Caramel,Caramel,98-02-2,Furfuryl mercaptan
3376,Caramel,Caramel,100-06-1,4'-Methoxyacetophenone
3377,Caramel,Caramel,104-50-7,gamma-Octalactone
3378,Caramel,Caramel,105-13-5,4-Methoxybenzyl alcohol
3379,Caramel,Caramel,105-21-5,gamma-Heptalactone
3380,Caramel,Caramel,116-09-6,Hydroxyacetone
3381,Caramel,Caramel,118-71-8,Maltol
3382,Caramel,Caramel,120-14-9,Veratraldehyde
3383,Caramel,Caramel,121-32-4,Ethyl vanillin
3384,Caramel,Caramel,121-39-1,Ethyl 3-phenylglycidate
3385,Caramel,Caramel,150-60-7,Dibenzyl disulfide
3386,Caramel,Caramel,536-78-7,3-Ethylpyridine
3387,Caramel,Caramel,539-88-8,Ethyl levulinate
3388,Caramel,Caramel,123-76-2,Levulinic acid
3389,Caramel,Caramel,600-14-6,"2,3-Pentanedione"
3390,Caramel,Caramel,617-35-6,Ethyl pyruvate
3391,Caramel,Caramel,620-02-0,5-Methylfurfural
3392,Caramel,Caramel,637-64-9,Tetrahydrofurfuryl acetate
3393,Caramel,Caramel,675-09-2,"4,6-Dimethyl-2H-pyran-2-one"
3394,Caramel,Caramel,699-17-2,4-(2-Furyl)butan-2-one
3395,Caramel,Caramel,765-87-7,"1,2-Cyclohexanedione"
3396,Caramel,Caramel,1192-62-7,2-Acetylfuran
3397,Caramel,Caramel,1193-18-6,3-Methyl-2-cyclohexen-1-one
3398,Caramel,Caramel,1193-79-9,2-Acetyl-5-methylfuran
3399,Caramel,Caramel,2052-15-5,Butyl levulinate
3400,Caramel,Caramel,3188-00-9,2-Methyltetrahydrofuran-3-one
3401,Caramel,Caramel,3420-59-5,Isomaltol
3402,Caramel,Caramel,3658-77-3,Furaneol
3403,Caramel,Caramel,3848-24-6,"2,3-Hexanedione"
3404,Caramel,Caramel,3943-74-6,Methyl vanillate
3405,Caramel,Caramel,4940-11--8,Ethyl maltol
3406,Caramel,Caramel,5292-21-7,Cyclohexylacetic acid
3407,Caramel,Caramel,5910-89-4,"2,3-Dimethylpyrazine"
3408,Caramel,Caramel,7217-59-6,2-Methoxybenzenethiol
3409,Caramel,Caramel,7554--12-3,Diethyl malate
3410,Caramel,Caramel,13679-75-9,2-Propionylthiophene
3411,Caramel,Caramel,13925-06-9,2-Isobutyl-3-methylpyrazine
3412,Caramel,Caramel,27043-05-6,"2-Ethyl-3,5-dimethylpyrazine"
3413,Caramel,Caramel,122-84-9,4-Methoxyphenylacetone
3414,Caramel,Caramel,22694-96-8,"2,4,5-Trimethyl-3-oxazoline"
3415,Caramel,Caramel,23787-80-6,2-Acetyl-3-methylpyrazine
3416,Caramel,Caramel,27538-10-9,2-Ethyl-4-hydroxy-5-methyl-3(2H)-furanone
3417,Caramel,Caramel,591-80-0,4-Pentenoic acid
3418,Caramel,Caramel,698-10-2,5-Ethyl-3-hydroxy-4-methylfuran-2(5H)-one
3419,Caramel,Caramel,765-70-8,"3-Methylcyclopentane-1,2-dione"
3420,Caramel,Caramel,4077-47-8,"2,5-Dimethyl-4-methoxy-3(2H)-furanone"
3421,Caramel,Caramel,4166-20-5,"2,5-Dimethyl-4-oxo-4,5-dihydrofuran-3-yl acetate"
3422,Caramel,Caramel,4208-49-5,Allyl 2-furoate
3423,Caramel,Caramel,13246-52-1,"Ethyl 2,4-dioxohexanoate"
3424,Caramel,Caramel,13327-56-5,Ethyl 3-(methylthio)propionate
3425,Caramel,Caramel,13494-06-9,"3,4-Dimethyl-1,2-cyclopentanedione"
3426,Caramel,Caramel,13494-07-0,"3,5-Dimethyl-1,2-cyclopentanedione"
3427,Caramel,Caramel,36701-01-6,Furfuryl pentanoate
3428,Caramel,Caramel,39252-03-4,Furfuryl octanoate
3429,Caramel,Caramel,57124-87-5,2-Methyltetrahydrofuran-3-thiol
3430,Caramel,Caramel,57500-00-2,Methyl furfuryl disulfide
3431,Caramel,Caramel,59021-02-2,2-Mercaptomethylpyrazine
3432,Caramel,Caramel,57968-71-5,Diethyl tartrate
3433,Caramel,Caramel,498-00-0,Vanillyl alcohol
3434,Caramel,Caramel,499-54-7,7-Isopropyl-4-methyloxepan-2-one
3435,Caramel,Caramel,4437-51-8,"3,4-Hexanedione"
3436,Caramel,Caramel,5208-59-3,(-)-beta-Bourbonene
3437,Caramel,Caramel,21835-01-8,3-Ethyl-2-hydroxy-2-cyclopenten-1-one
3438,Caramel,Caramel,28664-35-9,"3-Hydroxy-4,5-dimethylfuran-2(5H)-one"
3439,Caramel,Caramel,38713-41-6,"Pyrazine, (1-methylethenyl)-"
3440,Caramel,Caramel,41239-48-9,"2,5-Diethyltetrahydrofuran"
3441,Caramel,Caramel,53263-58-4,5-Ethyl-2-hydroxy-3-methylcyclopent-2-en-1-one
3442,Caramel,Caramel,87-55-8,Cyclotene propionate
3443,Caramel,Caramel,624-45-3,Methyl levulinate
3444,Caramel,Caramel,1334-82-3,Amyl 2-furoate
3445,Caramel,Caramel,1968-40-7,Ethyl 4-pentenoate
3446,Caramel,Caramel,10493-98-8,2-Hydroxycyclopent-2-en-1-one
3447,Caramel,Caramel,13679-74-8,2-Acetyl-5-methylthiophene
3448,Caramel,Caramel,15186-51-3,"Furan, 3-methyl-2-(3-methyl-2-butenyl)-"
3449,Caramel,Caramel,14400-67-0,"2,5-Dimethyl-3(2H)-furanone"
3450,Caramel,Caramel,17369-60-7,"5-Ethyl-2,3,4,5-tetramethyl-2-cyclohexenone"
3451,Caramel,Caramel,17369-61-8,"5-Ethyl-3,4,5,6-tetramethyl-2-cyclohexen-1-one"
3452,Caramel,Caramel,21835-00-7,"2-Cyclopenten-1-one, 2-hydroxy-3,4-dimethyl-"
3453,Caramel,Caramel,585-24-0,Isobutyl lactate
3454,Caramel,Caramel,27538-09-6,5-Ethyl-4-hydroxy-2-methylfuran-3(2H)-one
3455,Caramel,Caramel,77-70-3,Ethyl 2-hydroxy-2-methylbutanoate
3456,Caramel,Caramel,54300-08-2,"2-Acetyl-3,5-dimethylpyrazine"
3457,Caramel,Caramel,54300-09-3,"2-Acetyl-3,6-dimethylpyrazine"
3458,Caramel,Caramel,68227-51-0,2-Methyl-5-oxo-1-cyclopenten-1-yl butyrate
3459,Caramel,Caramel,68555-63-5,Maltol propionate
3460,Caramel,Caramel,69898-48-2,"2-Methoxy-3,5-dimethylcyclopent-2-en-1-one"
3461,Caramel,Caramel,13494-08-1,"1,2-Cyclopentanedione, 3-ethyl-"
3462,Caramel,Caramel,80-59-1,Tiglic acid
3463,Caramel,Caramel,72207-94-4,2-Ethoxy-4-formylphenyl acetate
3464,Caramel,Caramel,645-67-0,Propyl levulinate
3465,Caramel,Caramel,5413-49-0,"1,3-Dioxolane-2-propanoic acid, 2,4-dimethyl-, ethyl ester"
3466,Caramel,Caramel,6975-60-6,2-Furylacetone
3467,Caramel,Caramel,5457-70-5,Phenethyl octanoate
3468,Caramel,Caramel,3194-17-0,2-Pentanoylfuran
3469,Caramel,Caramel,67-47-0,5-Hydroxymethylfurfural
3470,Caramel,Caramel,6638-05--7,"2,6-Dimethoxy-4-methylphenol"
3471,Caramel,Caramel,999-10-0,Ethyl 4-hydroxybutanoate
3472,Caramel,Caramel,10544-63-5,Ethyl crotonate
3473,Caramel,Caramel,4023-65-8,trans-Aconitic acid
3474,Caramel,Caramel,52704-36-6,(E)-3-Hydroxypent-3-en-2-one
3475,Caramel,Caramel,25343-57-1,"2-Acetyl-1,4,5,6-tetrahydropyridine"
3476,Caramel,Caramel,27300-27-2,"1-(3,4,5,6-Tetrahydro-2-pyridinyl)ethanone"
3477,Caramel,Caramel,41654-19-7,Methyl 2-hydroxy-3-methylpentanoate
3478,Caramel,Caramel,71172-75-3,Isoamyl levulinate
3479,Caramel,Caramel,7774-74-5,Thiophene-2-thiol
3480,Caramel,Caramel,20279-43-0,Propyl pyruvate
3481,Caramel,Caramel,50746-10-6,3-Mercapto-3-methylbutyl formate
3482,Caramel,Caramel,67952-65-2,2-Methyl-5-(methylthio)pyrazine
3483,Caramel,Caramel,42348-12-9,3-Ethyl-2-hydroxy-4-methylcyclopent-2-en-1-one
3484,Caramel,Caramel,53263-56-2,"2-Hydroxy-3,5,5-trimethyl-2-cyclopenten-1-one"
3485,Caramel,Caramel,109682-87-3,"2-Hydroxy-3,4,5-trimethyl-2-cyclopenten-1-one"
3486,Caramel,Caramel,113486-29-6,"3-Methyl-2,4-nonanedione"
3487,Caramel,Caramel,7779-72-8,Isoamyl pyruvate
3488,Caramel,Caramel,7779-67-1,Isoamyl 3-(2-furan)propionate
3489,Caramel,Caramel,20665-85-4,Vanillin isobutyrate
3490,Caramel,Caramel,14542-13-3,2-Methoxythiazole
3491,Caramel,Caramel,188417-26-7,Ethyl vanillin isobutyrate
3492,Caramel,Caramel,65330-49-6,"2,5-Dimethyl-4-ethoxy-3(2H)-furanone"
3493,Caramel,Caramel,110516-60-4,2(Or 5)-Ethyl-4-hydroxy-5(or 2)-methyl-3(2H)-furanone
3494,Caramel,Caramel,72797-28-5,4-(Diethoxymethyl)-1-ethoxy-2-methoxybenzene
3495,Caramel,Caramel,3008-43-3,"3-Methylcyclohexane-1,2-dione"
3496,Caramel,Caramel,65416-14-0,Maltyl isobutyrate
3497,Caramel,Caramel,19322-27-1,4-Hydroxy-5-methylfuran-3(2H)-one
3498,Caramel,Caramel,5837-78-5,Ethyl tiglate
3499,Caramel,Caramel,94-86-0,Vanitrope
3500,Caramel,Caramel,68133-76-6,cis-3-Hexenyl pyruvate
3501,Caramel,Caramel,7785-64-0,Butyl angelate
3502,Caramel,Caramel,19089-92-0,Hexyl crotonate
3503,Caramel,Caramel,38019-89-5,"(E)-1-(1-Ethoxyethoxy)-3,7-dimethylocta-2,6-diene"
3504,Caramel,Caramel,30361-29-6,"2,4-Undecadienal"
3505,Caramel,Caramel,56172-46-4,Geranyl crotonate
3506,Caramel,Caramel,125476-24-6,"cis-2-Cyclopenten-1-one, 2-hydroxy-3,4,5-trimethyl"
3507,Caramel,Caramel,103-13-9,Methoxystyryl isopropyl ketone
3508,Caramel,Caramel,589-66-2,Isobutyl crotonate
3509,Caramel,Caramel,623-22-3,Propyl 2-furanacrylate
3510,Caramel,Caramel,131222-76-9,"(2R)-4-Methoxy-2,5-dimethylfuran-3-one"
3511,Caramel,Caramel,39156-54-2,"Ethyl 2,5-Dimethyl-3-oxo-4(2H)-furyl carbonate"
3512,Caramel,Caramel,36871-78-0,"4-Acetyl-2,5-dimethylfuran-3(2H)-one"
3513,Caramel,Caramel,63253-24-7,"4-(4,5-Dimethyl-1,3-dioxolan-2-yl)-2-methoxyphenol"
3514,Caramel,Caramel,7779-66-0,Isoamyl 4-(2-furan)butyrate
3515,Caramel,Caramel,39252-05-6,Furfuryl decanoate
3516,Caramel,Caramel,852997-28-5,Ethyl maltol isobutyrate
3517,Caramel,Caramel,69134-53-8,Diethyl 2-hydroxypentanedioate
3518,Caramel,Chocolate,123-72-8,Butyraldehyde
3519,Caramel,Chocolate,123-38-6,Propionaldehyde
3520,Caramel,Chocolate,120-72-9,Indole
3521,Caramel,Chocolate,122-78-1,Phenylacetaldehyde
3522,Caramel,Chocolate,103-82-2,Phenylacetic acid
3523,Caramel,Chocolate,121-33-5,Vanillin
3524,Caramel,Chocolate,78-84-2,Isobutyraldehyde
3525,Caramel,Chocolate,93-15-2,Methyleugenol
3526,Caramel,Chocolate,93-51-6,2-Methoxy-4-methylphenol
3527,Caramel,Chocolate,96-17-3,2-Methylbutyraldehyde
3528,Caramel,Chocolate,98-02-2,Furfuryl mercaptan
3529,Caramel,Chocolate,101-97-3,Ethyl phenylacetate
3530,Caramel,Chocolate,102-19-2,Isoamyl phenylacetate
3531,Caramel,Chocolate,103-50-4,Dibenzyl ether
3532,Caramel,Chocolate,104-53-0,3-Phenylpropanal
3533,Caramel,Chocolate,105-13-5,4-Methoxybenzyl alcohol
3534,Caramel,Chocolate,105-79-3,Isobutyl hexanoate
3535,Caramel,Chocolate,107-87-9,2-Pentanone
3536,Caramel,Chocolate,108-50-9,"2,6-Dimethylpyrazine"
3537,Caramel,Chocolate,109-08-0,2-Methylpyrazin
3538,Caramel,Chocolate,116-53-0,2-Methylbutanoic acid
3539,Caramel,Chocolate,121-34-6,Vanillic acid
3540,Caramel,Chocolate,121-98-2,Methyl 4-methoxybenzoate
3541,Caramel,Chocolate,134-20-3,Methyl anthranilate
3542,Caramel,Chocolate,134-96-3,Syringaldehyde
3543,Caramel,Chocolate,141-79-7,Mesityl oxide
3544,Caramel,Chocolate,505-32-8,Isophytol
3545,Caramel,Chocolate,534-22-5,2-Methylfuran
3546,Caramel,Chocolate,589-35-5,3-Methyl-1-pentanol
3547,Caramel,Chocolate,590-86-3,3-Methylbutanal
3548,Caramel,Chocolate,600-14-6,"2,3-Pentanedione"
3549,Caramel,Chocolate,615-10-1,Propyl 2-furoate
3550,Caramel,Chocolate,644-08-6,4-Methylbiphenyl
3551,Caramel,Chocolate,1076-56-8,Thymol methyl ether
3552,Caramel,Chocolate,1124-11-4,Tetramethylpyrazine
3553,Caramel,Chocolate,1759-28-0,4-Methyl-5-vinylthiazole
3554,Caramel,Chocolate,2050-08-0,Pentyl salicylate
3555,Caramel,Chocolate,2847-30-5,2-Methoxy-3-methylpyrazine
3556,Caramel,Chocolate,3149-28-8,2-Methoxypyrazine
3557,Caramel,Chocolate,5205-11--8,Prenyl benzoate
3558,Caramel,Chocolate,27043-05-6,"2-Ethyl-3,5-dimethylpyrazine"
3559,Caramel,Chocolate,14667-55-1,"2,3,5-Trimethylpyrazine"
3560,Caramel,Chocolate,20662-84-4,"2,4,5-Trimethyloxazole"
3561,Caramel,Chocolate,22047-25-2,Acetylpyrazine
3562,Caramel,Chocolate,122-43-0,Butyl phenylacetate
3563,Caramel,Chocolate,123-25-1,Diethyl succinate
3564,Caramel,Chocolate,123-32-0,"2,5-Dimethylpyrazine"
3565,Caramel,Chocolate,25773-40-4,2-Isopropyl-3-methoxypyrazine
3566,Caramel,Chocolate,40789-98-8,3-Mercapto-2-butanone
3567,Caramel,Chocolate,65505-17-1,Methyl 2-methyl-3-furyl disulfide
3568,Caramel,Chocolate,102-13-6,Isobutyl phenylacetate
3569,Caramel,Chocolate,120-50-3,Isobutyl benzoate
3570,Caramel,Chocolate,13184-86-6,4-(Ethoxymethyl)-2-methoxyphenol
3571,Caramel,Chocolate,13623-11-5,"2,4,5-Trimethylthiazole"
3572,Caramel,Chocolate,15706-73-7,Butyl 2-methylbutyrate
3573,Caramel,Chocolate,21835-01-8,3-Ethyl-2-hydroxy-2-cyclopenten-1-one
3574,Caramel,Chocolate,38713-41-6,"Pyrazine, (1-methylethenyl)-"
3575,Caramel,Chocolate,5421-00-1,(Tetrahydrofuryl)methyl phenylacetate
3576,Caramel,Chocolate,5137-52-0,Pentyl phenylacetate
3577,Caramel,Chocolate,67952-60-7,2-(Methyldithio)isobutyraldehyde
3578,Caramel,Chocolate,67634-20-2,"3a,4,5,6,7,7a-Hexahydro-4,7-methano-1H-inden-5-yl isobutyrate"
3579,Caramel,Chocolate,68527-74-2,"2-Methoxy-4-(4-methyl-1,3-dioxolan-2-yl)phenol"
3580,Caramel,Chocolate,68165-40-2,"2,4,6-Triisobutyl-1,3,5-trioxane"
3581,Caramel,Chocolate,135910-94-0,5-Methylhept-2-en-4-one
3582,Caramel,Chocolate,18277-27-5,2-(1-Methylpropyl)thiazole
3583,Caramel,Chocolate,19961-52-5,5-Ethyl-2-methylthiazole
3584,Caramel,Chocolate,24295-03-2,2-Acetylthiazole
3585,Caramel,Chocolate,20665-85-4,Vanillin isobutyrate
3586,Caramel,Chocolate,26643-91-4,"Benzeneacetaldehyde, alpha-(2-methylpropylidene)-"
3587,Caramel,Chocolate,21834-92-4,5-Methyl-2-phenylhex-2-enal
3588,Caramel,Chocolate,188417-26-7,Ethyl vanillin isobutyrate
3589,Caramel,Chocolate,141-12-8,Neryl acetate
3590,Caramel,Chocolate,67936-13-4,"2,5-Dihydro-2-isopropyl-4-methylthiazole"
3591,Caramel,Chocolate,65894-83-9,"4,5-Dimethyl-2-isobutyl-3-thiazoline"
3592,Caramel,Chocolate,7779-65-9,Isopentyl cinnamate
3593,Caramel,Chocolate,103-41-3,Cinnamein
3594,Caramel,Chocolate,76788-46-0,"4,5-Dimethyl-2-ethyl-3-thiazoline"
3595,Caramel,Chocolate,21834-92-4,5-Methyl-2-phenyl-2-hexenal
3596,Caramel,Chocolate,4411-89-6,2-Phenyl-2-butenal
3597,Caramel,Chocolate,7493-78-9,Amyl cinnamyl acetate
3598,Caramel,Chocolate,26643-91-4,4-Methyl-2-phenylpent-2-enal
3599,Caramel,Chocolate,246511-74-0,2-Hydroxy-5-methyl-3-hexanone
3600,Caramel,Chocolate,163038-04-8,3-Hydroxy-5-methyl-2-hexanone
3601,Caramel,Chocolate,83418-53-5,"Thiazole, 5-ethyl-2,5-dihydro-4-methyl-2-(2-methylpropyl)-"
3602,Caramel,Chocolate,63253-24-7,"4-(4,5-Dimethyl-1,3-dioxolan-2-yl)-2-methoxyphenol"
3603,Caramel,Honey,123-08-0,4-Hydroxybenaldehyde
3604,Caramel,Honey,124-13-0,Octanal
3605,Caramel,Honey,120-72-9,Indole
3606,Caramel,Honey,156-06-9,Phenylpyruvic acid
3607,Caramel,Honey,122-78-1,Phenylacetaldehyde
3608,Caramel,Honey,103-82-2,Phenylacetic acid
3609,Caramel,Honey,97-53-0,Eugenol
3610,Caramel,Honey,60-12--8,2-Phenylethanol
3611,Caramel,Honey,77-83-8,Ethyl methylphenylglycidate
3612,Caramel,Honey,93-08-3,2-Acetylnaphthalene
3613,Caramel,Honey,94-47-3,Phenethyl benzoate
3614,Caramel,Honey,101-41-7,Methyl phenylacetate
3615,Caramel,Honey,101-49-5,"2-Benzyl-1,3-dioxolane"
3616,Caramel,Honey,101-97-3,Ethyl phenylacetate
3617,Caramel,Honey,102-04-5,"1,3-Diphenylacetone"
3618,Caramel,Honey,102-17-0,4-Methoxybenzyl phenylacetate
3619,Caramel,Honey,102-19-2,Isoamyl phenylacetate
3620,Caramel,Honey,102-20-5,Phenethyl phenylacetate
3621,Caramel,Honey,103-25-3,Methyl 3-phenylpropionate
3622,Caramel,Honey,103-45-7,Phenethyl acetate
3623,Caramel,Honey,103-48-0,Phenethyl isobutyrate
3624,Caramel,Honey,103-58-2,3-Phenylpropyl isobutyrate
3625,Caramel,Honey,104-53-0,3-Phenylpropanal
3626,Caramel,Honey,105-57-7,Acetal
3627,Caramel,Honey,105-66-8,Propyl butyrate
3628,Caramel,Honey,105-85-1,Citronellyl formate
3629,Caramel,Honey,111-81-9,Methyl 10-undecenoate
3630,Caramel,Honey,112-53-8,1-Dodecanol
3631,Caramel,Honey,118-55-8,Phenyl salicylate
3632,Caramel,Honey,118-93-4,2'-Hydroxyacetophenone
3633,Caramel,Honey,121-39-1,Ethyl 3-phenylglycidate
3634,Caramel,Honey,133-18-6,Phenethyl anthranilate
3635,Caramel,Honey,139-70-8,Citronellyl phenylacetate
3636,Caramel,Honey,141-16-2,Citronellyl butyrate
3637,Caramel,Honey,577-16-2,2'-Methylacetophenone
3638,Caramel,Honey,579-07-7,"1-Phenyl-1,2-propanedione"
3639,Caramel,Honey,637-64-9,Tetrahydrofurfuryl acetate
3640,Caramel,Honey,1123-85-9,2-Phenylpropan-1-ol
3641,Caramel,Honey,1646-26-0,2-Acetylbenzofuran
3642,Caramel,Honey,1797-74-6,Allyl phenylacetate
3643,Caramel,Honey,2021-28-5,Ethyl 3-phenylpropionate
3644,Caramel,Honey,2408-37-9,"2,2,6-Trimethylcyclohexanone"
3645,Caramel,Honey,122-59-8,Phenoxyacetic acid
3646,Caramel,Honey,5292-21-7,Cyclohexylacetic acid
3647,Caramel,Honey,5694-72-4,Phenylacetaldehyde glyceryl acetal
3648,Caramel,Honey,7493-74-5,Allyl phenoxyacetate
3649,Caramel,Honey,10138-32-6,"Bicyclo[2.2.1]hept-5-ene-2-carboxylic acid, ethyl ester"
3650,Caramel,Honey,10402-33-2,Eugenyl phenylacetate
3651,Caramel,Honey,14049-11-7,"2H-Pyran-3-ol, 6-ethenyltetrahydro-2,2,6-trimethyl-"
3652,Caramel,Honey,16409-43-1,Rose oxide
3653,Caramel,Honey,20780-49-8,"3,7-Dimethyloctyl acetate"
3654,Caramel,Honey,122-43-0,Butyl phenylacetate
3655,Caramel,Honey,122-70-3,2-Phenylethyl propionate
3656,Caramel,Honey,122-72-5,3-Phenylpropyl acetate
3657,Caramel,Honey,122-97-4,3-Phenyl-1-propanol
3658,Caramel,Honey,124-10-7,Methyl tetradecanoate
3659,Caramel,Honey,35044-68-9,"2-Buten-1-one, 1-(2,6,6-trimethyl-1-cyclohexen-1-yl)-, (2Z)-"
3660,Caramel,Honey,29460-90-0,Isopropylpyrazine
3661,Caramel,Honey,41114-00-5,Ethyl pentadecanoate
3662,Caramel,Honey,101-94-0,p-Tolyl phenylacetate
3663,Caramel,Honey,102-13-6,Isobutyl phenylacetate
3664,Caramel,Honey,102-16-9,Benzyl phenylacetate
3665,Caramel,Honey,71648-43-6,"Benzeneacetic acid, (2E)-3,7-dimethyl-2,6-octadien-1-yl ester"
3666,Caramel,Honey,103-60-6,2-Phenoxyethyl isobutyrate
3667,Caramel,Honey,104-20-1,4-(4-Methoxyphenyl)-2-butanone
3668,Caramel,Honey,104-64-3,3-Phenylpropyl formate
3669,Caramel,Honey,122-45-2,Octyl phenylacetate
3670,Caramel,Honey,4112-89-4,Guaiacyl phenylacetate
3671,Caramel,Honey,6290-37-5,2-Phenylethyl hexanoate
3672,Caramel,Honey,7492-67-3,Citronelloxyacetaldehyde
3673,Caramel,Honey,7540-53-6,Citronellyl valerate
3674,Caramel,Honey,10031-71-7,"1,1-Dimethyl-3-phenylpropyl isobutyrate"
3675,Caramel,Honey,10486-14-3,Rhodinyl phenylacetate
3676,Caramel,Honey,52789-73-8,1-Acetylcyclohexyl acetate
3677,Caramel,Honey,90-87-9,2-Phenylpropionaldehyde dimethyl acetal
3678,Caramel,Honey,4861-85-2,Isopropyl phenylacetate
3679,Caramel,Honey,546-49-6,"3,3,6-Trimethylhepta-1,5-dien-4-one"
3680,Caramel,Honey,582-24-1,2-Hydroxyacetophenone
3681,Caramel,Honey,635-46-1,"1,2,3,4-Tetrahydroquinoline"
3682,Caramel,Honey,68345-22-2,"[2,2-Bis(2-methylpropoxy)ethyl]benzen"
3683,Caramel,Honey,4740-79-8,"2-Benzyl-1,3-dioxan-5-ol"
3684,Caramel,Honey,5451-52-5,Decyl formate
3685,Caramel,Honey,7403-42-1,4-Methyl-4-phenylpentan-2-one
3686,Caramel,Honey,13679-74-8,2-Acetyl-5-methylthiophene
3687,Caramel,Honey,14289-65-7,Allyl phenethyl ether
3688,Caramel,Honey,18189-02-1,Isopropyl anthranilate
3689,Caramel,Honey,23511-70-8,2-Phenoxyethyl butyrate
3690,Caramel,Honey,7/3/6270,"1-Phenyl-1,2-ethanediol diacetate"
3691,Caramel,Honey,5421-00-1,(Tetrahydrofuryl)methyl phenylacetate
3692,Caramel,Honey,42288-75-5,Cyclohexyl phenylacetate
3693,Caramel,Honey,39736-25-9,Heptyl phenylacetate
3694,Caramel,Honey,55066-48-3,3-Methyl-5-phenylpentan-1-ol
3695,Caramel,Honey,60763-42-0,"3,6-Dimethyl-3-octyl acetate"
3696,Caramel,Honey,68922-10-1,Citronellyl isovalerate
3697,Caramel,Honey,14352-61-5,Methyl cyclohexylacetate
3698,Caramel,Honey,76649-23-5,Prenyl isobutyrate
3699,Caramel,Honey,93952-58-0,Isopropyl 1-cyclohexene-1-acetate
3700,Caramel,Honey,4606-15-9,Propyl phenylacetate
3701,Caramel,Honey,5421-17-0,Hexyl phenylacetate
3702,Caramel,Honey,7786-58-5,Octyl isovalerate
3703,Caramel,Honey,7143-69-3,Linalyl phenylacetate
3704,Caramel,Honey,7149-32-8,Phenethyl 2-furoate
3705,Caramel,Honey,2046-17-5,Methyl 4-phenylbutyrate
3706,Caramel,Honey,3856-25-5,(-)-alpha-Copaene
3707,Caramel,Honey,140-10-3,Cinnamic acid
3708,Caramel,Honey,2050-01--3,Isopentyl isobutyrate
3709,Caramel,Honey,2441-06--7,Ethyl 2-hydroxy-3-methylbutanoate
3710,Caramel,Honey,5132-75-2,Octyl heptanoate
3711,Caramel,Honey,26643-91-4,"Benzeneacetaldehyde, alpha-(2-methylpropylidene)-"
3712,Caramel,Honey,3549-23-3,Methyl p-tert-butylphenylacetate
