"","Stimulus","Experiment","CIDs","Concentration","Ratio","Solvent"
"432",432,"keller2016","61293",0.001,"1/1000","paraffin oil"
"433",433,"keller2016","1550470",0.001,"1/1000","paraffin oil"
"434",434,"keller2016","1550470",1e-05,"1/100000","paraffin oil"
"435",435,"keller2016","520108",1e-05,"1/100000","paraffin oil"
"436",436,"keller2016","520108",0.001,"1/1000","paraffin oil"
"437",437,"keller2016","62444",1e-05,"1/100000","paraffin oil"
"438",438,"keller2016","62444",0.001,"1/1000","paraffin oil"
"439",439,"keller2016","88454",0.001,"1/1000","paraffin oil"
"440",440,"keller2016","88454",1e-05,"1/100000","paraffin oil"
"441",441,"keller2016","32594",1e-05,"1/100000","paraffin oil"
"442",442,"keller2016","32594",0.001,"1/1000","paraffin oil"
"443",443,"keller2016","2733294",1e-05,"1/100000","paraffin oil"
"444",444,"keller2016","2733294",0.001,"1/1000","paraffin oil"
"445",445,"keller2016","8456",0.1,"1/10","paraffin oil"
"446",446,"keller2016","8456",0.001,"1/1000","paraffin oil"
"447",447,"keller2016","5367706",1e-05,"1/100000","paraffin oil"
"448",448,"keller2016","5367706",0.001,"1/1000","paraffin oil"
"449",449,"keller2016","595928",0.001,"1/1000","paraffin oil"
"450",450,"keller2016","595928",1e-05,"1/100000","paraffin oil"
"451",451,"keller2016","220674",0.1,"1/10","paraffin oil"
"452",452,"keller2016","220674",0.001,"1/1000","paraffin oil"
"453",453,"keller2016","17525",0.001,"1/1000","paraffin oil"
"454",454,"keller2016","17525",1e-05,"1/100000","paraffin oil"
"455",455,"keller2016","17617",0.001,"1/1000","paraffin oil"
"456",456,"keller2016","17617",1e-05,"1/100000","paraffin oil"
"457",457,"keller2016","520296",1e-05,"1/100000","paraffin oil"
"458",458,"keller2016","520296",0.001,"1/1000","paraffin oil"
"459",459,"keller2016","62465",0.001,"1/1000","paraffin oil"
"460",460,"keller2016","62465",1e-05,"1/100000","paraffin oil"
"461",461,"keller2016","93375",1e-05,"1/100000","paraffin oil"
"462",462,"keller2016","93375",0.001,"1/1000","paraffin oil"
"463",463,"keller2016","17898",1e-05,"1/100000","paraffin oil"
"464",464,"keller2016","17898",0.001,"1/1000","paraffin oil"
"465",465,"keller2016","62835",1e-07,"1/10000000","paraffin oil"
"466",466,"keller2016","62835",1e-05,"1/100000","paraffin oil"
"467",467,"keller2016","9256",0.001,"1/1000","paraffin oil"
"468",468,"keller2016","9256",1e-05,"1/100000","paraffin oil"
"469",469,"keller2016","9261",1e-05,"1/100000","paraffin oil"
"470",470,"keller2016","9261",0.001,"1/1000","paraffin oil"
"471",471,"keller2016","18467",0.001,"1/1000","paraffin oil"
"472",472,"keller2016","18467",1e-05,"1/100000","paraffin oil"
"473",473,"keller2016","3578033",1e-05,"1/100000","paraffin oil"
"474",474,"keller2016","3578033",0.001,"1/1000","paraffin oil"
"475",475,"keller2016","18554",1e-05,"1/100000","paraffin oil"
"476",476,"keller2016","18554",0.001,"1/1000","paraffin oil"
"477",477,"keller2016","18635",1e-05,"1/100000","paraffin oil"
"478",478,"keller2016","18635",1e-07,"1/10000000","paraffin oil"
"479",479,"keller2016","61918",0.001,"1/1000","paraffin oil"
"480",480,"keller2016","61918",1e-05,"1/100000","paraffin oil"
"481",481,"keller2016","2969",0.001,"1/1000","paraffin oil"
"482",482,"keller2016","2969",0.1,"1/10","paraffin oil"
"483",483,"keller2016","5365049",1e-05,"1/100000","paraffin oil"
"484",484,"keller2016","5365049",0.001,"1/1000","paraffin oil"
"485",485,"keller2016","18827",0.001,"1/1000","paraffin oil"
"486",486,"keller2016","18827",1e-05,"1/100000","paraffin oil"
"487",487,"keller2016","36822",1e-05,"1/100000","paraffin oil"
"488",488,"keller2016","36822",1e-07,"1/10000000","paraffin oil"
"489",489,"keller2016","6999977",1e-05,"1/100000","paraffin oil"
"490",490,"keller2016","6999977",0.001,"1/1000","paraffin oil"
"491",491,"keller2016","9589",1e-05,"1/100000","paraffin oil"
"492",492,"keller2016","9589",0.001,"1/1000","paraffin oil"
"493",493,"keller2016","61945",1e-05,"1/100000","paraffin oil"
"494",494,"keller2016","61945",1e-07,"1/10000000","paraffin oil"
"495",495,"keller2016","9609",1e-07,"1/10000000","paraffin oil"
"496",496,"keller2016","9609",1e-05,"1/100000","paraffin oil"
"497",497,"keller2016","101604",1e-05,"1/100000","paraffin oil"
"498",498,"keller2016","101604",0.001,"1/1000","paraffin oil"
"499",499,"keller2016","19310",1e-07,"1/10000000","paraffin oil"
"500",500,"keller2016","19310",1e-05,"1/100000","paraffin oil"
"501",501,"keller2016","2682",0.001,"1/1000","paraffin oil"
"502",502,"keller2016","2682",0.1,"1/10","paraffin oil"
"503",503,"keller2016","5363388",1e-05,"1/100000","paraffin oil"
"504",504,"keller2016","5363388",0.001,"1/1000","paraffin oil"
"505",505,"keller2016","62087",1e-05,"1/100000","paraffin oil"
"506",506,"keller2016","62087",1e-07,"1/10000000","paraffin oil"
"507",507,"keller2016","3796-70-1",0.001,"1/1000","paraffin oil"
"508",508,"keller2016","3796-70-1",1e-05,"1/100000","paraffin oil"
"509",509,"keller2016","62900",1e-05,"1/100000","paraffin oil"
"510",510,"keller2016","62900",0.001,"1/1000","paraffin oil"
"511",511,"keller2016","62902",1e-05,"1/100000","paraffin oil"
"512",512,"keller2016","62902",0.001,"1/1000","paraffin oil"
"513",513,"keller2016","98330",0.1,"1/10","paraffin oil"
"514",514,"keller2016","98330",0.001,"1/1000","paraffin oil"
"515",515,"keller2016","61325",0.001,"1/1000","paraffin oil"
"516",516,"keller2016","61325",1e-05,"1/100000","paraffin oil"
"517",517,"keller2016","61331",0.001,"1/1000","paraffin oil"
"518",518,"keller2016","61331",0.1,"1/10","paraffin oil"
"519",519,"keller2016","5365027",1e-05,"1/100000","paraffin oil"
"520",520,"keller2016","5365027",0.001,"1/1000","paraffin oil"
"521",521,"keller2016","5352539",0.001,"1/1000","paraffin oil"
"522",522,"keller2016","5352539",1e-05,"1/100000","paraffin oil"
"523",523,"keller2016","637563",1e-05,"1/100000","paraffin oil"
"524",524,"keller2016","637563",0.001,"1/1000","paraffin oil"
"525",525,"keller2016","61337",1e-05,"1/100000","paraffin oil"
"526",526,"keller2016","61337",0.001,"1/1000","paraffin oil"
"527",527,"keller2016","444683",1e-05,"1/100000","paraffin oil"
"528",528,"keller2016","444683",0.001,"1/1000","paraffin oil"
"529",529,"keller2016","5367698",1e-05,"1/100000","paraffin oil"
"530",530,"keller2016","5367698",0.001,"1/1000","paraffin oil"
"531",531,"keller2016","650",1e-05,"1/100000","paraffin oil"
"532",532,"keller2016","650",0.001,"1/1000","paraffin oil"
"533",533,"keller2016","6429333",1e-07,"1/10000000","paraffin oil"
"534",534,"keller2016","6429333",1e-05,"1/100000","paraffin oil"
"535",535,"keller2016","159055",0.001,"1/1000","paraffin oil"
"536",536,"keller2016","159055",0.1,"1/10","paraffin oil"
"537",537,"keller2016","2758",1e-05,"1/100000","paraffin oil"
"538",538,"keller2016","2758",0.001,"1/1000","paraffin oil"
"539",539,"keller2016","521238",0.001,"1/1000","paraffin oil"
"540",540,"keller2016","521238",0.1,"1/10","paraffin oil"
"541",541,"keller2016","10285",1e-07,"1/10000000","paraffin oil"
"542",542,"keller2016","10285",1e-05,"1/100000","paraffin oil"
"543",543,"keller2016","21057",0.001,"1/1000","paraffin oil"
"544",544,"keller2016","21057",1e-05,"1/100000","paraffin oil"
"545",545,"keller2016","2214",0.001,"1/1000","paraffin oil"
"546",546,"keller2016","2214",0.1,"1/10","paraffin oil"
"547",547,"keller2016","10364",0.001,"1/1000","paraffin oil"
"548",548,"keller2016","10364",1e-05,"1/100000","paraffin oil"
"549",549,"keller2016","10400",1e-05,"1/100000","paraffin oil"
"550",550,"keller2016","10400",0.001,"1/1000","paraffin oil"
"551",551,"keller2016","10430",1e-05,"1/100000","paraffin oil"
"552",552,"keller2016","10430",1e-07,"1/10000000","paraffin oil"
"553",553,"keller2016","10448",1e-07,"1/10000000","paraffin oil"
"554",554,"keller2016","10448",1e-05,"1/100000","paraffin oil"
"555",555,"keller2016","62351",1e-05,"1/100000","paraffin oil"
"556",556,"keller2016","62351",0.001,"1/1000","paraffin oil"
"557",557,"keller2016","5779",0.001,"1/1000","paraffin oil"
"558",558,"keller2016","5779",0.1,"1/10","paraffin oil"
"559",559,"keller2016","5780",0.001,"1/1000","paraffin oil"
"560",560,"keller2016","5780",0.1,"1/10","paraffin oil"
"561",561,"keller2016","262",0.001,"1/1000","paraffin oil"
"562",562,"keller2016","262",1e-05,"1/100000","paraffin oil"
"563",563,"keller2016","1551246",1e-05,"1/100000","paraffin oil"
"564",564,"keller2016","1551246",0.001,"1/1000","paraffin oil"
"565",565,"keller2016","5610",0.001,"1/1000","paraffin oil"
"566",566,"keller2016","5610",0.1,"1/10","paraffin oil"
"567",567,"keller2016","78925",0.001,"1/1000","paraffin oil"
"568",568,"keller2016","78925",1e-05,"1/100000","paraffin oil"
"569",569,"keller2016","5862",0.1,"1/10","paraffin oil"
"570",570,"keller2016","5862",0.001,"1/1000","paraffin oil"
"571",571,"keller2016","10722",0.001,"1/1000","paraffin oil"
"572",572,"keller2016","10722",1e-05,"1/100000","paraffin oil"
"573",573,"keller2016","21363",0.001,"1/1000","paraffin oil"
"574",574,"keller2016","21363",1e-05,"1/100000","paraffin oil"
"575",575,"keller2016","10748",0.001,"1/1000","paraffin oil"
"576",576,"keller2016","10748",0.1,"1/10","paraffin oil"
"577",577,"keller2016","10797",1e-07,"1/10000000","paraffin oil"
"578",578,"keller2016","10797",1e-05,"1/100000","paraffin oil"
"579",579,"keller2016","325",0.001,"1/1000","paraffin oil"
"580",580,"keller2016","325",0.1,"1/10","paraffin oil"
"581",581,"keller2016","10882",0.001,"1/1000","paraffin oil"
"582",582,"keller2016","10882",1e-05,"1/100000","paraffin oil"
"583",583,"keller2016","10886",0.1,"1/10","paraffin oil"
"584",584,"keller2016","10886",0.001,"1/1000","paraffin oil"
"585",585,"keller2016","10890",1e-05,"1/100000","paraffin oil"
"586",586,"keller2016","10890",0.001,"1/1000","paraffin oil"
"587",587,"keller2016","10895",1e-05,"1/100000","paraffin oil"
"588",588,"keller2016","10895",0.001,"1/1000","paraffin oil"
"589",589,"keller2016","62572",0.001,"1/1000","paraffin oil"
"590",590,"keller2016","62572",1e-05,"1/100000","paraffin oil"
"591",591,"keller2016","10925",1e-05,"1/100000","paraffin oil"
"592",592,"keller2016","10925",1e-07,"1/10000000","paraffin oil"
"593",593,"keller2016","104721",1e-05,"1/100000","paraffin oil"
"594",594,"keller2016","104721",0.001,"1/1000","paraffin oil"
"595",595,"keller2016","21648",0.1,"1/10","paraffin oil"
"596",596,"keller2016","21648",0.001,"1/1000","paraffin oil"
"597",597,"keller2016","62089",0.1,"1/10","paraffin oil"
"598",598,"keller2016","62089",0.001,"1/1000","paraffin oil"
"599",599,"keller2016","11086",1e-05,"1/100000","paraffin oil"
"600",600,"keller2016","11086",0.001,"1/1000","paraffin oil"
"601",601,"keller2016","11124",0.001,"1/1000","paraffin oil"
"602",602,"keller2016","11124",1e-05,"1/100000","paraffin oil"
"603",603,"keller2016","750",0.001,"1/1000","paraffin oil"
"604",604,"keller2016","750",0.1,"1/10","paraffin oil"
"605",605,"keller2016","5950",0.1,"1/10","paraffin oil"
"606",606,"keller2016","5950",0.001,"1/1000","paraffin oil"
"607",607,"keller2016","753",0.001,"1/1000","paraffin oil"
"608",608,"keller2016","753",0.1,"1/10","paraffin oil"
"609",609,"keller2016","5960",0.001,"1/1000","paraffin oil"
"610",610,"keller2016","5960",0.1,"1/10","paraffin oil"
"611",611,"keller2016","5961",1e-05,"1/100000","paraffin oil"
"612",612,"keller2016","5961",0.001,"1/1000","paraffin oil"
"613",613,"keller2016","33032",0.1,"1/10","paraffin oil"
"614",614,"keller2016","33032",0.001,"1/1000","paraffin oil"
"615",615,"keller2016","5962",0.1,"1/10","paraffin oil"
"616",616,"keller2016","5962",0.001,"1/1000","paraffin oil"
"617",617,"keller2016","5362798",1e-05,"1/100000","paraffin oil"
"618",618,"keller2016","5362798",0.001,"1/1000","paraffin oil"
"619",619,"keller2016","1030",0.1,"1/10","paraffin oil"
"620",620,"keller2016","1030",0.001,"1/1000","paraffin oil"
"621",621,"keller2016","11419",1e-05,"1/100000","paraffin oil"
"622",622,"keller2016","11419",0.001,"1/1000","paraffin oil"
"623",623,"keller2016","11428",1e-05,"1/100000","paraffin oil"
"624",624,"keller2016","11428",0.001,"1/1000","paraffin oil"
"625",625,"keller2016","11525",0.001,"1/1000","paraffin oil"
"626",626,"keller2016","11525",1e-05,"1/100000","paraffin oil"
"627",627,"keller2016","11527",0.001,"1/1000","paraffin oil"
"628",628,"keller2016","11527",1e-05,"1/100000","paraffin oil"
"629",629,"keller2016","11529",0.001,"1/1000","paraffin oil"
"630",630,"keller2016","11529",1e-05,"1/100000","paraffin oil"
"631",631,"keller2016","62144",1e-05,"1/100000","paraffin oil"
"632",632,"keller2016","62144",1e-07,"1/10000000","paraffin oil"
"633",633,"keller2016","11567",1e-05,"1/100000","paraffin oil"
"634",634,"keller2016","11567",0.001,"1/1000","paraffin oil"
"635",635,"keller2016","11569",1e-05,"1/100000","paraffin oil"
"636",636,"keller2016","11569",0.001,"1/1000","paraffin oil"
"637",637,"keller2016","11583",1e-05,"1/100000","paraffin oil"
"638",638,"keller2016","11583",0.001,"1/1000","paraffin oil"
"639",639,"keller2016","61138",1e-05,"1/100000","paraffin oil"
"640",640,"keller2016","61138",0.001,"1/1000","paraffin oil"
"641",641,"keller2016","11614",0.001,"1/1000","paraffin oil"
"642",642,"keller2016","11614",1e-05,"1/100000","paraffin oil"
"643",643,"keller2016","11617",1e-05,"1/100000","paraffin oil"
"644",644,"keller2016","11617",1e-07,"1/10000000","paraffin oil"
"645",645,"keller2016","440917",0.001,"1/1000","paraffin oil"
"646",646,"keller2016","440917",1e-05,"1/100000","paraffin oil"
"647",647,"keller2016","6050",0.001,"1/1000","paraffin oil"
"648",648,"keller2016","6050",1e-05,"1/100000","paraffin oil"
"649",649,"keller2016","22310",0.001,"1/1000","paraffin oil"
"650",650,"keller2016","22310",1e-05,"1/100000","paraffin oil"
"651",651,"keller2016","6054",0.001,"1/1000","paraffin oil"
"652",652,"keller2016","6054",1e-05,"1/100000","paraffin oil"
"653",653,"keller2016","6057",0.001,"1/1000","paraffin oil"
"654",654,"keller2016","6057",1e-05,"1/100000","paraffin oil"
"655",655,"keller2016","22386",1e-05,"1/100000","paraffin oil"
"656",656,"keller2016","22386",0.001,"1/1000","paraffin oil"
"657",657,"keller2016","5280450",0.1,"1/10","paraffin oil"
"658",658,"keller2016","5280450",0.001,"1/1000","paraffin oil"
"659",659,"keller2016","61151",1e-05,"1/100000","paraffin oil"
"660",660,"keller2016","61151",0.001,"1/1000","paraffin oil"
"661",661,"keller2016","11902",0.001,"1/1000","paraffin oil"
"662",662,"keller2016","11902",1e-05,"1/100000","paraffin oil"
"663",663,"keller2016","61155",0.001,"1/1000","paraffin oil"
"664",664,"keller2016","61155",1e-05,"1/100000","paraffin oil"
"665",665,"keller2016","11980",0.001,"1/1000","paraffin oil"
"666",666,"keller2016","11980",0.1,"1/10","paraffin oil"
"667",667,"keller2016","12020",1e-05,"1/100000","paraffin oil"
"668",668,"keller2016","12020",0.001,"1/1000","paraffin oil"
"669",669,"keller2016","6106",0.001,"1/1000","paraffin oil"
"670",670,"keller2016","6106",0.1,"1/10","paraffin oil"
"671",671,"keller2016","5364231",1e-05,"1/100000","paraffin oil"
"672",672,"keller2016","5364231",0.001,"1/1000","paraffin oil"
"673",673,"keller2016","12097",0.001,"1/1000","paraffin oil"
"674",674,"keller2016","12097",1e-05,"1/100000","paraffin oil"
"675",675,"keller2016","2346",0.001,"1/1000","paraffin oil"
"676",676,"keller2016","2346",1e-05,"1/100000","paraffin oil"
"677",677,"keller2016","12178",0.001,"1/1000","paraffin oil"
"678",678,"keller2016","12178",1e-05,"1/100000","paraffin oil"
"679",679,"keller2016","12180",0.001,"1/1000","paraffin oil"
"680",680,"keller2016","12180",1e-05,"1/100000","paraffin oil"
"681",681,"keller2016","12206",1e-05,"1/100000","paraffin oil"
"682",682,"keller2016","12206",0.001,"1/1000","paraffin oil"
"683",683,"keller2016","12265",1e-05,"1/100000","paraffin oil"
"684",684,"keller2016","12265",0.001,"1/1000","paraffin oil"
"685",685,"keller2016","12297",1e-05,"1/100000","paraffin oil"
"686",686,"keller2016","12297",0.001,"1/1000","paraffin oil"
"687",687,"keller2016","12327",0.001,"1/1000","paraffin oil"
"688",688,"keller2016","12327",0.1,"1/10","paraffin oil"
"689",689,"keller2016","12348",1e-05,"1/100000","paraffin oil"
"690",690,"keller2016","12348",0.001,"1/1000","paraffin oil"
"691",691,"keller2016","12377",0.001,"1/1000","paraffin oil"
"692",692,"keller2016","12377",1e-05,"1/100000","paraffin oil"
"693",693,"keller2016","61177",1e-05,"1/100000","paraffin oil"
"694",694,"keller2016","61177",0.001,"1/1000","paraffin oil"
"695",695,"keller2016","526618",1e-07,"1/10000000","paraffin oil"
"696",696,"keller2016","526618",1e-05,"1/100000","paraffin oil"
"697",697,"keller2016","61386",0.1,"1/10","paraffin oil"
"698",698,"keller2016","61386",0.001,"1/1000","paraffin oil"
"699",699,"keller2016","6137",0.001,"1/1000","paraffin oil"
"700",700,"keller2016","6137",0.1,"1/10","paraffin oil"
"701",701,"keller2016","12506",1e-05,"1/100000","paraffin oil"
"702",702,"keller2016","12506",0.001,"1/1000","paraffin oil"
"703",703,"keller2016","22873",0.1,"1/10","paraffin oil"
"704",704,"keller2016","22873",0.001,"1/1000","paraffin oil"
"705",705,"keller2016","61185",0.001,"1/1000","paraffin oil"
"706",706,"keller2016","61185",1e-05,"1/100000","paraffin oil"
"707",707,"keller2016","6140",0.1,"1/10","paraffin oil"
"708",708,"keller2016","6140",0.001,"1/1000","paraffin oil"
"709",709,"keller2016","1001",1e-05,"1/100000","paraffin oil"
"710",710,"keller2016","1001",0.001,"1/1000","paraffin oil"
"711",711,"keller2016","702",1e-05,"1/100000","paraffin oil"
"712",712,"keller2016","702",0.001,"1/1000","paraffin oil"
"713",713,"keller2016","176",1e-05,"1/100000","paraffin oil"
"714",714,"keller2016","176",1e-07,"1/10000000","paraffin oil"
"715",715,"keller2016","5352837",1e-05,"1/100000","paraffin oil"
"716",716,"keller2016","5352837",0.001,"1/1000","paraffin oil"
"717",717,"keller2016","12580",0.001,"1/1000","paraffin oil"
"718",718,"keller2016","12580",1e-05,"1/100000","paraffin oil"
"719",719,"keller2016","12587",1e-05,"1/100000","paraffin oil"
"720",720,"keller2016","12587",1e-07,"1/10000000","paraffin oil"
"721",721,"keller2016","439570",0.1,"1/10","paraffin oil"
"722",722,"keller2016","439570",0.001,"1/1000","paraffin oil"
"723",723,"keller2016","5371102",0.001,"1/1000","paraffin oil"
"724",724,"keller2016","5371102",1e-05,"1/100000","paraffin oil"
"725",725,"keller2016","61192",0.001,"1/1000","paraffin oil"
"726",726,"keller2016","61192",1e-05,"1/100000","paraffin oil"
"727",727,"keller2016","243",0.001,"1/1000","paraffin oil"
"728",728,"keller2016","243",1e-05,"1/100000","paraffin oil"
"729",729,"keller2016","6184",1e-05,"1/100000","paraffin oil"
"730",730,"keller2016","6184",1e-07,"1/10000000","paraffin oil"
"731",731,"keller2016","6202",0.1,"1/10","paraffin oil"
"732",732,"keller2016","6202",0.001,"1/1000","paraffin oil"
"733",733,"keller2016","5281168",0.001,"1/1000","paraffin oil"
"734",734,"keller2016","5281168",1e-05,"1/100000","paraffin oil"
"735",735,"keller2016","5362814",1e-05,"1/100000","paraffin oil"
"736",736,"keller2016","5362814",1e-07,"1/10000000","paraffin oil"
"737",737,"keller2016","887",0.001,"1/1000","paraffin oil"
"738",738,"keller2016","887",0.1,"1/10","paraffin oil"
"739",739,"keller2016","3776",0.001,"1/1000","paraffin oil"
"740",740,"keller2016","3776",1e-05,"1/100000","paraffin oil"
"741",741,"keller2016","180",0.001,"1/1000","paraffin oil"
"742",742,"keller2016","180",0.1,"1/10","paraffin oil"
"743",743,"keller2016","679",0.001,"1/1000","paraffin oil"
"744",744,"keller2016","679",0.1,"1/10","paraffin oil"
"745",745,"keller2016","6213",0.001,"1/1000","paraffin oil"
"746",746,"keller2016","6213",0.1,"1/10","paraffin oil"
"747",747,"keller2016","101010",1e-07,"1/10000000","paraffin oil"
"748",748,"keller2016","101010",1e-05,"1/100000","paraffin oil"
"749",749,"keller2016","16220109",0.001,"1/1000","paraffin oil"
"750",750,"keller2016","16220109",0.1,"1/10","paraffin oil"
"751",751,"keller2016","23235",0.1,"1/10","paraffin oil"
"752",752,"keller2016","23235",0.001,"1/1000","paraffin oil"
"753",753,"keller2016","10857465",0.001,"1/1000","paraffin oil"
"754",754,"keller2016","10857465",0.1,"1/10","paraffin oil"
"755",755,"keller2016","12741",1e-05,"1/100000","paraffin oil"
"756",756,"keller2016","12741",0.001,"1/1000","paraffin oil"
"757",757,"keller2016","12748",0.001,"1/1000","paraffin oil"
"758",758,"keller2016","12748",1e-05,"1/100000","paraffin oil"
"759",759,"keller2016","61199",1e-07,"1/10000000","paraffin oil"
"760",760,"keller2016","61199",1e-05,"1/100000","paraffin oil"
"761",761,"keller2016","12810",0.001,"1/1000","paraffin oil"
"762",762,"keller2016","12810",1e-05,"1/100000","paraffin oil"
"763",763,"keller2016","12813",1e-05,"1/100000","paraffin oil"
"764",764,"keller2016","12813",0.001,"1/1000","paraffin oil"
"765",765,"keller2016","6274",0.1,"1/10","paraffin oil"
"766",766,"keller2016","6274",0.001,"1/1000","paraffin oil"
"767",767,"keller2016","61204",0.001,"1/1000","paraffin oil"
"768",768,"keller2016","61204",1e-05,"1/100000","paraffin oil"
"769",769,"keller2016","1031",0.001,"1/1000","paraffin oil"
"770",770,"keller2016","1031",1e-05,"1/100000","paraffin oil"
"771",771,"keller2016","263",1e-07,"1/10000000","paraffin oil"
"772",772,"keller2016","263",1e-05,"1/100000","paraffin oil"
"773",773,"keller2016","6276",1e-05,"1/100000","paraffin oil"
"774",774,"keller2016","6276",0.001,"1/1000","paraffin oil"
"775",775,"keller2016","241",0.001,"1/1000","paraffin oil"
"776",776,"keller2016","241",1e-05,"1/100000","paraffin oil"
"777",777,"keller2016","251531",1e-05,"1/100000","paraffin oil"
"778",778,"keller2016","251531",0.001,"1/1000","paraffin oil"
"779",779,"keller2016","23642",1e-05,"1/100000","paraffin oil"
"780",780,"keller2016","23642",1e-07,"1/10000000","paraffin oil"
"781",781,"keller2016","6287",0.001,"1/1000","paraffin oil"
"782",782,"keller2016","6287",0.1,"1/10","paraffin oil"
"783",783,"keller2016","24020",1e-05,"1/100000","paraffin oil"
"784",784,"keller2016","24020",0.001,"1/1000","paraffin oil"
"785",785,"keller2016","6322",0.1,"1/10","paraffin oil"
"786",786,"keller2016","6322",0.001,"1/1000","paraffin oil"
"787",787,"keller2016","24116",1e-05,"1/100000","paraffin oil"
"788",788,"keller2016","24116",0.001,"1/1000","paraffin oil"
"789",789,"keller2016","61408",0.001,"1/1000","paraffin oil"
"790",790,"keller2016","61408",1e-05,"1/100000","paraffin oil"
"791",791,"keller2016","5364729",0.001,"1/1000","paraffin oil"
"792",792,"keller2016","5364729",1e-05,"1/100000","paraffin oil"
"793",793,"keller2016","177",1e-05,"1/100000","paraffin oil"
"794",794,"keller2016","177",0.001,"1/1000","paraffin oil"
"795",795,"keller2016","1068",1e-05,"1/100000","paraffin oil"
"796",796,"keller2016","1068",0.001,"1/1000","paraffin oil"
"797",797,"keller2016","7793",0.001,"1/1000","paraffin oil"
"798",798,"keller2016","7793",1e-05,"1/100000","paraffin oil"
"799",799,"keller2016","5366244",0.1,"1/10","paraffin oil"
"800",800,"keller2016","5366244",0.001,"1/1000","paraffin oil"
"801",801,"keller2016","6374",0.001,"1/1000","paraffin oil"
"802",802,"keller2016","6374",0.1,"1/10","paraffin oil"
"803",803,"keller2016","807",0.1,"1/10","paraffin oil"
"804",804,"keller2016","807",0.001,"1/1000","paraffin oil"
"805",805,"keller2016","24203",0.001,"1/1000","paraffin oil"
"806",806,"keller2016","24203",0.1,"1/10","paraffin oil"
"807",807,"keller2016","6386",0.1,"1/10","paraffin oil"
"808",808,"keller2016","6386",0.001,"1/1000","paraffin oil"
"809",809,"keller2016","2537",0.001,"1/1000","paraffin oil"
"810",810,"keller2016","2537",1e-05,"1/100000","paraffin oil"
"811",811,"keller2016","6448",1e-05,"1/100000","paraffin oil"
"812",812,"keller2016","6448",0.001,"1/1000","paraffin oil"
"813",813,"keller2016","61209",0.1,"1/10","paraffin oil"
"814",814,"keller2016","61209",0.001,"1/1000","paraffin oil"
"815",815,"keller2016","962",0.001,"1/1000","paraffin oil"
"816",816,"keller2016","962",0.1,"1/10","paraffin oil"
"817",817,"keller2016","24473",0.001,"1/1000","paraffin oil"
"818",818,"keller2016","24473",0.1,"1/10","paraffin oil"
"819",819,"keller2016","24513",0.001,"1/1000","paraffin oil"
"820",820,"keller2016","24513",0.1,"1/10","paraffin oil"
"821",821,"keller2016","6753",1e-05,"1/100000","paraffin oil"
"822",822,"keller2016","6753",0.001,"1/1000","paraffin oil"
"823",823,"keller2016","5273467",0.001,"1/1000","paraffin oil"
"824",824,"keller2016","5273467",1e-05,"1/100000","paraffin oil"
"825",825,"keller2016","6501",1e-07,"1/10000000","paraffin oil"
"826",826,"keller2016","6501",1e-05,"1/100000","paraffin oil"
"827",827,"keller2016","82227",1e-05,"1/100000","paraffin oil"
"828",828,"keller2016","82227",0.001,"1/1000","paraffin oil"
"829",829,"keller2016","228769",1e-05,"1/100000","paraffin oil"
"830",830,"keller2016","228769",0.001,"1/1000","paraffin oil"
"831",831,"keller2016","14525",1e-05,"1/100000","paraffin oil"
"832",832,"keller2016","14525",0.001,"1/1000","paraffin oil"
"833",833,"keller2016","6505",0.001,"1/1000","paraffin oil"
"834",834,"keller2016","6505",0.1,"1/10","paraffin oil"
"835",835,"keller2016","311",0.001,"1/1000","paraffin oil"
"836",836,"keller2016","311",0.1,"1/10","paraffin oil"
"837",837,"keller2016","6506",0.001,"1/1000","paraffin oil"
"838",838,"keller2016","6506",0.1,"1/10","paraffin oil"
"839",839,"keller2016","6544",1e-05,"1/100000","paraffin oil"
"840",840,"keller2016","6544",0.001,"1/1000","paraffin oil"
"841",841,"keller2016","6549",0.001,"1/1000","paraffin oil"
"842",842,"keller2016","6549",1e-05,"1/100000","paraffin oil"
"843",843,"keller2016","5355850",1e-05,"1/100000","paraffin oil"
"844",844,"keller2016","5355850",0.001,"1/1000","paraffin oil"
"845",845,"keller2016","6560",1e-05,"1/100000","paraffin oil"
"846",846,"keller2016","6560",0.001,"1/1000","paraffin oil"
"847",847,"keller2016","6561",0.001,"1/1000","paraffin oil"
"848",848,"keller2016","6561",1e-05,"1/100000","paraffin oil"
"849",849,"keller2016","6569",0.001,"1/1000","paraffin oil"
"850",850,"keller2016","6569",1e-05,"1/100000","paraffin oil"
"851",851,"keller2016","1032",1e-07,"1/10000000","paraffin oil"
"852",852,"keller2016","1032",1e-05,"1/100000","paraffin oil"
"853",853,"keller2016","6584",0.001,"1/1000","paraffin oil"
"854",854,"keller2016","6584",0.1,"1/10","paraffin oil"
"855",855,"keller2016","6590",1e-05,"1/100000","paraffin oil"
"856",856,"keller2016","6590",1e-07,"1/10000000","paraffin oil"
"857",857,"keller2016","638014",0.001,"1/1000","paraffin oil"
"858",858,"keller2016","638014",1e-05,"1/100000","paraffin oil"
"859",859,"keller2016","6658",0.001,"1/1000","paraffin oil"
"860",860,"keller2016","6658",1e-05,"1/100000","paraffin oil"
"861",861,"keller2016","6669",0.1,"1/10","paraffin oil"
