,Accession Number,Name,CAS
476,T3D0559,"2,2',3,3',4,4',5-Heptachlorobiphenyl",35065-30-6
477,T3D0560,"2,2',3,3',4,4',6-Heptachlorobiphenyl",52663-71-5
478,T3D0561,"2,2',3,3',4,5,5'-Heptachlorobiphenyl",52663-74-8
479,T3D0562,"2,2',3,3',4,5,6-Heptachlorobiphenyl",68194-16-1
480,T3D0563,"2,2',3,3',4,5,6'-Heptachlorobiphenyl",38411-25-5
481,T3D0564,"2,2',3,3',4,5',6-Heptachlorobiphenyl",40186-70-7
482,T3D0565,"2,2',3,3',4,6,6'-Heptachlorobiphenyl",52663-65-7
483,T3D0566,"2,2',3,3',4,5',6'-Heptachlorobiphenyl",52663-70-4
484,T3D0567,"2,2',3,3',5,5',6-Heptachlorobiphenyl",52663-67-9
485,T3D0568,"2,2',3,3',5,6,6'-Heptachlorobiphenyl",52663-64-6
486,T3D0569,"2,2',3,4,4',5,5'-Heptachlorobiphenyl",35065-29-3
487,T3D0570,"2,2',3,4,4',5,6-Heptachlorobiphenyl",74472-47-2
488,T3D0571,"2,2',3,4,4',5,6'-Heptachlorobiphenyl",60145-23-5
489,T3D0572,"2,2',3,4,4',5',6-Heptachlorobiphenyl",52663-69-1
490,T3D0573,"2,2',3,4,4',6,6'-Heptachlorobiphenyl",74472-48-3
491,T3D0574,"2,2',3,4,5,5',6-Heptachlorobiphenyl",52712-05-7
492,T3D0575,"2,2',3,4,5,6,6'-Heptachlorobiphenyl",74472-49-4
493,T3D0576,"2,2',3,4',5,5',6-Heptachlorobiphenyl",52663-68-0
494,T3D0577,"2,2',3,4',5,6,6'-Heptachlorobiphenyl",74487-85-7
495,T3D0578,"2,3,3',4,4',5,5'-Heptachlorobiphenyl",39635-31-9
496,T3D0579,"2,3,3',4,4',5,6-Heptachlorobiphenyl",41411-64-7
497,T3D0580,"2,3,3',4,4',5',6-Heptachlorobiphenyl",74472-50-7
498,T3D0581,"2,3,3',4,5,5',6-Heptachlorobiphenyl",74472-51-8
499,T3D0582,"2,3,3',4',5,5',6-Heptachlorobiphenyl",69782-91-8
500,T3D0583,"2,2',3,3',4,4',5,5'-Octachlorobiphenyl",35694-08-7
501,T3D0584,"2,2',3,3',4,4',5,6-Octachlorobiphenyl",52663-78-2
502,T3D0585,"2,2',3,3',4,4',5,6'-Octachlorobiphenyl",42740-50-1
503,T3D0586,"2,2',3,3',4,4',6,6'-Octachlorobiphenyl",33091-17-7
504,T3D0587,"2,2',3,3',4,5,5',6-Octachlorobiphenyl",68194-17-2
505,T3D0588,"2,2',3,3',4,5,5',6'-Octachlorobiphenyl",52663-75-9
506,T3D0589,"2,2',3,3',4,5,6,6'-Octachlorobiphenyl",52663-73-7
507,T3D0590,"2,2',3,3',4,5',6,6'-Octachlorobiphenyl",40186-71-8
508,T3D0591,"2,2',3,3',5,5',6,6'-Octachlorobiphenyl",2136-99-4
509,T3D0592,"2,2',3,4,4',5,5',6-Octachlorobiphenyl",52663-76-0
510,T3D0593,"2,2',3,4,4',5,6,6'-Octachlorobiphenyl",74472-52-9
511,T3D0594,"2,3,3',4,4',5,5',6-Octachlorobiphenyl",74472-53-0
512,T3D0595,"2,2',3,3',4,4',5,5',6-Nonachlorobiphenyl",40186-72-9
513,T3D0596,"2,2',3,3',4,4',5,6,6'-Nonachlorobiphenyl",52663-79-3
514,T3D0597,"2,2',3,3',4,5,5',6,6'-Nonachlorobiphenyl",52663-77-1
515,T3D0598,Decachlorobiphenyl,2051-24-3
516,T3D0616,Methiochlor,19679-38-0
517,T3D0617,Chlorbenzylate,510-15-6
518,T3D0618,Acenaphthylene,208-96-8
519,T3D0619,Anthracene,120-12-7
520,T3D0621,Benzo[ghi]perylene,191-24-2
521,T3D0622,Benzo[j]fluoranthene,205-82-3
522,T3D0624,Coronene,191-07-1
523,T3D0625,Fluorene,86-73-7
524,T3D0627,Tetracene,92-24-0
525,T3D0628,1-Methylnaphthalene,90-12-0
526,T3D0629,Pentacene,135-48-8
527,T3D0630,Triphenylene,217-59-4
528,T3D0631,Ovalene,190-26-1
529,T3D0632,Anthanthrene,191-26-4
530,T3D0633,Acridine,260-94-6
531,T3D0634,Quinoline,91-22-5
532,T3D0635,Azulene,275-51-4
533,T3D0636,Picene,213-46-7
534,T3D0637,Bisphenol A,1980-05-07
535,T3D0638,Basic beryllium acetate,19049-40-2
536,T3D0639,Beryllium acetate,543-81-7
537,T3D0640,Beryllium bromide,7787-46-4
538,T3D0641,Beryllium carbonate,13106-47-3
539,T3D0642,Beryllium chloride,7787-47-5
540,T3D0643,Beryllium copper,11133-98-5
541,T3D0644,Beryllium fluoride,7787-49-7
542,T3D0645,Beryllium hydride,7787-52-2
543,T3D0646,Beryllium hydroxide,13327-32-7
544,T3D0647,Beryllium iodide,7787-53-3
545,T3D0648,Beryllium oxide,1304-56-9
546,T3D0649,Beryllium telluride,12232-27-8
547,T3D0650,Beryllium phosphate,13598-15-7
548,T3D0651,Beryllium nitrate,13597-99-4
549,T3D0652,Beryllium sulfate,13510-49-1
550,T3D0653,Cobalt(II) acetate,71-48-7
551,T3D0654,Cobalt(III) acetate,917-69-1
552,T3D0655,Cobalt(II) carbonate,513-79-10
553,T3D0658,Cobalt(II) bromide,7789-43-7
554,T3D0659,Cobaltous chloride,7646-79-9
555,T3D0660,Cobalt(II) fluoride,10026-17-2
556,T3D0661,Cobalt(II) iodide,15238-00-3
557,T3D0662,Cobalt(II) hydroxide,21041-93-0
558,T3D0663,Cobalt(II) naphthenate,61789-51-3
559,T3D0664,Cobalt(II) mesoporphyrin,21158-51-0
560,T3D0665,Cobalt(II) nitrate,10141-05-6
561,T3D0666,Cobalt(II) oxide,1307-96-6
562,T3D0667,Cobalt(III) oxide,1308-04-9
563,T3D0668,"Cobalt(II, III) oxide",1308-06-1
564,T3D0669,Cobalt sulfate,10124-43-3
565,T3D0670,Cobalt(III) fluoride,10026-18-3
566,T3D0671,Cobaltocene,1277-43-6
567,T3D0672,Adenosylcobalamin,13870-90-1
568,T3D0673,Cyanocobalamin,68-19-9
569,T3D0674,Dicobalt edetate,36499-65-7
570,T3D0675,Dicobalt octacarbonyl,10210-68-1
571,T3D0676,Hexamminecobalt(III) chloride,10534-89-1
572,T3D0677,Hydroxocobalamin,13422-51-0
573,T3D0678,Lithium cobalt oxide,12190-79-3
574,T3D0679,Methylcobalamin,13422-55-4
575,T3D0680,Salcomine,14167-18-1
576,T3D0681,Sodium cobaltinitrite,13600-98-1
577,T3D0682,Tris(ethylenediamine)cobalt(III) chloride,207802-43-5
578,T3D0683,Bis(cyclooctadiene)nickel(0),1295-35-8
579,T3D0684,Nickel acetate,373-02-4
580,T3D0685,Nickel ammonium sulfate hexahydrate,15699-18-0
581,T3D0686,Nickel carbonate,3333-67-3
582,T3D0687,Nickel chloride,7718-54-9
583,T3D0688,Nickel chromate,14721-18-7
584,T3D0689,Nickel cyanide,557-19-7
585,T3D0690,Nickel tetracarbonyl,13463-39-3
586,T3D0691,Nickel bromide,13462-88-9
587,T3D0692,Nickel fluoride,10028-18-9
588,T3D0693,Nickel hydroxide,12054-48-7
589,T3D0694,Nickel iodide,13462-90-3
590,T3D0695,Nickel nitrate,13138-45-9
591,T3D0696,Nickel oxide,1313-99-1
592,T3D0697,Nickel sulfate,7786-81-4
593,T3D0698,Nickel subsulfide,12035-72-2
594,T3D0699,Nickel sulfamate,13770-89-3
595,T3D0700,Ammonium dichromate,7789-09-5
596,T3D0701,Barium chromate,10294-40-3
597,T3D0702,Cesium chromate,56320-90-2
598,T3D0703,Calcium chromate dihydrate,10060-08-9
599,T3D0704,Iron(III) chromate,10294-52-7
600,T3D0705,Potassium chromate,7789-00-6
601,T3D0706,Potassium dichromate,7778-50-9
602,T3D0707,Pyridinium chlorochromate,26299-14-9
603,T3D0708,Pyridinium dichromate,20039-37-6
604,T3D0709,Silver chromate,7784-01-2
605,T3D0710,Sodium chromate,7775-11-3
606,T3D0711,Sodium dichromate,10588-01-9
607,T3D0712,Strontium chromate,7789-06-2
608,T3D0713,Zinc chromate,13530-65-9
609,T3D0714,Ammonium chromate,7788-98-9
610,T3D0715,Lithium chromate,14307-35-8
611,T3D0716,Zinc dichromate,14018-95-2
612,T3D0717,Lead chromate oxide,18454-12-1
613,T3D0718,Potassium zinc chromate hydroxide,11103-86-9
614,T3D0719,Zinc chromate hydroxide,15930-94-6
615,T3D0720,Zinc acetate,557-34-6
616,T3D0721,Zinc antimonide,12039-35-9
617,T3D0722,Zinc arsenide,12006-40-5
618,T3D0723,Zinc bromide,7699-45-8
619,T3D0724,Zinc chlorate,10361-95-2
620,T3D0725,Zinc carbonate,3486-35-9
621,T3D0726,Zinc chloride,7646-85-7
622,T3D0727,Zinc cyanide,557-21-1
623,T3D0728,Zinc fluoride,7783-49-5
624,T3D0729,Zinc(II) gluconate,4468-02-04
625,T3D0730,Zinc hydride,14018-82-7
626,T3D0731,Zinc hydroxide,20427-58-1
627,T3D0732,Zinc dithionite,7779-86-4
628,T3D0733,Zinc iodide,10139-47-6
629,T3D0734,Zinc molybdate,13767-32-3
630,T3D0735,Zinc nitrate,7779-88-6
631,T3D0736,Zinc oxide,1314-13-2
632,T3D0737,Zinc peroxide,1314-22-3
633,T3D0738,Zinc phosphate,7779-90-0
634,T3D0739,Zinc phosphide,1314-84-7
635,T3D0740,Zinc pyrithione,13463-41-7
636,T3D0741,Zinc pyrophosphate,7446-26-6
637,T3D0742,Zinc selenide,1315-09-9
638,T3D0743,Zinc stearate,557-05-1
639,T3D0744,Zinc sulfate,7733-02-0
640,T3D0745,Zinc sulfide,1314-98-3
641,T3D0746,Zinc telluride,1315-11-3
642,T3D0747,Zinc silicofluoride,16871-71-9
643,T3D0748,Diethylzinc,557-20-0
644,T3D0749,Dimethylzinc,544-97-8
645,T3D0753,Copper(I) cyanide,544-92-3
646,T3D0754,Cyanogen,460-19-5
647,T3D0755,Cyanogen bromide,506-68-3
648,T3D0756,Cyanogen chloride,506-77-4
649,T3D0758,Cyanogen iodide,506-78-5
650,T3D0759,Calcium cyanide,592-01-8
651,T3D0760,Ammonium thiocyanate,1762-95-4
652,T3D0761,Potassium cyanide,151-50-8
653,T3D0762,Potassium ferricyanide,13746-66-2
654,T3D0763,Potassium ferrocyanide,13943-58-3
655,T3D0764,Potassium silver cyanide,506-61-6
656,T3D0765,Silver cyanide,506-64-9
657,T3D0766,Sodium cyanide,143-33-9
658,T3D0767,Sodium ferrocyanide,13601-19-9
659,T3D0768,Sodium nitroprusside,14402-89-2
660,T3D0769,Trimethylsilyl cyanide,7677-24-9
661,T3D0770,Ethanol,64-17-5
662,T3D0771,Methanol,67-56-1
663,T3D0772,Ethylene glycol ,107-21-1
664,T3D0776,Potassium cyanate,590-28-3
665,T3D0777,Isocyanic acid,75-13-8
666,T3D0778,Allyl isothiocyanate,57-06-7
667,T3D0780,Methyl isothiocyanate,556-61-6
668,T3D0781,Phenyl isothiocyanate,103-72-0
669,T3D0782,"1,3-Dinitrobenzene",99-65-0
670,T3D0784,"1,3,5-Trichlorobenzene",108-70-3
671,T3D0786,Lead thiocyanate,592-87-0
672,T3D0791,Uranium-238,7440-61-1
673,T3D0792,Crocidolite Asbestos,12001-28-4
674,T3D0793,Tremolite Asbestos,77536-68-6
675,T3D0794,Actinolite Asbestos,77536-66-4
676,T3D0795,Anthophyllite Asbestos,77536-67-5
677,T3D0796,Tin,7440-31-5
678,T3D0797,Imidacloprid,105827-78-9
679,T3D0798,Fipronil,120068-37-3
680,T3D0799,Nicotine,54-11-5
681,T3D0800,Rotenone,83-79-4
682,T3D0801,Dichlorprop,120-36-5
683,T3D0802,"2,4-Dichlorophenoxybutyric acid",94-82-6
684,T3D0803,"2,4,5-Trichlorophenoxyacetic acid",93-76-5
685,T3D0804,2-Methyl-4-chlorophenoxyacetic acid,94-74-6
686,T3D0805,4-(4-Chloro-2-methylphenoxy)butanoic acid,94-81-5
687,T3D0806,Methylchlorophenoxypropionic acid,93-65-2
688,T3D0807,Dicamba,1918-00-9
689,T3D0808,Paraquat dichloride,1910-42-5
690,T3D0810,Alachlor,15972-60-8
691,T3D0811,Acetochlor,34256-82-1
692,T3D0812,Glufosinate,51276-47-2
693,T3D0813,Amygdalin,29883-15-6
694,T3D0815,Angelicin,523-50-2
695,T3D0816,Isobergapten,482-48-4
696,T3D0819,Sphondin,483-66-9
697,T3D0821,Heratomin,61265-06-3
698,T3D0822,Pimpinellin,131-12-4
699,T3D0825,Psoralen,66-97-7
700,T3D0831,Isoimperatorin,482-45-1
701,T3D0834,Bergamottin,7380-40-7
702,T3D0836,Methoxsalen,298-81-7
703,T3D0838,Imperatorin,482-44-0
704,T3D0842,"6,7-Dihydroxybergamottin",145414-76-2
705,T3D0843,Isopimpinellin,482-27-9
706,T3D0845,9-Hydroxy-4-methoxypsoralen,1603-47-0
707,T3D0846,Phellopterin,2543-94-4
708,T3D0855,Mirex,2385-85-5
709,T3D0856,Oxalic acid,144-62-7
710,T3D0859,Linamarin,554-35-8
711,T3D0860,Lotaustralin,534-67-8
712,T3D0864,o-Xylene,95-47-6
713,T3D0868,4-Chlorophenol,106-48-9
714,T3D0870,"2,3,5,6-Tetrachlorophenol",935-95-5
715,T3D0871,Antimony pentasulfide,1315-04-4
716,T3D0872,Antimony pentoxide,1314-60-9
717,T3D0873,Antimony potassium tartrate,28300-74-5
718,T3D0874,Antimony trichloride,10025-91-9
719,T3D0875,Antimony trioxide,1309-64-4
720,T3D0876,Antimony trisulfide,1345-04-6
721,T3D0877,Stibine,7803-52-3
722,T3D0878,Antimony pentachloride,7647-18-9
723,T3D0890,Pendimethalin,40487-42-1
724,T3D0893,"2,3,5-Trimethylphenyl methylcarbamate",2655-15-4
725,T3D0894,"2,3-Dichlorobenzyl methylcarbamate",62046-37-1
726,T3D0895,"2,4-Dimethyl-1,3-dithiolane-2-carboxaldehyde O-(methylcarbamoyl)oxime",26419-73-8
727,T3D0896,"2-Chloro-4,5-xylyl N-hydroxy-N-methylcarbamate",14357-82-5
728,T3D0897,2-Cyclopentylphenyl methylcarbamate,3282-00-6
729,T3D0898,2-Hydroxyphenyl methylcarbamate,10309-97-4
730,T3D0900,"3,4-Dichlorobenzyl methylcarbamate",2328-31-6
731,T3D0901,"3,5-Diisopropylphenyl methylcarbamate",330-64-3
732,T3D0902,"3,5-Dimethylphenyl methylcarbamate",2655-14-3
733,T3D0903,3-Hydroxy-carbofuran,16655-82-6
734,T3D0904,3-Iodo-2-propynyl butyl carbamate,55406-53-6
735,T3D0905,3-Oxo-carbofuran,16709-30-1
736,T3D0906,3-tert-Butylphenyl sec-butylcarbamate,97508-29-7
737,T3D0907,"4-(Methylamino)-3,5-xylyl methylcarbamate",10389-50-1
738,T3D0908,4-(Methylthio)-m-tolyl methylcarbamate,3566-00-5
739,T3D0909,"4-Amino-3,5-xylyl methylcarbamate",831-76-5
740,T3D0910,4-Chlorophenyl-N-methylcarbamate,2620-53-3
741,T3D0911,4-Ethylthiophenyl methylcarbamate,18809-57-9
742,T3D0912,"4-Methylformamido-3,5-xylyl methylcarbamate",10233-94-0
743,T3D0913,"5,6,7,8-Tetrahydro-1-naphthyl methylcarbamate",1136-84-1
744,T3D0914,"6-Chloro-3,4-xylyl methylcarbamate",8063-85-2
745,T3D0915,6-Methyl-2-propyl-4-pyrimidinyl dimethylcarbamate,2532-49-2
746,T3D0916,Alanycarb,83130-01-2
747,T3D0918,Aldicarb sulfoxide,1646-87-3
748,T3D0919,Aldicarb,116-06-3
749,T3D0920,Aldoxycarb,1646-88-4
750,T3D0921,Allyxycarb,6392-46-7
751,T3D0922,Aminocarb,2032-59-9
752,T3D0923,Asulam,3337-71-1
753,T3D0924,"Asulam, sodium salt",2302-17-2
754,T3D0925,Barban,101-27-9
755,T3D0926,Bendiocarb,22781-23-3
756,T3D0927,Benfuracarb,82560-54-1
757,T3D0928,Benomyl,17804-35-2
758,T3D0929,Benthiavalicarb,413615-35-7
759,T3D0930,Benthiavalicarb-isopropyl,177406-68-7
760,T3D0932,"Biscarbofuran N,N'-disulfide",39995-74-9
761,T3D0934,3-(1-Methylbutyl)phenyl N-methylcarbamate,2282-34-0
762,T3D0935,3-(1-Ethylpropyl)phenyl methylcarbamate,672-04-8
763,T3D0936,Butacarb,2655-19-8
764,T3D0937,Butocarboxim,34681-10-2
765,T3D0938,Butoxycarboxim,34681-23-7
766,T3D0939,Carbanolate,671-04-5
767,T3D0940,Carbaril,63-25-2
768,T3D0941,Carbasulam,1773-37-1
769,T3D0942,Carbendazim,10605-21-7
770,T3D0943,Carbetamide,16118-49-3
771,T3D0944,Carbofuran,1563-66-2
772,T3D0945,Carbosulfan,55285-14-8
773,T3D0946,Carboxazole,55808-13-4
774,T3D0947,Chlorbufam,1967-16-4
775,T3D0948,Chlorprocarb,23121-99-5
776,T3D0949,Chlorpropham,101-21-3
777,T3D0950,Cloethocarb,51487-69-5
778,T3D0951,Cycloate,1134-23-2
779,T3D0952,Cypendazole,28559-00-4
780,T3D0953,Debacarb,62732-91-6
781,T3D0954,Decarbofuran,1563-67-3
782,T3D0955,Desmedipham,13684-56-5
783,T3D0956,Di-allate,2303-16-4
784,T3D0957,Dichlormate,1966-58-1
785,T3D0959,Diethofencarb,87130-20-9
786,T3D0960,Dimetan,122-15-6
787,T3D0961,Dimetilan,644-64-4
788,T3D0962,Dioxacarb,6988-21-2
789,T3D0963,Dipropylcarbamothioic acid S-ethyl ester,759-94-4
790,T3D0964,Ethiofencarb,29973-13-5
791,T3D0966,Fenasulam,78357-48-9
792,T3D0967,Fenethacarb,30087-47-9
793,T3D0968,Fenobucarb,3766-81-2
794,T3D0969,Fenoxycarb,72490-01-8
795,T3D0970,Formetanate,22259-30-9
796,T3D0971,Formetanate hydrochloride,23422-53-9
797,T3D0972,Formparanate,17702-57-7
798,T3D0973,Fosamine,59682-52-9
799,T3D0974,Furathiocarb,65907-30-4
800,T3D0975,Hyquincarb,56716-21-3
801,T3D0976,Isolan,119-38-0
802,T3D0977,2-Isopropylphenyl methylcarbamate,2631-40-5
803,T3D0978,Karbutilate,4849-32-5
804,T3D0979,m-Cumenyl methylcarbamate,64-00-6
805,T3D0980,Mecarbinzid,27386-64-7
806,T3D0981,Methiocarb,2032-65-7
807,T3D0982,Methiocarb sulfone,2179-25-1
808,T3D0983,Methiocarb sulfoxide,2635-10-1
809,T3D0984,Methomyl,16752-77-5
810,T3D0985,Metolcarb,1129-41-5
811,T3D0986,Mexacarbate,315-18-4
812,T3D0987,Mobam,1079-33-0
813,T3D0988,Molinate,2212-67-1
814,T3D0989,Nitrilacarb,29672-19-3
815,T3D0990,o-(2-Propynyloxy)phenyl methylcarbamate,3279-46-7
816,T3D0991,Oms 22,3566-09-4
817,T3D0992,Oxamyl,23135-22-0
818,T3D0993,Pebulate,1114-71-2
819,T3D0994,Phenmedipham,13684-63-4
820,T3D0995,Pirimicarb,23103-98-2
821,T3D0996,Potassium asulam,14089-43-1
822,T3D0998,Promacyl,34264-24-9
823,T3D0999,Promecarb,2631-37-0
824,T3D1000,Propamocarb hydrochloride,25606-41-1
825,T3D1001,Propamocarb,24579-73-5
826,T3D1002,Propham,122-42-9
827,T3D1003,Propoxur,114-26-1
828,T3D1004,Proximphan,2828-42-4
829,T3D1005,Pyrolan,87-47-8
830,T3D1006,Sulfallate,95-06-7
831,T3D1007,Sulfocarbathione,114654-31-8
832,T3D1008,Swep,1918-18-9
833,T3D1009,Tazimcarb,40085-57-2
834,T3D1010,Terbucarb,1918-11-2
835,T3D1011,Thiobencarb,28249-77-6
836,T3D1012,Thiocarboxime,25171-63-5
837,T3D1013,Thiodicarb,59669-26-0
838,T3D1014,Thiofanox,39196-18-4
839,T3D1015,Tillam sulfoxide,51892-60-5
840,T3D1016,Tiocarbazil,36756-79-3
841,T3D1017,Triallate,2303-17-5
842,T3D1018,Trimethacarb,2686-99-9
843,T3D1020,Vernolate,1929-77-7
844,T3D1021,Xylylcarb,2425-10-7
845,T3D1022,Telodrin,297-78-9
846,T3D1023,Isodrin,465-73-6
847,T3D1024,Allethrin,584-79-2
848,T3D1025,Cismethrin,35764-59-1
849,T3D1026,Phenothrin,26002-80-2
850,T3D1027,Resmethrin,10453-86-8
851,T3D1028,Tetramethrin,7696-12-0
852,T3D1029,Acrinathrin,101007-06-1
853,T3D1030,Cycloprothrin,63935-38-6
854,T3D1031,Cyfluthrin,68359-37-5
855,T3D1032,Cyhalothrin,68085-85-8
856,T3D1033,Cyphenothrin,39515-40-7
857,T3D1034,Cypermethrin,52315-07-8
858,T3D1035,Deltamethrin,52918-63-5
859,T3D1036,Esfenvalerate,66230-04-4
860,T3D1037,Fenvalerate,51630-58-1
861,T3D1039,Fluvalinate,69409-94-5
862,T3D1041,Avermectin B1a,65195-55-3
863,T3D1042,Avermectin B1b,65195-56-4
864,T3D1043,Emamectin B1a,121124-29-6
865,T3D1044,Emamectin B1b,121424-52-0
866,T3D1045,2-[(2E)-2-(Nitromethylidene)pyrrolidin-1-yl]acetonitrile,1164504-23-7
867,T3D1046,2-(Nitromethylene)imidazolidine,13623-98-8
868,T3D1047,(2Z)-1-Methyl-2-(nitromethylidene)pyrrolidine,26171-05-1
869,T3D1048,2-Nitromethylene-azepane,61018-99-3
870,T3D1049,2-Nitromethylene-piperidine,50902-03-9
871,T3D1050,Nitro-methylene-cyclopentane,27861-40-1
872,T3D1051,"(2E)-3-Benzyl-2-(nitromethylidene)-1,3-thiazolidine",94776-91-7
873,T3D1052,Nitromethylidenecyclohexane,27861-39-8
874,T3D1053,"Thiazolidine, 2-(nitromethylene)",94662-61-0
875,T3D1054,"(4E)-4-(Nitromethylidene)-1,2,3,5-tetrahydro-3-benzazepine",58350-08-6
876,T3D1055,"(2E)-2-(Nitromethylidene)-1,3-thiazinane",58842-20-9
877,T3D1056,"2-(Nitromethylidene)-1,3-thiazolidine",94662-60-9
878,T3D1058,(2Z)-1-Ethyl-2-(nitromethylidene)pyrrolidine,26171-04-0
879,T3D1059,(2E)-2-(Nitromethylidene)-1-prop-2-enylpyrrolidine,40990-27-0
880,T3D1060,(2Z)-1-Benzyl-2-(nitromethylidene)pyrrolidine,57734-58-4
881,T3D1061,2-[(2E)-2-(Nitromethylene)hydrazino]naphthalene,302544-16-7
882,T3D1062,(2E)-1-Methyl-2-(nitromethylidene)pyrrolidine,94662-64-3
883,T3D1064,[2-(Nitromethylene)-1-pyrrolidinyl]acetonitrile,91417-82-2
884,T3D1065,"1-(4,5-Dihydro-1H-imidazol-2-ylmethyl)-2,3,4,5-tetrahydro-1-benzazepine",24483-78-1
885,T3D1066,"(3Z)-2-Ethyl-3-(nitromethylidene)-3a,4,5,6,7,7a-hexahydro-1H-isoindole",56593-86-3
886,T3D1067,3-[(2E)-2-(Nitromethylidene)hydrazinyl]benzoic acid,91978-88-0
887,T3D1069,1-(Cyclopropylmethyl)-2-(nitromethylidene)pyrrolidine,60737-54-4
888,T3D1076,Methyl (5Z)-3-amino-5-(nitromethylidene)dithiole-4-carboxylate,78649-93-1
889,T3D1084,"1-[(6-Chloropyridin-3-yl)methyl]-2-(nitromethylidene)-1,3-diazinane",72126-78-4
890,T3D1086,Amidochlor,40164-67-8
891,T3D1087,Butachlor,23184-66-9
892,T3D1088,(±)-Metalaxyl,57837-19-1
893,T3D1089,Metolachlor,51218-45-2
894,T3D1090,Propachlor,1918-16-7
895,T3D1091,Aluminium barium titanium oxide,52869-91-7
896,T3D1092,Barium acetate,543-80-6
897,T3D1093,Barium azide,18810-58-7
898,T3D1094,Barium bromate,13967-90-3
899,T3D1095,Barium bromide,10553-31-8
900,T3D1097,Barium cadmium stearate,1191-79-3
901,T3D1098,Barium calcium titanium oxide,52869-93-9
902,T3D1099,Barium carbonate,513-77-9
903,T3D1100,Barium chlorate,13477-00-4
904,T3D1101,Barium chloride,10361-37-2
905,T3D1103,Barium cyanide,542-62-1
906,T3D1104,Barium ferrate,13773-23-4
907,T3D1105,Barium ferrite,11138-11-7
908,T3D1107,Barium fluoride,7787-32-8
909,T3D1108,Barium hydroxide,17194-00-2
910,T3D1111,Barium hypochlorite,13477-10-6
911,T3D1112,Barium iodide,13718-50-8
912,T3D1114,Barium iron oxide,12047-11-9
913,T3D1115,Barium nitrate,10022-31-8
914,T3D1116,Barium oxalate,516-02-9
915,T3D1117,Barium oxide,1304-28-5
916,T3D1118,Barium perchlorate,13465-95-7
917,T3D1119,Barium permanganate,7787-36-2
918,T3D1120,Barium peroxide,1304-29-6
919,T3D1121,Barium silicofluoride,17125-80-3
920,T3D1122,Barium sulfate,7727-43-7
921,T3D1123,Barium sulfide,21109-95-5
922,T3D1124,Barium titanate,12047-27-7
923,T3D1126,Barium zirconium oxide,12009-21-1
924,T3D1127,Yttrium barium copper oxide,107539-20-8
925,T3D1128,Manganese chloride,7773-01-5
926,T3D1131,Manganese sulfate,7785-87-7
927,T3D1134,Manganese(III) oxide,1317-35-7
928,T3D1135,Manganese dioxide,1313-13-9
929,T3D1136,Potassium permanganate,7722-64-7
930,T3D1137,Mangafodipir,140678-14-4
931,T3D1138,Methylcyclopentadienyl manganese tricarbonyl,12108-13-3
932,T3D1139,Manganese(II) oxide,1344-43-0
933,T3D1140,Dimanganese decacarbonyl,10170-69-1
934,T3D1141,Manganese diselenide,12299-98-8
935,T3D1142,Manganese heptaoxide,12057-92-0
936,T3D1143,Manganese bromide,13446-03-2
937,T3D1145,Manganese carbonate,598-62-9
938,T3D1146,Manganese fluoride,7782-64-1
939,T3D1147,Manganese phthalocyanine,14325-24-7
940,T3D1148,Manganese sulfide,18820-29-6
941,T3D1149,Manganese triacetate,19513-05-4
942,T3D1150,Manganese trifluoride,7783-53-1
943,T3D1151,Manganese(III) oxide,1317-34-6
944,T3D1152,Potassium manganate,10294-64-1
945,T3D1153,Ammonium permanganate,13446-10-1
946,T3D1154,Calcium permanganate,10118-76-0
947,T3D1155,Sodium permanganate,10101-50-5
948,T3D1156,Zinc permanganate,23414-72-4
949,T3D1157,D-Gluconic acid Mn(II) salt,6485-39-8
950,T3D1158,Manganous acetate,638-38-0
951,T3D1159,Manganese citrate,5968-88-7
952,T3D1160,Ammonium diuranate,7783-22-4
953,T3D1161,Sodium uranate,13721-34-1
954,T3D1162,Triuranium octaoxide,1344-59-8
955,T3D1163,Uranium dioxide,1344-57-6
956,T3D1164,Uranium hexafluoride,7783-81-5
957,T3D1165,Uranium pentachloride,13470-21-8
958,T3D1166,Uranium peroxide,12036-71-4
959,T3D1167,Uranium tetrachloride,10026-10-5
960,T3D1168,Uranium pentafluoride,10049-14-6
961,T3D1169,Uranium trioxide,1344-58-6
962,T3D1170,Uranyl fluoride,13536-84-0
963,T3D1172,Uranium boride,12007-36-2
964,T3D1173,Uranium carbide,12070-09-6
965,T3D1174,Uranium nitride,12033-83-9
966,T3D1175,Uranium chloride,10025-93-1
967,T3D1176,Uranocene,11079-26-8
968,T3D1177,Uranyl acetate,541-09-3
969,T3D1179,Uranyl chloride,7791-26-6
970,T3D1180,Uranyl formate,16984-59-1
971,T3D1181,Uranyl nitrate,10102-06-4
972,T3D1182,Uranyl sulfate,1314-64-3
973,T3D1183,Uranyl zinc acetate,10138-94-0
974,T3D1184,Stryker's reagent,33636-93-0
975,T3D1185,Chromated copper arsenate,37337-13-6
976,T3D1186,Copper aspirinate,23642-01-5
977,T3D1187,Copper benzoate,533-01-7
978,T3D1188,Chlorophyllin,11006-34-1
979,T3D1189,Copper chromite,12053-18-8
980,T3D1190,Copper(I) fluoride,13478-41-6
981,T3D1191,Copper(II) fluoride,7789-19-7
982,T3D1193,Copper gluconate,527-09-3
983,T3D1194,Copper(I) oxide,1317-39-1
984,T3D1195,Copper(II) oxide,1317-38-0
