network_for_specie,from_compound_metacyc_id,to_compound_metacyc_id,from_compound_smiles,to_compound_smiles
TAX-9606,NN-DIACETYLCHITOBIOSYLDIPHOSPHODOLICHO,ALPHA-D-MANNOSYLCHITOBIO,CC(=O)N[C@H]1[C@H](O[C@@H]2[C@@H](CO)O[C@H](OP(=O)([O-])OP(=O)([O-])OCCC(C)CC/C=C(\C)CC/C=C(\C)CC/C=C(\C)CC/C=C(\C)CC/C=C(\C)CC/C=C(\C)CC/C=C(\C)CC/C=C(\C)CC/C=C(\C)CC/C=C(\C)CC/C=C(\C)CC/C=C(\C)CC/C=C(/C)CC/C=C(/C)CCC=C(C)C)[C@H](NC(C)=O)[C@H]2O)O[C@H](CO)[C@@H](O)[C@@H]1O,CC(=O)N[C@H]1[C@H](O[C@@H]2[C@@H](CO)O[C@H](OP(=O)([O-])OP(=O)([O-])OCCC(C)CC/C=C(\C)CC/C=C(\C)CC/C=C(\C)CC/C=C(\C)CC/C=C(\C)CC/C=C(\C)CC/C=C(\C)CC/C=C(\C)CC/C=C(\C)CC/C=C(\C)CC/C=C(\C)CC/C=C(\C)CC/C=C(/C)CC/C=C(/C)CCC=C(C)C)[C@H](NC(C)=O)[C@H]2O)O[C@H](CO)[C@@H](O[C@@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@@H]2O)[C@@H]1O
TAX-9606,CPD-190,NN-DIACETYLCHITOBIOSYLDIPHOSPHODOLICHO,CC(=O)N[C@H]1[C@@H](OP(=O)([O-])OP(=O)([O-])OCCC(C)CC/C=C(\C)CC/C=C(\C)CC/C=C(\C)CC/C=C(\C)CC/C=C(\C)CC/C=C(\C)CC/C=C(\C)CC/C=C(\C)CC/C=C(\C)CC/C=C(\C)CC/C=C(\C)CC/C=C(\C)CC/C=C(/C)CC/C=C(/C)CCC=C(C)C)O[C@H](CO)[C@@H](O)[C@@H]1O,CC(=O)N[C@H]1[C@H](O[C@@H]2[C@@H](CO)O[C@H](OP(=O)([O-])OP(=O)([O-])OCCC(C)CC/C=C(\C)CC/C=C(\C)CC/C=C(\C)CC/C=C(\C)CC/C=C(\C)CC/C=C(\C)CC/C=C(\C)CC/C=C(\C)CC/C=C(\C)CC/C=C(\C)CC/C=C(\C)CC/C=C(\C)CC/C=C(/C)CC/C=C(/C)CCC=C(C)C)[C@H](NC(C)=O)[C@H]2O)O[C@H](CO)[C@@H](O)[C@@H]1O
TAX-9606,GDP-MANNOSE,CPD-171,Nc1nc2c(ncn2[C@@H]2O[C@H](COP(=O)([O-])OP(=O)([O-])O[C@H]3O[C@H](CO)[C@@H](O)[C@H](O)[C@@H]3O)[C@@H](O)[C@H]2O)c(=O)[nH]1,CC(C)=CCC/C(C)=C\CC/C(C)=C\CC/C(C)=C/CC/C(C)=C/CC/C(C)=C/CC/C(C)=C/CC/C(C)=C/CC/C(C)=C/CC/C(C)=C/CC/C(C)=C/CC/C(C)=C/CC/C(C)=C/CC/C(C)=C/CC/C(C)=C/CCC(C)CCOP(=O)([O-])O[C@@H]1O[C@H](CO)[C@@H](O)[C@H](O)[C@@H]1O
TAX-9606,GDP-MANNOSE,GDP-4-DEHYDRO-6-DEOXY-D-MANNOSE,Nc1nc2c(ncn2[C@@H]2O[C@H](COP(=O)([O-])OP(=O)([O-])O[C@H]3O[C@H](CO)[C@@H](O)[C@H](O)[C@@H]3O)[C@@H](O)[C@H]2O)c(=O)[nH]1,C[C@H]1O[C@H](OP(=O)([O-])OP(=O)([O-])OC[C@H]2O[C@@H](n3cnc4c(=O)[nH]c(N)nc43)[C@H](O)[C@@H]2O)[C@@H](O)[C@@H](O)C1=O
TAX-9606,CPD-12575,CPD-166,O=c1ccn([C@@H]2O[C@H](COP(=O)([O-])OP(=O)([O-])O[C@H]3O[C@H](CO)[C@@H](O)[C@H](O)[C@H]3O)[C@@H](O)[C@H]2O)c(=O)[nH]1,CC(C)=CCC/C(C)=C\CC/C(C)=C\CC/C(C)=C/CC/C(C)=C/CC/C(C)=C/CC/C(C)=C/CC/C(C)=C/CC/C(C)=C/CC/C(C)=C/CC/C(C)=C/CC/C(C)=C/CC/C(C)=C/CC/C(C)=C/CC/C(C)=C/CCC(C)CCOP(=O)([O-])O[C@@H]1O[C@H](CO)[C@@H](O)[C@H](O)[C@H]1O
TAX-9606,CPD-12575,GLUCOSYL-GLYCOGENIN,O=c1ccn([C@@H]2O[C@H](COP(=O)([O-])OP(=O)([O-])O[C@H]3O[C@H](CO)[C@@H](O)[C@H](O)[C@H]3O)[C@@H](O)[C@H]2O)c(=O)[nH]1,
TAX-9606,CPD-5164,CPD-5165,CC(=O)N[C@H]1[C@H](O[C@@H]2[C@@H](CO)O[C@H](OP(=O)([O-])OP(=O)([O-])OCCC(C)CC/C=C(\C)CC/C=C(\C)CC/C=C(\C)CC/C=C(\C)CC/C=C(\C)CC/C=C(\C)CC/C=C(\C)CC/C=C(\C)CC/C=C(\C)CC/C=C(\C)CC/C=C(\C)CC/C=C(\C)CC/C=C(/C)CC/C=C(/C)CCC=C(C)C)[C@H](NC(C)=O)[C@H]2O)O[C@H](CO)[C@@H](O[C@@H]2O[C@H](CO[C@H]3O[C@H](CO)[C@@H](O)[C@H](O)[C@@H]3O)[C@@H](O)[C@H](O[C@H]3O[C@H](CO)[C@@H](O)[C@H](O)[C@@H]3O[C@H]3O[C@H](CO)[C@@H](O)[C@H](O)[C@@H]3O[C@H]3O[C@H](CO)[C@@H](O)[C@H](O)[C@@H]3O)[C@@H]2O)[C@@H]1O,CC(=O)N[C@H]1[C@H](O[C@@H]2[C@@H](CO)O[C@H](OP(=O)([O-])OP(=O)([O-])OCCC(C)CC/C=C(\C)CC/C=C(\C)CC/C=C(\C)CC/C=C(\C)CC/C=C(\C)CC/C=C(\C)CC/C=C(\C)CC/C=C(\C)CC/C=C(\C)CC/C=C(\C)CC/C=C(\C)CC/C=C(\C)CC/C=C(/C)CC/C=C(/C)CCC=C(C)C)[C@H](NC(C)=O)[C@H]2O)O[C@H](CO)[C@@H](O[C@@H]2O[C@H](CO[C@H]3O[C@H](CO)[C@@H](O)[C@H](O[C@H]4O[C@H](CO)[C@@H](O)[C@H](O)[C@@H]4O)[C@@H]3O)[C@@H](O)[C@H](O[C@H]3O[C@H](CO)[C@@H](O)[C@H](O)[C@@H]3O[C@H]3O[C@H](CO)[C@@H](O)[C@H](O)[C@@H]3O[C@H]3O[C@H](CO)[C@@H](O)[C@H](O)[C@@H]3O)[C@@H]2O)[C@@H]1O
TAX-9606,CPD-5881,CPD-15159,C[C@H](O)[C@H](O)[C@H]1CNC2=NC(N)=NC(=O)[C@]2(O)N1,C[C@H](O)[C@H](O)[C@H]1CNC2=NC(N)=NC(=O)C2=N1
TAX-9606,3-UREIDO-PROPIONATE,B-ALANINE,NC(=O)NCCC(=O)[O-],[NH3+]CCC(=O)[O-]
TAX-9606,DI-H-URACIL,3-UREIDO-PROPIONATE,O=C1CCNC(=O)N1,NC(=O)NCCC(=O)[O-]
TAX-9606,O-phospho-L-seryl-tRNASecs,Charged-SEC-tRNAs,,
TAX-9606,SEPO3,Charged-SEC-tRNAs,[O-]P([O-])(O)=[Se],
TAX-9606,AMINOMETHYLDIHYDROLIPOYL-GCVH,GLY,,[NH3+]CC(=O)[O-]
TAX-9606,DIHYDROXY-ACETONE-PHOSPHATE,GLYCEROL-3P,O=C(CO)COP(=O)([O-])[O-],O=P([O-])([O-])OC[C@H](O)CO
TAX-9606,DIHYDROXY-ACETONE-PHOSPHATE,GAP,O=C(CO)COP(=O)([O-])[O-],O=C[C@H](O)COP(=O)([O-])[O-]
TAX-9606,L-GLUTAMATE-5-P,L-GLUTAMATE_GAMMA-SEMIALDEHYDE,[NH3+][C@@H](CCC(=O)OP(=O)([O-])[O-])C(=O)[O-],[NH3+][C@@H](CCC=O)C(=O)[O-]
TAX-9606,Ubiquitin-C-Terminal-Glycine,S-ubiquitinyl-UAP-E1-L-cysteine,,
TAX-9606,PROCOLLAGEN-L-PROLINE,PROCOLLAGEN-3-HYDROXY-L-PROLINE,,
TAX-9606,PROCOLLAGEN-L-PROLINE,CPD-6321,,
TAX-9606,Man6-GlcNAc2-protein-A12B2,Mannosyl5-N-Glycans,,
TAX-9606,Man7GlcNAc2-protein-A123B2,Man6-GlcNAc2-protein-A12B2,,
TAX-9606,Man8-GlcNAc2-protein-A123B12,Man7GlcNAc2-protein-A123B2,,
TAX-9606,Man6GlcNAc2-protein-A123,Mannosyl5-N-Glycans,,
TAX-9606,CPD-488,CPD-13118,C[C@@H]1O[C@H](OP(=O)([O-])[O-])[C@@H](O)[C@H](O)[C@@H]1O,C[C@@H]1O[C@H](OP(=O)([O-])OP(=O)([O-])OC[C@H]2O[C@@H](n3cnc4c(=O)[nH]c(N)nc43)[C@H](O)[C@@H]2O)[C@@H](O)[C@H](O)[C@@H]1O
TAX-9606,L-Fucopyranoses,CPD-488,C[C@@H]1OC(O)[C@@H](O)[C@H](O)[C@@H]1O,C[C@@H]1O[C@H](OP(=O)([O-])[O-])[C@@H](O)[C@H](O)[C@@H]1O
TAX-9606,CPD-16494,I-antigens,,
TAX-9606,N-ACETYL-BETA-D-GLUCOSAMINYL-13-ETCETERA,i-Antigens,,
TAX-9606,B-Gal-14-NacGlc-R,CPD-16483,,
TAX-9606,B-Gal-14-NacGlc-R,N-ACETYL-BETA-D-GLUCOSAMINYL-13-ETCETERA,,
TAX-9606,B-Gal-14-NacGlc-R,ALPHA-D-GALACTOSYL-ETCETERA-GLUCOSAMINYL,,
TAX-9606,B-Gal-14-NacGlc-R,ALPHA-N-ACETYLNEURAMINYL-23-BETA-ETCETER,,
TAX-9606,B-Gal-14-NacGlc-R,CPD-8594,,
TAX-9606,B-Gal-14-NacGlc-R,Type-2-H-Antigen,,
TAX-9606,BETA-ACETYLGLUCOSAMINIDE,beta-Gal-13-beta-GlcNac-R,,
TAX-9606,BETA-ACETYLGLUCOSAMINIDE,B-Gal-14-NacGlc-R,,
TAX-9606,beta-Gal-13-beta-GlcNac-R,aNeuAc-23-bGal-13-bGlcNAC-R,,
TAX-9606,beta-Gal-13-beta-GlcNac-R,Lewis-a-epitope,,
TAX-9606,beta-Gal-13-beta-GlcNac-R,Type-1-H-Antigen,,
TAX-9606,Core2,N-ACETYL-ETCETERA-GALACTOSAMINYL-R,,
TAX-9606,Core1,Core2,,
TAX-9606,Alpha-Dystroglycan-glycan-moiety,Alpha-Dystroglycan-glycan-moiety,,
TAX-9606,XylGlcAXylRbo5Px2GalNAcGlucNAcMan6PR,GlcAXylGlcAXylRbo5Px2GalNAcGlucNAcMan6PR,,
TAX-9606,UDP-GLUCURONATE,GlcA-Gal-Gal-Xyl-Proteins,O=C([O-])[C@H]1O[C@H](OP(=O)([O-])OP(=O)([O-])OC[C@H]2O[C@@H](n3ccc(=O)[nH]c3=O)[C@H](O)[C@@H]2O)[C@H](O)[C@@H](O)[C@@H]1O,
TAX-9606,Gal-Gal-Xyl-Proteins,GlcA-Gal-Gal-Xyl-Proteins,,
TAX-9606,CPD-14553,Gal-Gal-Xyl-Proteins,O=c1ccn([C@@H]2O[C@H](COP(=O)([O-])OP(=O)([O-])O[C@H]3O[C@H](CO)[C@H](O)[C@H](O)[C@H]3O)[C@@H](O)[C@H]2O)c(=O)[nH]1,
TAX-9606,CPD-14553,CPD-8202,O=c1ccn([C@@H]2O[C@H](COP(=O)([O-])OP(=O)([O-])O[C@H]3O[C@H](CO)[C@H](O)[C@H](O)[C@H]3O)[C@@H](O)[C@H]2O)c(=O)[nH]1,
TAX-9606,CPD-8202,Gal-Gal-Xyl-Proteins,,
TAX-9606,Core-Protein-L-Ser-Xyl,CPD-8202,,
TAX-9606,24-2-N-linked-Glycan,24-26-N-linked-Glycan,,
TAX-9606,2-2-N-linked-Glycan,24-2-N-linked-Glycan,,
TAX-9606,2-2-N-linked-Glycan,2-4-2-N-linked-Glycan,,
TAX-9606,GLUCOSAMINYL-13-N-ETCETERA-GALACTOSAMINY,GLUCOSAMINYL-16-ETCETERA-GALACTOSAMINYL-,,
TAX-9606,D-Gal-NAc--Glycoproteins,GLUCOSAMINYL-13-N-ETCETERA-GALACTOSAMINY,,
TAX-9606,CIT,ACETYL-COA,O=C([O-])CC(O)(CC(=O)[O-])C(=O)[O-],CC(=O)SCCNC(=O)CCNC(=O)[C@H](O)C(C)(C)COP(=O)([O-])OP(=O)([O-])OC[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1OP(=O)([O-])[O-]
TAX-9606,MAL,OXALACETIC_ACID,O=C([O-])C[C@H](O)C(=O)[O-],O=C([O-])CC(=O)C(=O)[O-]
TAX-9606,OXALACETIC_ACID,MAL,O=C([O-])CC(=O)C(=O)[O-],O=C([O-])C[C@H](O)C(=O)[O-]
TAX-9606,OXALACETIC_ACID,CIT,O=C([O-])CC(=O)C(=O)[O-],O=C([O-])CC(O)(CC(=O)[O-])C(=O)[O-]
TAX-9606,N-4-aminobutylidene-enzyme-lysine,N-4-aminobutylidene-eIF5A-lysine,,
TAX-9606,CPD-9973,CPD-9974,,[NH3+]CC[C@@H](O)C[NH2+]CCCC[C@H]([NH3+])C(=O)[O-]
TAX-9606,DIMETHYLARSINOUS-ACID,CPD-24324,C[As](C)O,C[As](C)SC[C@H](NC(=O)CC[C@H]([NH3+])C(=O)[O-])C(=O)NCC(=O)[O-]
TAX-9606,CPD-24323,DIMETHYLARSINOUS-ACID,C[As](SC[C@H](NC(=O)CC[C@H]([NH3+])C(=O)[O-])C(=O)NCC(=O)[O-])SC[C@H](NC(=O)CC[C@H]([NH3+])C(=O)[O-])C(=O)NCC(=O)[O-],C[As](C)O
TAX-9606,CPD0-2040,CPD0-2040,O[As](O)O,O[As](O)O
TAX-9606,RIBOSE-1-ARSENATE,CPD-763,O=[As]([O-])([O-])O[C@H]1O[C@H](CO)[C@@H](O)[C@H]1O,[O-][As](O)O
TAX-9606,ARSENATE,RIBOSE-1-ARSENATE,O=[As]([O-])([O-])O,O=[As]([O-])([O-])O[C@H]1O[C@H](CO)[C@@H](O)[C@H]1O
TAX-9606,UDP-N-ACETYL-D-GLUCOSAMINE,N-ACETYL-D-MANNOSAMINE,CC(=O)N[C@H]1[C@@H](OP(=O)([O-])OP(=O)([O-])OC[C@H]2O[C@@H](n3ccc(=O)[nH]c3=O)[C@H](O)[C@@H]2O)O[C@H](CO)[C@@H](O)[C@@H]1O,CC(=O)N[C@@H]1[C@H](O)O[C@H](CO)[C@@H](O)[C@@H]1O
TAX-9606,ARG,L-ORNITHINE,NC(=[NH2+])NCCC[C@H]([NH3+])C(=O)[O-],[NH3+]CCC[C@H]([NH3+])C(=O)[O-]
TAX-9606,Cytochromes-C-Reduced,WATER,,O
TAX-9606,Ubiquinols,Cytochromes-C-Reduced,,
TAX-9606,NADH,Ubiquinols,NC(=O)C1=CN([C@@H]2O[C@H](COP(=O)([O-])OP(=O)([O-])OC[C@H]3O[C@@H](n4cnc5c(N)ncnc54)[C@H](O)[C@@H]3O)[C@@H](O)[C@H]2O)C=CC1,
TAX-9606,GalNAc-GlcA-GalNAc-GlcA-Gal-Gal-Xyl-Pr,Chondroitin-Protein,,
TAX-9606,GlcA-GalNAc-GlcA-Gal-Gal-Xyl-Proteins,GalNAc-GlcA-GalNAc-GlcA-Gal-Gal-Xyl-Pr,,
TAX-9606,GalNAc-GlcA-Gal-Gal-Xyl-Proteins,GlcA-GalNAc-GlcA-Gal-Gal-Xyl-Proteins,,
TAX-9606,DERMATAN-L-IDURONATE,Dermatan-sulfate-L-IdoA2S,,
TAX-9606,Dermatan-NAcGal-4-sulfates,Dermatan-NAcGal-46-disulfates,,
TAX-9606,Chondroitin-D-glucuronates,DERMATAN-L-IDURONATE,,
TAX-9606,Chondroitin-D-glucuronates,Chondroitin-sulfate-GlcA2S,,
TAX-9606,GlcA-GlcNAc-GlcA-Gal-Gal-Xyl-Protein,GlcNAc-GlcA-GlcNAc-GlcA-Gal-Gal-Xyl-Core,,
TAX-9606,Heparan-NAc-Glc,HEPARIN-GLUCOSAMINE,,
TAX-9606,HEPARIN-GLUCOSAMINE,HEPARIN-GLUCOSAMINE-3-O-SULFATE,,
TAX-9606,HEPARIN-GLUCOSAMINE,Heparan-sulfate-D-GlcNS,,
TAX-9606,Heparan-sulfate-L-iduronate,Heparan-sulfate-L-IdoA-2S,,
TAX-9606,Heparan-GlcN-6-N-bisulfate,Heparan-Glc-N-3-6-trisulfate,,
TAX-9606,Heparan-sulfate-D-GlcNS,Heparan-GlcN-6-N-bisulfate,,
TAX-9606,Heparan-sulfate-D-GlcNS,Heparan-sulfate-3-N-disulfate,,
TAX-9606,CHONDROITIN-4-SULFATE,CHONDROITIN-46-DISULFATE,,
TAX-9606,Chondroitin-N-acetyl-galactosamines,Chondroitin-GalNAc-6S,,
TAX-9606,Chondroitin-N-acetyl-galactosamines,CHONDROITIN-4-SULFATE,,
TAX-9606,HYDROGEN-PEROXIDE,CPD-12377,OO,O
TAX-9606,HYDROGEN-PEROXIDE,WATER,OO,O
TAX-9606,HYDROGEN-PEROXIDE,OXYGEN-MOLECULE,OO,O=O
TAX-9606,SUPER-OXIDE,HYDROGEN-PEROXIDE,[O-]O,OO
TAX-9606,QUEUINE,|tRNAs-with-queuine|,Nc1nc2[nH]cc(C[NH2+]C3C=C[C@H](O)[C@@H]3O)c2c(=O)[nH]1,
TAX-9606,GLUTATHIONE,Red-Glutaredoxins,[NH3+][C@@H](CCC(=O)N[C@@H](CS)C(=O)NCC(=O)[O-])C(=O)[O-],
TAX-9606,GLUTATHIONE,OXIDIZED-GLUTATHIONE,[NH3+][C@@H](CCC(=O)N[C@@H](CS)C(=O)NCC(=O)[O-])C(=O)[O-],[NH3+][C@@H](CCC(=O)N[C@@H](CSSC[C@H](NC(=O)CC[C@H]([NH3+])C(=O)[O-])C(=O)NCC(=O)[O-])C(=O)NCC(=O)[O-])C(=O)[O-]
TAX-9606,GLUTATHIONE,CYS-GLY,[NH3+][C@@H](CCC(=O)N[C@@H](CS)C(=O)NCC(=O)[O-])C(=O)[O-],[NH3+][C@@H](CS)C(=O)NCC(=O)[O-]
TAX-9606,GLUTATHIONE,5-L-GLUTAMYL-L-AMINO-ACID,[NH3+][C@@H](CCC(=O)N[C@@H](CS)C(=O)NCC(=O)[O-])C(=O)[O-],
TAX-9606,OXIDIZED-GLUTATHIONE,GLUTATHIONE,[NH3+][C@@H](CCC(=O)N[C@@H](CSSC[C@H](NC(=O)CC[C@H]([NH3+])C(=O)[O-])C(=O)NCC(=O)[O-])C(=O)NCC(=O)[O-])C(=O)[O-],[NH3+][C@@H](CCC(=O)N[C@@H](CS)C(=O)NCC(=O)[O-])C(=O)[O-]
TAX-9606,CYS-GLY,CYS,[NH3+][C@@H](CS)C(=O)NCC(=O)[O-],[NH3+][C@@H](CS)C(=O)[O-]
TAX-9606,CYS-GLY,GLY,[NH3+][C@@H](CS)C(=O)NCC(=O)[O-],[NH3+]CC(=O)[O-]
TAX-9606,SUC-COA,SUC,CC(C)(COP(=O)([O-])OP(=O)([O-])OC[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1OP(=O)([O-])[O-])[C@@H](O)C(=O)NCCC(=O)NCCSC(=O)CCC(=O)[O-],O=C([O-])CCC(=O)[O-]
TAX-9606,CPD-21315,CPD-21318,CC1=C(C/C=C(\C)CCC(=O)[O-])C(=O)c2ccccc2C1=O,CC1=C(C/C=C(\C)CCC(=O)O[C@@H]2O[C@H](C(=O)[O-])[C@@H](O)[C@H](O)[C@H]2O)C(=O)c2ccccc2C1=O
TAX-9606,CPD-21316,CPD-21317,CC1=C(CCC(C)C(=O)[O-])C(=O)c2ccccc2C1=O,CC1=C(CCC(C)C(=O)O[C@@H]2O[C@H](C(=O)[O-])[C@@H](O)[C@H](O)[C@H]2O)C(=O)c2ccccc2C1=O
TAX-9606,S-Substituted-L-Cysteines,Thiols,,
TAX-9606,S-Substituted-L-Cysteines,Mercapturates,,
TAX-9606,CPD-3481,CPD-3486,CC([NH2+]C(C)(C)C)C(=O)c1cccc(Cl)c1,O=C([O-])c1cccc(Cl)c1
TAX-9606,CPD-3481,CPD-3483,CC([NH2+]C(C)(C)C)C(=O)c1cccc(Cl)c1,CC([NH2+]C(C)(C)CO)C(=O)c1cccc(Cl)c1
TAX-9606,CPD-3481,CPD-3484,CC([NH2+]C(C)(C)C)C(=O)c1cccc(Cl)c1,C[C@@H]([NH2+]C(C)(C)C)[C@H](O)c1cccc(Cl)c1
TAX-9606,CPD-3481,CPD-3482,CC([NH2+]C(C)(C)C)C(=O)c1cccc(Cl)c1,C[C@H]([NH2+]C(C)(C)C)[C@H](O)c1cccc(Cl)c1
TAX-9606,CPD-3486,CPD-3487,O=C([O-])c1cccc(Cl)c1,O=C([O-])CNC(=O)c1cccc(Cl)c1
TAX-9606,POLY-GLUCOSYLATED-GLYCOGENINS,Glycogens,,
TAX-9606,GLUCOSYL-GLYCOGENIN,CPD-7010,,
TAX-9606,CPD-7010,CPD-7010,,
TAX-9606,DOLICHOL,DOLICHOLP,CC(C)=CCC/C(C)=C\CC/C(C)=C\CC/C(C)=C/CC/C(C)=C/CC/C(C)=C/CC/C(C)=C/CC/C(C)=C/CC/C(C)=C/CC/C(C)=C/CC/C(C)=C/CC/C(C)=C/CC/C(C)=C/CC/C(C)=C/CC/C(C)=C/CCC(C)CCO,CC(C)=CCC/C(C)=C\CC/C(C)=C\CC/C(C)=C/CC/C(C)=C/CC/C(C)=C/CC/C(C)=C/CC/C(C)=C/CC/C(C)=C/CC/C(C)=C/CC/C(C)=C/CC/C(C)=C/CC/C(C)=C/CC/C(C)=C/CC/C(C)=C/CCC(C)CCOP(=O)([O-])[O-]
TAX-9606,L-DEHYDRO-ASCORBATE,ASCORBATE,O=C1O[C-](C(O)CO)C(=O)C1=O,O=C1O[C@H]([C@@H](O)CO)C([O-])=C1O
TAX-9606,CPD-318,ASCORBATE,O=C1O[C@H]([C@@H](O)CO)C(O)=C1O,O=C1O[C@H]([C@@H](O)CO)C([O-])=C1O
TAX-9606,CPD-318,L-DEHYDRO-ASCORBATE,O=C1O[C@H]([C@@H](O)CO)C(O)=C1O,O=C1O[C-](C(O)CO)C(=O)C1=O
TAX-9606,CPD-20932,BILIRUBIN-BISGLUCURONOSIDE,C=CC1=C(C)C(=Cc2[nH]c(Cc3[nH]c(/C=C4\NC(=O)C(C)=C4C=C)c(C)c3CCC(=O)O[C@H]3[C@H](O)[C@@H](C(=O)[O-])O[C@@H](O)[C@@H]3O)c(CCC(=O)[O-])c2C)NC1=O,C=CC1=C(C)C(=Cc2[nH]c(Cc3[nH]c(/C=C4\NC(=O)C(C)=C4C=C)c(C)c3CCC(=O)O[C@H]3[C@H](O)[C@@H](C(=O)[O-])O[C@@H](O)[C@@H]3O)c(CCC(=O)O[C@H]3[C@H](O)[C@@H](C(=O)[O-])O[C@@H](O)[C@@H]3O)c2C)NC1=O
TAX-9606,BILIRUBIN-GLUCURONOSIDE,BILIRUBIN-BISGLUCURONOSIDE,C=CC1=C(C)C(=Cc2[nH]c(Cc3[nH]c(/C=C4\NC(=O)C(C)=C4C=C)c(C)c3CCC(=O)[O-])c(CCC(=O)O[C@H]3[C@H](O)[C@@H](C(=O)[O-])O[C@@H](O)[C@@H]3O)c2C)NC1=O,C=CC1=C(C)C(=Cc2[nH]c(Cc3[nH]c(/C=C4\NC(=O)C(C)=C4C=C)c(C)c3CCC(=O)O[C@H]3[C@H](O)[C@@H](C(=O)[O-])O[C@@H](O)[C@@H]3O)c(CCC(=O)O[C@H]3[C@H](O)[C@@H](C(=O)[O-])O[C@@H](O)[C@@H]3O)c2C)NC1=O
TAX-9606,BILIRUBIN,BILIRUBIN-GLUCURONOSIDE,C=CC1=C(C)C(=Cc2[nH]c(Cc3[nH]c(/C=C4\NC(=O)C(C)=C4C=C)c(C)c3CCC(=O)[O-])c(CCC(=O)[O-])c2C)NC1=O,C=CC1=C(C)C(=Cc2[nH]c(Cc3[nH]c(/C=C4\NC(=O)C(C)=C4C=C)c(C)c3CCC(=O)[O-])c(CCC(=O)O[C@H]3[C@H](O)[C@@H](C(=O)[O-])O[C@@H](O)[C@@H]3O)c2C)NC1=O
TAX-9606,DOPAMINE,CPD-7649,[NH3+]CCc1ccc(O)c(O)c1,[NH3+]CCc1ccc(O)c(OS(=O)(=O)[O-])c1
TAX-9606,DOPAMINE,CPD-7650,[NH3+]CCc1ccc(O)c(O)c1,COc1cc(CC[NH3+])ccc1O
TAX-9606,CPD-782,CPD-7651,O=C([O-])Cc1ccc(O)c(O)c1,COc1cc(CC(=O)[O-])ccc1O
TAX-9606,HISTAMINE,N-METHYL-HISTAMINE,[NH3+]CCc1c[nH]cn1,Cn1cnc(CC[NH3+])c1
TAX-9606,HISTAMINE,IMIDAZOLE_ACETALDEHYDE,[NH3+]CCc1c[nH]cn1,O=CCc1c[nH]cn1
TAX-9606,L-Cysteine-Desulfurases,Persulfurated-L-cysteine-desulfurases,,
TAX-9606,METHYLENE-THF,DIHYDROFOLATE,Nc1nc2c(c(=O)[nH]1)N1CN(c3ccc(C(=O)N[C@@H](CCC(=O)[O-])C(=O)[O-])cc3)C[C@@H]1CN2,Nc1nc2c(c(=O)[nH]1)N=C(CNc1ccc(C(=O)N[C@@H](CCC(=O)[O-])C(=O)[O-])cc1)CN2
TAX-9606,THF,METHYLENE-THF,Nc1nc2c(c(=O)[nH]1)N[C@@H](CNc1ccc(C(=O)N[C@@H](CCC(=O)[O-])C(=O)[O-])cc1)CN2,Nc1nc2c(c(=O)[nH]1)N1CN(c3ccc(C(=O)N[C@@H](CCC(=O)[O-])C(=O)[O-])cc3)C[C@@H]1CN2
TAX-9606,DUMP,TMP,O=c1ccn([C@H]2C[C@H](O)[C@@H](COP(=O)([O-])[O-])O2)c(=O)[nH]1,Cc1cn([C@H]2C[C@H](O)[C@@H](COP(=O)([O-])[O-])O2)c(=O)[nH]c1=O
TAX-9606,DEOXYCYTIDINE,DEOXYURIDINE,Nc1ccn([C@H]2C[C@H](O)[C@@H](CO)O2)c(=O)n1,O=c1ccn([C@H]2C[C@H](O)[C@@H](CO)O2)c(=O)[nH]1
TAX-9606,DEOXYCYTIDINE,DCMP,Nc1ccn([C@H]2C[C@H](O)[C@@H](CO)O2)c(=O)n1,Nc1ccn([C@H]2C[C@H](O)[C@@H](COP(=O)([O-])[O-])O2)c(=O)n1
TAX-9606,DCMP,DCDP,Nc1ccn([C@H]2C[C@H](O)[C@@H](COP(=O)([O-])[O-])O2)c(=O)n1,Nc1ccn([C@H]2C[C@H](O)[C@@H](COP(=O)([O-])OP(=O)([O-])[O-])O2)c(=O)n1
TAX-9606,CYTIDINE,CMP,Nc1ccn([C@@H]2O[C@H](CO)[C@@H](O)[C@H]2O)c(=O)n1,Nc1ccn([C@@H]2O[C@H](COP(=O)([O-])[O-])[C@@H](O)[C@H]2O)c(=O)n1
TAX-9606,2-METHYL-3-PHYTYL-14-NAPHTHOQUINONE,CPD-12831,CC1=C(C/C=C(/C)CCC[C@H](C)CCC[C@H](C)CCCC(C)C)C(=O)c2ccccc2C1=O,C/C(=C/Cc1c(C)c(O)c2ccccc2c1O)CCC[C@H](C)CCC[C@H](C)CCCC(C)C
TAX-9606,CPD-12831,23-EPOXY-23-DIHYDRO-2-METHYL-14-NAPHTHOQ,C/C(=C/Cc1c(C)c(O)c2ccccc2c1O)CCC[C@H](C)CCC[C@H](C)CCCC(C)C,C/C(=C/CC12OC1(C)C(=O)c1ccccc1C2=O)CCC[C@H](C)CCC[C@H](C)CCCC(C)C
