Stimulus,Description
634,"Very mild, spicy -balsamic odor. It is claimed that when this chemical is absolutely pure, it has no perceptible odor."
635,"Green-herbaceous, yet “’cinnamic” odor, balsamic, but more “&y’’-fruity than the higher cinnamates. Powerful and of good tenacity."
636,"Sappy-green, slightly woody-earthy, but overall sweet floral-balsamic, slightly fruity odor, reminiscent of Hyacinth-foliage or Iris-foliage"
637,"lntcnscly sweet, but somewhat pungentfloral- herbaceous odor of considerable tena-city"
638,"Tenacious-floral, balsamic-green odor"
639,"In[ensely sweet, honey-like, tenacious odor with herbaceous-tobacco-like undertone."
640,"Powerful, warm-spicy, oily and slightly floral odor of moderate to poor tenacity."
641,"Faint, but sweet and fruity-oily odor of somewhat orrisy type and excellent tenacity."
642,"Mild, but deep and sweet, Tolubalsam-like odor with herbaceous-floral undertones and outstanding tenacity."
643,"Fruity -balsamic, but also floral (rather rosy) odor with mild cinnamon-like undertone."
644,"Very faint, sweet and pleasant balsamic odor. A trace of a rosy or nondescript-floral undertone. Good tenacity"
645,"Very pleasant, floral-herbaceous odor, suggestive of Styrax and Peru balsams, or rather of the distillates of same. A faint, green note is perceptible in the undertones. Good tenacity."
646,"Delicate]} floral, rather rosy odor of good tenacity and with a trace of fresh-green, herbal tone."
647,"Fresh, but delicately floral, rosy odor. Balsamic, almost sweet-tobacco-like undertones. Good tenacity."
648,"Widely used as a powerful Lemon-fragrance chemical, but suffers from poor stability in many types of functional products"
649,"Floral-citrusy, delicate odor, very different from that of Citral. Sweeter, fresher than Citral, and more floral (Lily -1ike)."
650,"Mild and fresh, green-citrusy, almost vegetable- juicy odor with a pleasant, natural oily-fruity undertone. The odor is very heavily influenced by the presence of small amounts of Citral."
651,"Very mild, oily-green, vegetable-fresh and slightly citrusy odor."
652,"Sweet, fruity-rosy odor, somewhat resembling that of Neryl acetate, but lighter and fresher of character."
653,"Stability and odor type depends strongly upon the method of processing and the ratio of Citral,’Indole used in the reaction."
654,"The odor, which may vary from sweet Orange-blossom to fresh Orange peel-like, or Grapefruit-peel-like, is strongly dependent upon the method of preparation and the ratio of Aldckyde,’Anthranilate used."
655,"Very pleasant, sweet-citrus) lemon-orangelike odor, mild, oily and somewhat green."
656,Virtually odorless
657,"Powerful, fresh, green-citrusy, slightly woody odor, lacking in sweetness and fruitiness as compared to Citral, and more suggestive of Citronella oil, inevitably if the observer is familiar with that oil."
658,"Mild, green-herbaceous and sweet odor of considerable tenacity. Commercial products vary in odor type and strength, probably because of differences in composition and purity."
659,Very faint odor when absolutely pure (free from Aldehyde). More lemony-green than the aldehyde proper
660,"Very faint, grassy-green, slightly lemonyoily odor. The pure acetal has only very little odor at all."
661,"Very faint, soft-floral-fresh odor of good tenacity."
662,"Fresh-green-citrusy, almost herbaceous odor, usually contaminated with a Dill-weed like odor from iso-Pulegyl acetate."
663,"Fresh-floral and very tenacious odor, recalling the delicate as well as the deep-exotic notes from natural flower material, mostly in Jasmin-Tuberose direction."
664,"Very tenacious, sweet-floral, Orange-peel and Orange-blossom complex odor."
665,"Faint, fresh-green, somewhat grassy odor, not very pleasant, rather weedy-oil y note."
666,"Powerful, spicy-weedy, somewhat camphor- aceous odor."
667,"Powerful weedy-camphoraceous-minty odor with a herbaceous undertone, including some sweetness, but not enough to call the material \ overall pleasant smelling"
668,"Fresh rosy odor, variable according to purity, content of Dimethybctanol, Geraniol, etc. Overall sweet, fresher, lighter rosy-floral than Geraniol."
669,"Colorless oily liquid of very fresh, light and quite diffusive, rosy-leafy, slightly waxy, petallike odor. It is sweeter than ordinary Citronel- 101,and has absolutely no “minty” notes, yet a certain “coolness” in its fresh odor."
670,"Fresh-rosy-fruity odor, somewhat reminiscent 01’Geranium"
671,"Rich, sweet, floral-rosy, fruity odor of considerable tenacity"
672,"Very mild rosy, somewhat dry-woody odor of considerable tenacity, but of low odor value, overall not too interesting"
673,"Intensely fruity, sweet and somewhat rosy, leafy (rose-petal-like) odor. Overall warm, deep and very pleasant."
674,"Fresh, almost citrusy-rosy, intensely fruity and sweet odor, lighter than that of the n-Butyrate, not as warm or deep."
675,"Faint, but rather heavy and very tenacious, musky-fruity odor of Pear-Peach type with somewhat dry undertones (musky)."
676,"Delicately floral, pronounced fruity (Apple- Pear-Pineapple notes) and somewhat rosy odor of fair tenacity."
677,"Very faint, sweet-floral and somewhat oily odor of great tenacity."
678,"Fresh-herbaceous, slightly green and warm-rosy odor of moderate tenacity. A winey note seems to be normal in this ester."
679,"The above material has been reported as being an interesting perfume material with a floral, sweet-rosy and deep, lasting odor."
680,"Its odor has been described as sweet rosy, more honeylike and longer lasting than that of the Acetate."
681,"Sweet, delicately green-leafy-oily odor with a fruity note. Much sweeter than the Citronellyl methyl acetal (see monograph)."
682,"Colorless mobile liquid, powerful leafygreen, fruity-rosy, fresh and light odor reminiscent of Geranium leaves, somewhat dry and honeylike undertone, There is an overall fresh-vegetable character in this odor picture"
683,"Its odor has been described as sweet-rosy, somewhat green, fresh and honeylike, longer lasting than that of the Acetate"
684,"Green-leafy, Geranium-Rose type odor, diffusive, fresh and natural. Somewhat reminiscent of Citronellyl vinyl ether"
685,"Very faint, sweet-rosy, deep and tenacious odor."
686,Very faint floral-rosy odor.
687,"Powerful and moderately diffusive greenrosy, sweet Lily- Muguet-like odor. Its tenacity is comparatively good"
688,"Very faint, delicate, Rose-M uguet type odor. Somewhat more oily, also more tenacious than the aldehyde, but much weaker."
689,"Sweet-herbaceous-rosy, yet heavy and very tenacious odor, reminiscent of the petals of roses, the waxy -honeylike, deep-sweet odor."
690,"Fresh-fruity, sweet-rosy odor, richer, rounder than that of the acetate, also more berrYIike, fruity."
691,"The odor has been described as freshfruity- rosy, more powerful than that of the esters of lower alifat ic acids, somewhat less sweet, more rosy, less fruity, and more tenacious."
692,"Someu hat dry, but very ‘“natural” leafyrosy, deep and slightly floral-balsamic odor. The word “balsamic”’ should be taken as an extension of “herbaceous” in the direction of deep sweetness, resembling the undertones in Clary Sage, etc"
693,"Warm-fruity, somewhat herbaceous, slight- Iy rosy odor with undertones reminiscent of dried herbs or tobacco ]eaves, also slightly honey-like."
694,"Warm-rosy, herbaceous, chamomile-like, tobacco-like and very tenacious odor."
695,"Green-foliage-like, Rose-Geranium type, fresh and rather powerful odor of modest tenacity."
696,"Fresh-herbaceous, Bergamot- and Pear-like odor, also reminiscent of Lemon and Rose. Good tenacity."
697,"Sweet-herbaceous-fruity, somewhat gassy odor."
698,"Powerful, yet Iight and fruity-floral odor with a peculiar “’breadlike” undertone, somewhat limiting the versatility of usage for this chemical."
699,"Delicately sweet-animal, rather musky odor, more musky than Exaltone, but not in any way repulsive or unpleasantly animal. Extremely tenacious."
700,"Dry-woody, spicy odor, remotely reminiscent of Ambre (the dry notes) and Leather. Good tenacity."
701,"Sweet-balsamic, pleasantly phenolic-spicy odor, somewhat rem iniscent of the odor often encountered in “’old” iso-Eugenol. Also described as having an unmistakingly Maple-like odor, caramellic-sweet."
702,odorless
703,"Sweet, herbaceous-warm, somewhat spicy odor, in extreme dilution more haylike, nut- Iike, tobacco-like."
704,"Sweet-spicy, phenolic-leathery odor with distinctly Vanilla-1ike undertones, balsamic warm sweetness, but overall too medicinal to become classified as a versatile, floral-bal-samic ingredient."
705,"Powerful and penetrating odor, resembling that of smoke (from wood)."
706,"Dry-tarry, medicinal-leathery odor, conventionally described as “phenolic”’."
707,"Tarry-smoky, medicinal (“phenolic”) type odor. Strongest of the 3 isomers. In extreme dilution sweeter, almost floral, less leathery than nrem-Cresol."
708,"Floral-herbaceous, Cananga-like odor with a green undertone."
709,"Heavy-floral, rather pungent, Jasmin-like odor."
710,"Heavy-floral, but rather soft and sweet odor, much less pungent than that of the -ethyiether, also more tenacious. More woody undertone."
711,"Pungent-floral, sweet and heavy odor of leathery Cananga type"
712,"Powerful, pungent-floral, deep-sweet, warm odor, suggestive of Ylang-Ylang, Pandanus and other exotic flowers."
713,"Peculiar metallic-green, smoky odor with oily -herbaceous undertones, remotely remi- niscent of Lily flowers."
714,"Sweet, almost balsamic-herbaceous, slightly medicinal odor, resembling the odor of Salol"
715,"Somewhat dry-metallic, green, Narcissuslike, odor, sharper than that of the or~ho+her, and less herbaceous."
716,"Although this ether has an overall floral fragrance, it is more earthy, and much less sweet than the paru-ether. Pungent, semi-dry, nut-like. almost mossy odor"
717,"Pungent-floral, warm, but almost “gassy” (undiluted) odor u ith earthy-WaInut-like un-dertones"
718,"Pungent, sharp-sweet odor when undiluted, Hyacinth-Wallflower-Ylang type odor when modestly diluted (concentrations below 5-6% in perfume composition), greener and more fruity when highly diluted, almost Marigold like."
719,"Somewhat harsh-metallic, Geranium-like odor of good tenacity"
720,"Somewhat harsh-green, metallic, Geraniumlike odor, reminiscent of the odor of Diphenyl oxide."
721,"Pow erful, heavy-floral, some~vhat green and sharp odor, reminiscent of Narcisse, Rose and OrangebIossom."
722,"Pungent, sweet-herbaceous, slightly floral odor, remotely reminiscent of Lily and Narcissus, however, mainly anisic in type."
723,"Powerful and pungent-floral odor of Narcissus- Ylang-Ylang type - sharper than the Cresyl ethers, but also fresher and more penetrating. Some observers find an animal note in this odor."
724,"Pungent Lily-like odor, penetrating, floral, Narcissus-like in high dilution, Horse-like, urine-like undertones in higher concentration."
725,"Very faint odor, somewhat sweeter than that of para-Cresylsalicy late, more floral"
726,"Herbaceous-sweet, yet somewhat pungent and very tenacious, floral-green odor with resemblance to Narcissus and with pleasant, balsamic, Ambre-bbdanum-like undertones."
727,"Narcissus-like odor, softer and fruitier than that of the Acetate, and not at all “urine-like” in its undertones,"
728,"Pronounced Lily-Narcissus-like odor, someas a catalyst. what pungent and intense, but in proper dilution pleasant floral-oily-green Lily-Ylang-like."
729,"Floral and somewhat indolic.Narcisse-like odor with soft and oily-herbaceous undert ones, good tenacity."
730,"Very faint, delicately floral, sweet odor of considerable tenacity. Overall Lily-like, but mild enough to become a fixative background of other floral types, Oriental fragrances, etc."
731,"Metallic-green, Geranium-like, moderately tenacious odor, somewhat resembling that of Diphenyloxide, yet slightly sweeter, less “cool “’."
732,"Sweet, rather powerful floral, Narcissus-like odor of modest tenacity. The chacteristic difference between this material and the conventional Cananga-Narcisse-Lily chemicals lies mainly in the soft sweetness, the power of the ethylcarbonate without harshness, as compared to e. g. the ethylether."
733,"Very powerful Lily-Jasmin-Lilac type odor. The herbaceous and green notes are more pronounced in this ester than in the Acetate, and the overall odor impression bears some resemblance to Lilac and Jasmin."
734,"Mild, sweet-herbaceous. slightly green and oily odor with variable amounts of cresylic notes. most conceivably derived from impurities (decomposition ?)."
735,See also CREOSOTE
736,Lily -Narcissus-YlangYlang type odor.
737,"Rarely, if ever, offered commercially. This ester is the rarest and least useful of the three isomers."
738,"Very tenacious Lily-Hyacinth-Jonquil type odor. The nuances in odor occur when the material is not chemically pure, e. g. from traces of Phenylacetic acid"
739,"Very faint, sweet-floral odor of considerable tenacity. Reminiscent of Rose and Narcisse with emphasis on the green-woody undertones."
740,"Very faint floral-green, tenacious odor, reminiscent of Narcissus, Hyacinth, etc. but more delicate than the conventional para- Cresyl esters."
741,"Herbaceous-green, warm and somewhat tobacco-like or honeylike odor, yet not distinctly sweet, rather caramellic."
742,"Animal-floral odor, sometimes described as musky."
743,"Tobacco-like, animal, sweet-herbaceous odor with undertones resembling Civet."
744,"Soft, floral-green, almost herbaceous-green odor, not unlike the lower ‘.ca(binols” ( Dimethyl benzyl carbinol, etc. ) but overall sharper, lighter, fresher."
745,"This material is comparatively toxic, irritant and a pronounced Iachrymator. Its odor and flavor suggests a use similar to that of common (Allyl-)Mustard oil, and the material finds some use as a modifier of imitation Radish and Garlic flavors."
746,"Balsamic-herbaceous, warm odor of moderate tenacity."
747,"Warm, oily-herbaceous, winey odor of moderate tenacity."
748,"Warm and very sweet, Honey-Tobacco-like odor with warm, herbaceous undertones."
749,"Pungent, slightly green-sharp, kerosene-like odor of poor tenacity."
750,"When absolutely pure, the material is virtually odorless, but the scarce commercial lots have shown a distinctly herbaceous odor of considerable tenacity,"
751,"Oily-spicy odor, suggestive of Dillseed or Caraway, but not pungent or sharp like Carvone."
752,"Pungent, green-herbaceous odor with notes of animal and vegetable character at the same time. Generally described as “unpleasant” in high concentration. At concentrations well below 1% the odor appears more attractive, warm-spicy, still vegetable, condiment-picklelike."
753,"Mild, oily-green, herbaceous-winey odor."
754,"Herbaceous-sweet- very tenacious odor. In dilution reminiscent of Mandarin peel oil, but overall rather sharp and not as .’Orangeblossom”-- like as most of the conventional Schiff”s bases"
755,"Very faint, green-woody-spicy odor, resembling sap from wood, yet overall dry."
756,"Refreshing-herbaceous, sweet and delicately woody odor of moderate tenacity."
757,"Diffusive and powerful floral-green floralstem like odor with pronounced vegetable, Cucumber-Melon-like notes. Overall resembling the odor of Lindenblossom."
758,"Intensely sweet, fresh-floral odor of great tenacity, somewhat reminiscent of the flowers of the Lemon tree."
759,different odors.
760,"Powerful, and diffusive, foliage-green, “dark’’-weedy and dry odor, sometimes described as “’F1ower-shop odor”. The earthy and wet-g em notes are quite natural in high dilution and resemble the odor of stems from plants and flowers fresh from the soil."
761,"Mild floral-woody, somewhat oily-herbaceous odor, remotely reminiscent of Rose with similarity to the odor of hydrogenated Ionones."
762,"Sweet-woody, rather heavy odor, resembling that of bera-Ionone. More fruity than really floral, but not as tenacious as the Ionone,"
763,"Sweet herbaceous-woody, quite powerful odor with some resemblance to the odor of bera-Ionone. More diffusive, less tenacious, and not quite as floral."
764,"The odor varies according to isomer ratio, but can generally be classified as warm, Violetlike, sweet, yet somewhat powdery and very tenacious."
765,The odor of Ionones and their homologies is a subject generally avoided in written publications.
766,"Soft, floral, sweet odor of rather poor tenacity. In the author’s opinion, it is not nearly as useful as Geraniol, although it cannot be compared to Geraniol as any sort of a substitute "
767,"Rather minty, fresh and slightly green odor, reminiscent of that of Pulegol, but more Eucalyptus-like, cool, and not very floral. Diffusive and not very tenacious."
768,"Green-camphoraceous odor, both reminiscent of Ionones, but overall sharper, less sweet."
769,"Tenacious, woody-musky. but rather weak odor, not as sweet as Cyclopentadecanone, but more resembling Cyclohexadecanone."
770,"Tenacious animal, mostly musk-like odor, more woody and less sweet than Cyclopentadecanone (“Exahone”’ )."
771,"Rather sharp-acetic odor, not very characteristic."
772,"Bitter-almond-like, pungent odor with some resemblance to Nitrobenzene."
773,"Damp-earthy, camphoraceous-minty, Walnut- Vetiver-Oakmoss-like, relatively powerful odor of moderate tenacity"
774,Practically odorless.
775,Warm-camphoraceous odor.
776,"Powerful, mint y-camphoraceous, “cool” and “solvent-like” odor, generally described as “unpleasant” (by non-professionals)."
777,"Powerful and diffusive, somewhat gassyminty odor, often deseribed as “industrial” or “chemical”."
778,"Commercial grades of this ketone have an odor which is most often described as “Urinelike’”. It is somewhat ethereal, sweet-solventlike, Acetone-like in purer grade material."
779,"Refreshing green-floral odor of poor tenacity. Mild, yet quite diffusive, overall more sweet-floral than Cyclohexenyl acetaldehyde."
780,"Sweet-fruit y, but rather chemical odor. Often described as similar to Amylacetate, but the odor of Cyclohexyl acetate is sharper, less “candy-like”, less ““natural”’."
781,"Faint, fruity -Orangeblossom-type odor of good tenacity."
782,"Mild, faint, warm-balsamic, floral and somewhat herbaceous odor of good tenacity. The hcrbaceous notes appear as undertones barely perceptible except in compositions with other materials."
783,"Overall fruity, but has a nondescript floral note, remotely reminiscent of Phenoxyethyl isobutyrate. The Cyclohexyl butyratc is, however, much more powerful in its odor, and less tenacious."
784,"Powerful, sweet-fruity odor, more etherealdiffusive than Amyl acetate, sweeter, but overall resembling that esler in odor. The background appears almost Oriental-animal or Ambra-like."
785,"Fruity-winey, but somewhat “’metallic” odor of considerable tenacity. Overall resemblance to Pineapple-fruity odors"
786,"Sweet-balsamic, somewhat Almond-like and very tenacious odor. The “Almond-like” note resembles that of Heliotropyl esters with a touch of Bmtzaldehyde-note. The balsamic note resembles that of Benzyl cinnamate."
787,"Woody-camphoraceous, slightly minty and rosy odor, but overall dry and rather “chemical”."
788,"Herbaceous-minty, comparatively sweet odor, overall pleasant and of great tenacity"
789,"Woody-camphoraceous, faintly herbaceous, but rather dry odor."
790,Dry-camphoraceous odor with some (but not much) resemblance to Rose and Patchouli notes.
791,"Very slightly soluble in water, miscible with alcohol and oils. Sweet-fruity, fruit-preserverlike odor."
792,"Oily -herbaceous, grassy and slightly fatty, overall not very pleasant odor."
793,"Powerful and diffusive, refreshing, sweetfloral odor of poor tenacity. It has been classified as “nondescript” and it is true that the material has an odor which is difficult to describe, but it should not be understood as ‘“bland” or “mild”."
794,Pronounced fruity and somewhat floral (Jasmin) odor. Overall sweeter and more tenacious than Benzyl acetate.
795,"Musty-camphoraceous, slightly minty odor, remotely reminiscent of part of the Patchouli odor-picture."
796,"Delicately fruity, Pineapple-Apricot-like odor of good tenacity. Tealike, almost Clary Sage-like undertones."
797,"Fruity, slightly oily, bitter-sharp, rather pungent odor with a pleasant herbaceouswiney undertone."
798,"Fruity -herbaceous, berry-like, slightly camphoraceous odor reminiscent of notes in Geranium and Lavender."
799,"Almost odorless as such, but introduces a mild-herbaceous odor in compositions."
800,"Faint, but tenacious, oily-fruity odor with a green-winey undertone."
801,"Herbaceous-green, very tenacious odor with  sweet-honey-waxy and somewhat Chrysanthe- mum-like notes."
802,Very mild-balsamic. floral odor of moderate to poor tenacity.
803,"Very mild, sweet -balsamic, but rather “flat” odor of moderate to poor tenacity. It is less floral than Hydrocinnamic alcohol, and does not have the rosy character of that material"
804,"Intensely fruit y and sweet odor, somewhat reminiscent of Banana, Pineapple and Peach. Not very tenacious."
805,"Mild and agreeable, slightly fruity and sweet odor."
806,"Fruity, slightly animal, deep-herbaceous odor"
807,"Fruity odor, but less animal than that of the n-Valerate. Tenacious and sweet, more versatile than the n-Valerate."
808,"Powerful, sweet-Ambregis type odor of moderate to good tenacity."
809,"Weak, musky odor"
810,"Delicately animal, musky and sweet, extremely tenacious odor of outstanding uniformity."
811,"Musky, somewhat animal odor, much weaker than that of Cyclopentadecanolide."
812,"Powerful musky odor, very similar to that of MuScone (Methylcyclopentadecanone) and, in the opinion of many perfumers, superior in type and beauty."
813,"Diffusive, gassy, woody, musty odor. Genera[ ly described as unpleasant “industrial”."
814,"Powerful, sweet-herbaceous, diffusive odor of relatively poor tenacity. In high concentration rather gassy and not very pleasant, it develops sweet and agreeable notes upon dilution."
815,"Woody, rather dry odor. Only in extreme dilution will a musky odor appear clearly"
816,"Pleasant, mild-piney, camphoraceouswoody odor of moderate to poor tenacity."
817,"Miid, ethereal-piney, sweet-camphoraceous odor of moderate to poor tenacity."
818,"Commercial grades display a typical “gassy’’- kerosenlikeke odor, while highly purified material smells more citrusy, reminiscent of Lemon and Bergamot topnotes, having more freshness."
819,"Extremely powerful, Orange-1ike, sweet and fresh-citrusy odor, diffusive, yet quite tenacious. The Orange character is more attractive and natural at dilutions below 0.1 ~0, while higher concentrations display fatty-green notes."
820,"Fatty, but sweet and very tenacious odor with a pleasant fruity freshness in extreme dilution."
821,"Oily, but fresh and citrusy odor, somewhat reminiscent of Linalool, but overall of Orange- Bitter Orange, Grapefruit-character."
822,"Peculiar dry, musty, powerful odor, reminiscent of certain notes in Ambergris."
823,"Mild, sweet, slightly camphoraceous-woody, also warm and mildly spicy odor of fair tenacity. The odor has been compared to that of Dihydrocarveol, but such description does not help many perfumers,"
824,"Semi-dry, musty-woody odor with a remote resemblance to notes in Ambergris. However, the olfactory picture is very incomplete and the tenacity very poor - compared to Ambergris products."
825,"Sweet-fruity, slightly oily and floral odor of Jasmin type."
826,"Sweet-woody, musty and slightly green odor of moderate tenacity. The Sandalwood-like notes, for which this ester is still appreciated, appear most conspicuously in dilutions of less than 10% of this ester with significant amounts of mild, sweet and woody blenders."
827,"Refined, oily-peachy and extraordinarily tenacious odor. More Peach-like, less Nut-like than Nonanolide-1,4."
828,"Very powerful and very tenacious, sweet creamy, Nut-1ike odor with a heavy fruity undertone. The undiluted material displays a rather coumarinic sharpness in its topnote, but at concentrations of O.10; or lower, it seems to grow in volume, sweetness and oilycreamy softness."
829,"Semi-dry, tenacious odor resembling part of the Ambregris-picture, also woody, remotely reminiscent of Sandalwood. Odor variations are observed in materials from different sources of supply."
830,"Mild, sweet and faintly musky odor of considerable tenacity."
831,"Sweet and rather fresh, musky odor of good tenacity."
832,"Penetrating and very powerful, sweet-waxy, Orange-peel-like odor. In extreme dilution refreshing, Citrus-peel-like."
833,"Fresh-citrusy, green-oily odor with more or less pronounced aldehydic undertone, according to the chemical purity of the Acetal."
834,"Green-fruity, Citrus-waxy odor."
835,"Powerful odor, mainly of Orangeblossomtype, overall floral, but with perceptible notes from the parent materials. Very tenacious."
836,"Very faint, sweet-musty odor."
837,"Woody-camphoraceous, but also floral odor of good tenacity. The odor may appear sweet to some observers, rather dry to others. It is conceivable that the commercial material, only occasionally offered, is not a pure, single chemical."
838,"Powerful, somewhat musty-fatty, Walnutlike odor, with a vague resemblance to alifatic Aldehydes in its diffusive power and radiant odor."
839,"Rather unpleasant, sour-fatty, “rancid” odor."
840,"Sweet, slightly fatty-oily odor, waxy and floral, mainly rosy, also reminiscent of Lily and Orangeblossom, but fresher, in the same way as CitroneIlol is fresh."
841,"Very powerful, waxy-Orange-like, sweet- “aldehydic” odor of fair tenacity and high diffusive power."
842,"Powerful, waxy-harsh odor when undiluted, almost Stearin-like unpleasant fatty. Sweet, refreshingly fruit y and slightly oily-waxy"
843,"Powerful, fatty-oily, waxy-rosy odor of considerable tenacity. The rosy notes are particularly conspicuous in dilutions, best at 1% or lower, while higher concentrations bring about more waxy-oily notes."
844,"Powerful and very diffusive, fatty-buttey, oily-Nut-like odor of considerable tenacity. Sweeter and less fatty than Decalactone."
845,"Pleasant, oily-rosy, Rose-petal-like odor of considerable diffusive power and tenacity."
846,"Delicately floral-oily, sweet and slightly fruity odor with rosy overtones and ~soft, but tenacious Ambrette-seed-like background."
847,"Sweet fatty-fruity odor of Pineapple-Orange- like character, and rosy waxy undertones."
848,"Fresh-citrusy, rosy-sweet odor, somewhat reminiscent of Linalyl acetate, not quite as sweet, and rather fresher."
849,"Very tenacious, but comparatively mild, herbaceous-earthy odor with a musky note."
850,"Sweet, oily-fruity, Apricot-like taste with a slightly floral note. In spite of apparent power, its taste is rather bland, nondescript fruit>."
851,"Mild, oily-herbaceous odor of good tenacity"
852,Fresh-unctuous odor with undertones.
853,"Weak, oily, sweet-fatty, remotely fruity and very tenacious odor."
854,"Oily-herbaceous, sweet odor with some resemblance to Opopanax and Heracleum fruits"
855,"Almost odorless when pure, but is capable of introducing pleasant oily -herbaceous and very tenacious notes in compositions"
856,"Mild, oily-ethereal, faintly herbaceous odor of good tenacity."
857,"Faint, oily-rosy odor of considerable tenacity. The odor of the undiluted material is not really pleasant, but the effect of the Decylether in perfume compositions can be quite attractive."
858,"Light, fruity, almost sharp odor with floral, Honey suckle-Orangeblossom character. Its floral notes are accompanied by a heavy proportion of leafy, deep-green notes."
859,"Powerful, floral-green, very diffusive, yet tenacious odor, reminiscent of Rose petals, Lily, Muguet, Peony, etc., but overall greener than the straight florals."
860,"Very mild, oily-waxy odor. Virtually odorless when pure"
861,"Orange-like, oily-fruity, also floral andwiney, Grape-like odor of good tenacity."
862,"Mild, sweet and very tenacious floral odor, remotely reminiscent of Rose or Peony, but with somewhat herbaceous undertone."
863,"Fatty -aldehydic, musky, sweet and pleasant odor, somewhat reminismnt of certain notes in Ambrette seed."
864,"Warm-herbaceous, somewhat winey-caramellic odor of modest tenacity."
865,"Faint, fresh-oily odor. This could possibly be notes from traces of surplus Decanol in the ester."
866,"Ethereal, oily-fruity, faintly Apple-like odor, also reminiscent of the fatty notes in Pineapple."
867,"Refreshing, citrusy-waxy, light and floral (mainly rosy) fragrance of moderate tenacityj but good radiation."
868,"Very powerful, sweet, green-floral and somewhat tobacco-herbaceous odor of good tenacity. In extreme dilution reminiscent of the odor of Safran (Saffron)."
869,This chemical constitutes a trace impurity in commercial lots of synthetic Linalool
870,Mainly used as a solvent in flavor compositions. Practically no use in perfumery.
871,"Very powerful and diffusive, pungent, buttery odor. Chlorine-Quinone-like in high concentration, oily-buttery in extreme dilution."
872,used in flavors
873,"Pungent odor, not truly reminiscent of Garlic, but heavier, more “sulfide-like”, obnoxious odor."
874,"Pungent odor, reminiscent of Radish"
875,"Powerful, penetrating Garlic-Radish-like odor of poor tenacity. Not a lachrymator, but does produce some irritation of eyes and mucous membranes."
876,"Ethereal, but not winey, rather solvent-like, unnatural odor with sweet undertone of re-motely fruity character."
877,"Powerful and diffusive odor with peculiar dry-floral, almost tarry-medicinal odor in high concentration, pleasant floral and almost sweet in extreme dilution."
878,"Faint, sweet odor of Anisaldehyde character, but much weaker. Certain commercial lots have “Almond” odor,"
879,"Sweet, but rathtr faint, fruity -almondy odor of considerable tenacity"
880,"Swset, floral-animal, musky typs of odor wi:h good tsnacity, Harsher and less tenacious than .Musk Ambrette and Musk Ketone, but has an ov:rall resemblance to the Nitromusks."
881,Oilyj Coconut-buttery odor of considerable tenacity. In suitable dilution (best about 5 ppm in sweetened milk) it displays a pleasant creamy-Coconut-like taste.
882,It is described as having a Geranium-Rose type odor.
883,The above chemical is desmibsd as having a Geranium-Rose type odor with a Honeylike note
884,"Sweet-herbaceous, warm and fungoid, but pleasant odor of moderate tenacity."
885,"Oily fruily, somew hat harsh odor u ith some resemblance to Banana and Passionfruit."
886,pleasant Ambre-musky type of odor itself
887,Sweet Oakmoss-like penetrating odor with floral undertones.
888,"Fruity, but very mild and oily odor of considerable tenacity. To some people it appears vifiually odorless."
889,Very useful as a natural green topnote in Geranium and Violet bases.
890,"Oily-sweet, buttery taste, often with a slightly cheesy note."
891,"Sharp and pungent, fruity-buttery odor, sharper, fruitier and sweeter than that of the Di-n-butyryl, not as cheese-like."
892,"Extremely powerful, diffusive, gassy-fruity odor. In very high dilution pleasantly Applelike with a rose-like sweetness."
893,Penetrating and repulsive “Skunk” odor.
894,"Sweet, mild-aromatic, but rather “chemical” odor."
895,"Sweet ethereal odor of moderate to poor tenacity. Its fruity notes are pleasant, but not characteristic of any particular fruit."
896,"Very powerful and diffusive, fresh, vegetable-green odor, sometimes classified as “’Ozone-like”’ or Melon-like. Its odor has also been compared to that of fresh sap from wood or bark"
897,Sweet and rather mild Bitter-Almond type odor with herbaceous-haylike undertone.
898,"Green-floral, slightly oily and rather heavyodor of good tenacity."
899,"In any event, this chemical is included in the present work in order to describe one rare group of chemicals of possible interest to the perfumer."
900,"Camphoraceous-rosy, rather faint odor. overalI more crude and harsh than that of Citronellol."
901,"Quite powerful, fruity, Pear-like odor."
902,"This chemical serves mostly as a solvent for perfume materials, but it is not quite odorless and therefore not as desirable as Diethylphthalate. Toxic"
903,"Faint, ethereal odor with a musty undertone,"
904,"Faint, rather dry-musty, somewhat ethereal odor, not exactly pleasant."
905,"Very diffusive, sweet-ethereal odor. Actually a poor odorant, it gives impression of power by its very high vapor pressure at room temperature"
906,"Very faint, winey-ethereal odor."
907,"Mild, winey-fruity odor with a pleasant oily-herbaceous undertone, overall reminiscent of the odor of Apple skins (peel)."
908,Presumably not usedin perfume compositions.
909,"Sweet, soft and pleasant fruity-green, slightly balsamic odor, reminiscent of Apples."
910,"Pleasant, light, ethereal odor of good diffusive action and poor tenacity."
911,"Weak, somewhat musky odor, slightly herbaceous and Mushroom-like."
912,\’irtually odorless when pure
913,"Faint, but pleasant, winey-fruity odor, resembling that of Quince and Melon."
914,"Faint, pleasant odor, remotely winey-ethereal. The odor type is somewhat similar to that of Ethyl benzoate, but of much less power. Burning taste in high concentration, mildly tart-fruity upon dilution."
915,"Very faint, winey odor."
916,"Powerful and diffusive, sweet-herbaceous, caramellic odor of very poor tenacity"
