Index,Name,CAS
PC000589,Aniline,62-53-3
PC000588,Nicotinuric acid,583-08-4
PC000587,Chlorogenic acid,327-97-9
PC000586,Benzyl alcohol,100-51-6
PC000585,Indole-beta-carboxylic acid,771-50-6
PC000584,Biocytin,576-19-2
PC000583,3-Aminoisobutanoic acid,144-90-1
PC000582,5-Aminopentanoic acid,660-88-8
PC000581,Dimethyl sulfone,67-71-0
PC000580,L-2-Hydroxyglutaric acid,13095-48-2
PC000579,Deacetyldiltiazem,42399-40-6
PC000578,Tiglylglycine,35842-45-6
PC000577,Isodulcitol,3615-41-6
PC000576,Phenylacetylglycine,500-98-1
PC000575,2-Hydroxyadenine,3373-53-3
PC000574,Octadecanedioic acid,871-70-5
PC000573,Chlorpheniramine,113-92-8
PC000572,Medroxyprogesterone,520-85-4
PC000571,Lisinopril,83915-83-7
PC000570,Salbutamol,18559-94-9
PC000569,Doxylamine,562-10-7
PC000568,Warfarin,81-81-2
PC000567,Nicotine,54-11-5
PC000566,Alendronic acid,66376-36-1
PC000565,Azythromycin,83905-01-5
PC000564,Frusemide,54-31-9
PC000563,Metoprolol,37350-58-6
PC000562,gamma-CEHC,178167-75-4
PC000561,Ranitidine,66357-59-3
PC000560,Levofloxacin,100986-85-4
PC000559,Hydrochlorothiazide,58-93-5
PC000558,Ibuprofen,15687-27-1
PC000557,Atenolol,29122-68-7
PC000556,Naproxen,22204-53-1
PC000555,Clotrimazole,23593-75-1
PC000554,Dextromethorphan,125-71-3
PC000553,Famotidine,76824-35-6
PC000552,Phenylpropanolamine,14838-15-4
PC000551,Brompheniramine,86-22-6
PC000550,Triamterene,396-01-0
PC000549,Pseudoephedrine,90-82-4
PC000548,Cotinine,486-56-6
PC000547,3-Methylxanthine,1076-22-8
PC000546,Glycylproline,704-15-4
PC000545,Udp-glucose,133-89-1
PC000544,"3-Oxobutanoic acid, 9CI",541-50-4
PC000543,D-Glucose 1-dihydrogen phosphate,59-56-3
PC000542,Inosinic acid,131-99-7
PC000541,3-Chlorotyrosine,7423-93-0
PC000540,"(1R,2S)-Isocitric acid",6061-97-8
PC000539,2-Methylpropanoic acid,79-31-2
PC000538,N-Acetylglutamic acid,1188-37-0
PC000537,Etiocholanolone,53-42-9
PC000536,Aminocaproic acid,60-32-2
PC000535,Ribonolactone,5336-08-3
PC000534,Cytidine 5'-triphosphate,65-47-4
PC000533,Valproic acid,99-66-1
PC000532,Protocatechuic acid,99-50-3
PC000531,2-Isopropyl-5-methylphenol,89-83-8
PC000530,Imidazole,288-32-4
PC000529,Salicylic acid,69-72-7
PC000528,Trigonelline,535-83-1
PC000527,Theophylline,58-55-9
PC000526,Aspartame,22839-47-0
PC000525,alpha-Tocopherol,59-02-9
PC000524,Menadione,58-27-5
PC000523,4-Aminohippuric acid,61-78-9
PC000522,5-Aminolevulinic acid,106-60-5
PC000521,Spermine,71-44-3
PC000520,"3,4-Dihydroxymandelic acid",775-01-9
PC000519,Paraxanthine,611-59-6
PC000518,Galactonic acid,13382-27-9
PC000517,Anserine,584-85-0
PC000516,Acetaminophen,103-90-2
PC000515,5-Hydroxytryptophol,154-02-9
PC000514,2-Ketohexanoic acid,2492-75-3
PC000513,Epicatechin,490-46-0
PC000512,2-Hydroxybutyric acid,600-15-7
PC000511,Benzoic acid,65-85-0
PC000510,Acetaldehyde,75-07-0
PC000509,Propylene glycol,57-55-6
PC000508,Acetone,67-64-1
PC000507,Methanol,67-56-1
PC000506,Glycerol,56-81-5
PC000505,Acetic acid,64-19-7
PC000504,NADH,58-68-4
PC000503,Lipoic acid,1200-22-2
PC000502,3-Methylhistamine,644-42-8
PC000501,"1,3-Dimethyluric acid",944-73-0
PC000500,Epietiocholanolone,571-31-3
PC000499,3-(1H-Indol-3-yl)-2-propenoic acid,1204-06-4
PC000498,Retinoic acid,302-79-4
PC000497,Hydroxypropionic acid,503-66-2
PC000496,Nutriacholic acid,4651-67-6
PC000495,Cysteine glutathione disulfide,13081-14-6
PC000494,Allocholic acid,2464-18-8
PC000493,5-Methyl-delta-valerolactone,823-22-3
PC000492,Cinnamic acid,621-82-9
PC000491,Verapamil,52-53-9
PC000490,Propranolol,525-66-6
PC000489,Imipramine,50-49-7
PC000488,Caffeine,58-08-2
PC000487,1-Aminocyclopropanecarboxylic acid,22059-21-8
PC000486,Coproporphyrin I,531-14-6
PC000485,Serotonin,50-67-9
PC000484,3'-Sialyllactose,35890-38-1
PC000483,Traumatic acid,6402-36-4
PC000482,DL-DOPA,63-84-3
PC000481,Sulfolithocholic acid,34669-57-3
PC000480,Androstanediol,25126-76-5
PC000479,"5a-Androstane-3b,17b-diol",571-20-0
PC000478,Methylsuccinic acid,498-21-5
PC000477,Fructose 6-phosphate,643-13-0
PC000476,3b-Hydroxy-5-cholenoic acid,5255-17-4
PC000475,3-Hexenedioic acid,29311-53-3
PC000474,N-Acetylglucosamine,7512-17-6
PC000473,2-Hydroxyphloretic acid,306-23-0
PC000472,DL-Leucic acid,498-36-2
PC000471,Quinaldic acid,93-10-7
PC000470,gamma-Butyrolactone,96-48-0
PC000469,Methylglutaric acid,626-51-7
PC000468,(E)-Aconitic acid,4023-65-8
PC000467,Sepiapterin,17094-01-8
PC000466,16alpha-Hydroxyestrone,566-76-7
PC000465,2-Hydroxyestradiol,362-05-0
PC000464,L-3-Phenyllactic acid,20312-36-1
PC000463,Sulfite,14265-45-3
PC000462,Phosphorylcholine,3616-04-4
PC000461,beta-Carotene,7235-40-7
PC000460,Taurodeoxycholic acid,516-50-7
PC000459,Thiosulfate,14383-50-7
PC000458,3-Hydroxyisovaleric acid,625-08-1
PC000457,Nicotinamide ribotide,1094-61-7
PC000456,Lactulose,4618-18-2
PC000455,(all-E)-Squalene,111-02-4
PC000454,Squalene,7683-64-9
PC000453,Glucosamine 6-sulfate,91674-26-9
PC000452,Cortexolone,152-58-9
PC000451,Dimethylglycine,1118-68-9
PC000450,D-Gluconic acid,526-95-4
PC000449,Methylhippuric acid,1205-08-9
PC000448,Sphinganine,764-22-7
PC000447,Mevalonic acid,150-97-0
PC000446,Tetrahydrofolic acid,135-16-0
PC000445,Isocitric acid,320-77-4
PC000444,Threonic acid,3909-12-4
PC000443,17-Epiestriol,1228-72-4
PC000442,PA(16:0/16:0),7091-44-3
PC000441,"Thymidine 3',5'-cyclic monophosphate",6453-60-7
PC000440,Aminopterin,54-62-6
PC000439,Vanillic acid,121-34-6
PC000438,m-Coumaric acid,588-30-7
PC000437,Guanidine,50-01-1
PC000436,Glucosamine,3416-24-8
PC000435,Progesterone,57-83-0
PC000434,L-Tartaric acid,87-69-4
PC000433,Tartaric acid,133-37-9
PC000432,3-Hydroxymandelic acid,17119-15-2
PC000431,Uroporphyrin I,607-14-7
PC000430,NADPH,53-57-6
PC000429,DL-O-Phosphoserine,17885-08-4
PC000428,Pyridoxal,66-72-8
PC000427,Oxypurinol,2465-59-0
PC000426,N-Acetyl-L-tyrosine,537-55-3
PC000425,L-Homocysteine,454-29-5
PC000424,Kynurenine,343-65-7
PC000423,Levothyroxine,51-48-9
PC000422,Indoxyl sulfate,487-94-5
PC000421,gamma-Glutamyl-cysteine,636-58-8
PC000420,L-Homocystine,626-72-2
PC000419,Epitestosterone,481-30-1
PC000418,D-Ribulose,488-84-6
PC000417,2-Hydroxyestrone,362-06-1
PC000416,Deoxycholic acid glycine conjugate,360-65-6
PC000415,4-Pyridoxic acid,82-82-6
PC000414,5-Hydroxy-L-tryptophan,4350-09-8
PC000413,Dihydrothymine,696-04-8
PC000412,Ethylmalonic acid,601-75-2
PC000411,Galactaric acid,526-99-8
PC000410,Pentanoic acid,109-52-4
PC000409,1-Propanol,71-23-8
PC000408,Cytidine,65-46-3
PC000407,D-Ribose,613-83-2
PC000406,5-Hydroxymethyl-4-methyluracil,147-61-5
PC000405,"4,5-Dihydroorotic acid",155-54-4
PC000404,2-Hydroxy-2-methylbutanedioic acid,597-44-4
PC000403,Tetrahydrocortisone,53-05-4
PC000402,3-Methyl-2-oxopentanoic acid,1460-34-0
PC000401,Cysteine-S-sulfate,1637-71-4
PC000400,Hydroxyoctanoic acid,617-73-2
PC000399,Maltose,69-79-4
PC000398,N-Acetyl-L-aspartic acid,997-55-7
PC000397,Nitrate,14797-55-8
PC000396,Biopterin,22150-76-1
PC000395,Adenylsuccinic acid,19046-78-7
PC000394,CE(16:1(9Z)),16711-66-3
PC000393,beta-D-Glucuronic acid,6556-12-3
PC000392,(S)-3-Hydroxybutyric acid,6168-83-8
PC000391,2-Hydroxy-3-methylbutyric acid,4026-18-0
PC000390,L-2-Aminobutanoic acid,1492-24-6
PC000389,"3-(3,4-Dihydroxyphenyl)propanoic acid",1078-61-1
PC000388,L-Saccharopine,997-68-2
PC000387,N6-Acetyl-L-lysine,692-04-6
PC000386,Glycerol tridecanoate,621-71-6
PC000385,Dicrotalic acid,503-49-1
PC000384,Epiandrosterone,481-29-8
PC000383,N-(2-Hydroxybenzoyl)glycine,487-54-7
PC000382,Porphobilinogen,487-90-1
PC000381,3-Furoic acid,488-93-7
PC000380,Ureidopropionic acid,462-88-4
PC000379,5beta-Coprostanol,360-68-9
PC000378,Pregnenolone,145-13-1
PC000377,Ethyl heptanoate,106-30-9
PC000376,Propanoic acid,79-09-4
PC000375,L-Lactic acid,79-33-4
PC000374,Aldosterone,52-39-1
PC000373,2-Propanol,67-63-0
PC000372,L-Leucic acid,13748-90-8
PC000371,L-Kynurenine,2922-83-0
PC000370,Phenyllactic acid,828-01-3
PC000369,(Z)-Aconitic acid,585-84-2
PC000368,Dihydrouracil,504-07-4
PC000367,Cellobiose,528-50-7
PC000366,D-Xylulose,551-84-8
PC000365,3-Phenylpropanoic acid,501-52-0
PC000364,Quinolinic acid,89-00-9
PC000363,Sphingosine,123-78-4
PC000362,Cyanocobalamin,68-19-9
PC000361,Estrone,53-16-7
PC000360,Elaidic acid,112-79-8
PC000359,Glucaric acid,25525-21-7
PC000358,PC(16:0/16:0),63-89-8
PC000357,Citraconic acid,498-23-7
PC000356,L-Arabinose,5328-37-0
PC000355,5-Dodecenoic acid,2430-94-6
PC000354,N-Acetyl-L-phenylalanine,2018-61-3
PC000353,O-Phosphoethanolamine,1071-23-4
PC000352,Pentadecanoic acid,1002-84-2
PC000351,2-Hydroxycaproic acid,6064-63-7
PC000350,2-Oxobutanoic acid,600-18-0
PC000349,3-Hydroxyphenylacetic acid,621-37-4
PC000348,2-Methylglutaric acid,617-62-9
PC000347,3-Hexanone,589-38-8
PC000346,Allocystathionine,535-34-2
PC000345,16beta-Hydroxyestradiol,547-81-9
PC000344,Lithocholic acid,434-13-9
PC000343,2-Methoxyestradiol,362-07-2
PC000342,Dodecanoic acid,143-07-7
PC000341,N-Acetylneuraminic acid,131-48-6
PC000340,Estriol,50-27-1
PC000339,(R)-Norepinephrine,51-41-2
PC000338,Androsterone,53-41-8
PC000337,Deoxycorticosterone,64-85-7
PC000336,Vitamin D3,67-97-0
PC000335,Biotin,58-85-5
PC000334,Succinylacetone,51568-18-4
PC000333,L-Arabitol,7643-75-6
PC000332,Monoethyl malonic acid,1071-46-1
PC000331,L-Fucose,2438-80-4
PC000330,2'-Deoxyinosine,890-38-0
PC000329,Methylmalonic acid,516-05-2
PC000328,Trimethylamine,75-50-3
PC000327,Isoxanthopterin,529-69-1
PC000326,L-Phosphoserine,407-41-0
PC000325,Guanidoacetic acid,352-97-6
PC000324,L-5-Oxo-2-pyrrolidinecarboxylic acid,98-79-3
PC000323,D-Mannitol,69-65-8
PC000322,D-Fructose,53188-23-1
PC000321,Trimethylamine oxide,1184-78-7
PC000320,PC(18:1(9Z)/18:1(9Z)),68737-67-7
PC000319,Phytanic acid,14721-66-5
PC000318,Dihydrobiopterin,6779-87-9
PC000317,2-Furoylglycine,5657-19-2
PC000316,5-Hydroxymethyluracil,4433-40-3
PC000315,(-)-2-Hydroxy-2-isopropylbutanedioic acid,3237-44-3
PC000314,3-Methyladipic acid,3058-01-3
PC000313,Cholesterol sulfate,1256-86-6
PC000312,4-Phenylbutanoic acid,1821-12-1
PC000311,N-Acetylgalactosamine,1811-31-0
PC000310,Normetanephrine,97-31-4
PC000309,Dodecanedioic acid,693-23-2
PC000308,2-Hydroxyphenylacetic acid,614-75-5
PC000307,Isoferulic acid,537-73-5
PC000306,D-Arabitol,488-82-4
PC000305,Oxalacetic acid,328-42-7
PC000304,"2,3-Dihydroxybenzoic acid",303-38-8
PC000303,2-Phenylbutyric acid,90-27-7
PC000302,Androstenedione,63-05-8
PC000301,Homoveratric acid,93-40-3
PC000300,Hyodeoxycholic acid,83-49-8
PC000299,"(Z,Z)-9,12-Octadecadienoic acid",60-33-3
PC000298,Epiestradiol,57-91-0
PC000297,5'-Guanylic acid,85-32-5
PC000296,dGTP,2564-35-4
PC000295,dATP,1927-31-7
PC000294,L-Norleucine,327-57-1
PC000293,Ethenodeoxyadenosine,68498-25-9
PC000292,N-Acetyl-L-cysteine,616-91-1
PC000291,Riboflavine 5'-(dihydrogen phosphate),146-17-8
PC000290,Hypotaurine,300-84-5
PC000289,FAD,146-14-5
PC000288,N-Acetyllactosamine,32181-59-2
PC000287,protoporphyrin IX,
PC000286,Protoporphyrin,553-12-8
PC000285,Pyridoxal 5'-phosphate,54-47-7
PC000284,Acetamide,60-35-5
PC000283,DL-2-Aminooctanoic acid,644-90-6
PC000282,Nicotinic acid,59-67-6
PC000281,Octane,111-65-9
PC000280,Ursodeoxycholic acid,128-13-2
PC000279,"3,5-Diiodothyronine",534-51-0
PC000278,Argininosuccinic acid,2387-71-5
PC000277,Pregnenolone sulfate,1247-64-9
PC000276,3-Hydroxydodecanoic acid,1883-13-2
PC000275,Erythroneopterin,2009-64-5
PC000274,Hematoporphyrin IX,14459-29-1
PC000273,2'-Deoxyguanosine 5'-monophosphate,902-04-5
PC000272,Methylguanidine,471-29-4
PC000271,Purine,120-73-0
PC000270,Pyridoxamine,85-87-0
PC000269,11alpha-Hydroxyprogesterone,312-90-3
PC000268,SM(d18:1/18:0),85187-10-6
PC000267,(R)-3-Hydroxybutyric acid,625-72-9
PC000266,L-Cystathionine,56-88-2
PC000265,Nonanoic acid,112-05-0
PC000264,Diaminopimelic acid,583-93-7
PC000263,Pterin,2236-60-4
PC000262,gamma-Tocopherol,1406-66-2
PC000261,Liothyronine,6893-02-3
PC000260,Vanillylmandelic acid,55-10-7
PC000259,Homogentisic acid,451-13-8
PC000258,Tiglic acid,80-59-1
PC000257,L-Carnosine,305-84-0
PC000256,3-Aminopropanoic acid,107-95-9
PC000255,Tricosanoic acid,2433-96-7
PC000254,6-Phosphogluconic acid,921-62-0
PC000253,Thymidine 5'-triphosphate,365-08-2
PC000252,4-Aminobenzoic acid,150-13-0
PC000251,Uridine diphosphate-N-acetylglucosamine,528-04-1
PC000250,"D-Fructose 1,6-bisphosphate",488-69-7
PC000249,Phosphoenolpyruvic acid,138-08-9
PC000248,N-Alpha-acetyllysine,1946-82-3
PC000247,Octanal,124-13-0
PC000246,Glycerol 1-monophosphate,57-03-4
PC000245,Guanosine triphosphate,86-01-1
PC000244,7-Methylguanosine,20244-86-4
PC000243,Guanosine diphosphate,146-91-8
PC000242,Putrescine,110-60-1
PC000241,2-Phenylaminoadenosine,53296-10-9
PC000240,2-Octenoic acid,1577-96-4
PC000239,L-Cysteine,52-90-4
PC000238,Retinol,68-26-8
PC000237,"Adenosine 3',5'-diphosphate",1053-73-2
PC000236,Ribothymidine,1463-10-1
PC000235,L-Acetylcarnitine,3040-38-8
PC000234,Hexadecanedioic acid,505-54-4
PC000233,Cholestenone,601-57-0
PC000232,4-Methyl-2-oxopentanoic acid,816-66-0
PC000231,5alpha-Cholestanone,566-88-1
PC000230,Homocitrulline,1190-49-4
PC000229,Ergosterol,57-87-4
PC000228,Adenosine monophosphate,61-19-8
PC000227,7-Dehydrocholesterol,434-16-2
PC000226,4-Hydroxyphenylacetic acid,156-38-7
PC000225,4-Methylpentanoic acid,646-07-1
PC000224,alpha-Hydroxyisobutyric acid,594-61-6
PC000223,Epi-coprostanol,516-95-0
PC000222,L-Lysine,56-87-1
PC000221,Pyrrolidonecarboxylic acid,4042-36-8
PC000220,2-Methyl-3-ketovaleric acid,14925-93-0
PC000219,Undecanedioic acid,1852-04-6
PC000218,Cortisol,50-23-7
PC000217,Dehydroepiandrosterone,53-43-0
PC000216,5-Hydroxyindole-3-acetic acid,54-16-0
PC000215,Arginine,74-79-3
PC000214,Tryptamine,61-54-1
PC000213,3' 5'-cyclic AMP,60-92-4
PC000212,Dopamine,62-31-7
PC000211,3-Methyl-2-butenoic acid,541-47-9
PC000210,L-DOPA,59-92-7
PC000209,Inosine triphosphate,132-06-9
PC000208,Glucose 6-phosphate,56-73-5
PC000207,5-Methylcytidine,2140-61-6
PC000206,Corticosterone,50-22-6
PC000205,3-Methoxy-4-hydroxyphenylacetic acid,306-08-1
PC000204,16-Dehydroprogesterone,1096-38-4
PC000203,"3,4-Dihydroxyphenylacetic acid",102-32-9
PC000202,6-Hydroxydopamine,1199-18-4
PC000201,Testosterone,58-22-0
PC000200,L-Alloisoleucine,1509-34-8
PC000199,Iodotyrosine,70-78-0
PC000198,"4-Methyl-1,2-benzenediol",452-86-8
PC000197,Deoxyadenosine monophosphate,653-63-4
PC000196,Indolelactic acid,1821-52-9
PC000195,3-Methyl-L-histidine,368-16-1
PC000194,Androstanedione,846-46-8
PC000193,CE(16:0),601-34-3
PC000192,Pyridine,110-86-1
PC000191,CE(18:1(9Z)),303-43-5
PC000190,Acetylcholine(1+),51-84-3
PC000189,Acetylcholine,51-84-3
PC000188,"1,2-Benzenediol",120-80-9
PC000187,Glyceraldehyde,56-82-6
PC000186,Hemin,16009-13-5
PC000185,S-(5'-Adenosyl)-L-homocysteine,979-92-0
PC000184,Histamine,51-45-6
PC000183,Behenic acid,112-85-6
PC000182,Adenosine triphosphate,56-65-5
PC000181,Glucosan,498-07-7
PC000180,7-Ketocholesterol,566-28-9
PC000179,"1,3-Diaminopropane",109-76-2
PC000178,6-Dimethylaminopurine,938-55-6
PC000177,Nonadecanoic acid,646-30-0
PC000176,D-Glucose,50-99-7
PC000175,Glycyl-L-leucine,869-19-2
PC000174,Deoxyadenosine,958-09-8
PC000173,"CE(18:2(9Z,12Z))",604-33-1
PC000172,Deoxycytidine,951-77-9
PC000171,NADP,53-59-8
PC000170,L-Citrulline,372-75-8
PC000169,2'-Deoxyguanosine,961-07-9
PC000168,beta-N-Acetylglucosamine,14131-68-1
PC000167,Ethanol,64-17-5
PC000166,(R)-Pantothenic acid,79-83-4
PC000165,Pantothenic acid,79-83-4
PC000164,Ammonia,7664-41-7
PC000163,2-Butanone,78-93-3
PC000162,Dimethylamine,124-40-3
PC000161,Formic acid,64-18-6
PC000160,Oleic acid,112-80-1
PC000159,Monomethyl glutaric acid,1501-27-5
PC000158,Hippuric acid,495-69-2
PC000157,Bilirubin,635-65-4
PC000156,Acetylglycine,543-24-8
PC000155,3-Hydroxybutanoic acid,300-85-6
PC000154,Hexanedioic acid,124-04-9
PC000153,Ureidosuccinic acid,13184-27-5
PC000152,17-Hydroxyprogesterone,68-96-2
PC000151,Tetradecanoic acid,544-63-8
PC000150,L-1-Methylhistidine,332-80-9
PC000149,Cholestanol,80-97-7
PC000148,trans-Cinnamic acid,140-10-3
PC000147,erythro-5-Hydroxy-L-lysine,1190-94-9
PC000146,Octadecanoic acid,57-11-4
PC000145,beta-Sitosterol,83-46-5
PC000144,Homocarnosine,3650-73-5
PC000143,3-Methoxytyramine,554-52-9
PC000142,Aminoadipic acid,542-32-5
PC000141,Deoxyuridine,951-78-0
PC000140,Hypoxanthine,68-94-0
PC000139,thymidine,50-89-5
PC000138,Thymine 2-desoxyriboside,50-89-5
PC000137,Estradiol,50-28-2
PC000136,ethanolamine,141-43-5
PC000135,2-Aminoethanol,141-43-5
PC000134,Choline,62-49-7
PC000133,Thiamine monochloride,59-43-8
PC000132,Thiamine,70-16-6
PC000131,Glycogen,9005-79-2
PC000130,Malic acid,6915-15-7
PC000129,L-Isoleucine,73-32-5
PC000128,Guanosine,118-00-3
PC000127,Cytosine,71-30-7
PC000126,Glycocholic acid,475-31-0
PC000125,Melibiose,585-99-9
PC000124,4-Aminobutyric acid,56-12-2
PC000123,2-Oxopentanedioic acid,328-50-7
PC000122,Orotic acid,65-86-1
PC000121,Na-L-Aspartyl-L-phenylalanine,13433-09-5
PC000120,N-Acetyl-L-alanine,97-69-8
PC000119,Cytidine 5'-(dihydrogen phosphate),63-37-6
PC000118,D-Galactose,59-23-4
PC000117,Fujiglucon,90-80-2
PC000116,Guanine,73-40-5
PC000115,Citric acid,77-92-9
PC000114,Cholesterol,57-88-5
PC000113,L-Tryptophan,73-22-3
PC000112,L-Threonine,72-19-5
PC000111,Glycine,56-40-6
PC000110,Succinic acid,110-15-6
PC000109,Decanoic acid,334-48-5
PC000108,Sucrose,57-50-1
PC000107,4-Oxopentanoic acid,123-76-2
PC000106,D-Glucitol,50-70-4
PC000105,Azelaic acid,123-99-9
PC000104,Methylacetoacetic acid,105-45-3
PC000103,L-Alanine,56-41-7
PC000102,Indole,120-72-9
PC000101,Methylamine,74-89-5
PC000100,Glutaric acid,110-94-1
PC000099,Gentisic acid,490-79-9
PC000098,2-Furancarboxylic acid,88-14-2
PC000097,Phenylacetic acid,103-82-2
PC000096,Heptanoic acid,111-14-8
PC000095,3-Methylbutanoic acid,503-74-2
PC000094,Sebacic acid,111-20-6
PC000093,L-Histidine,71-00-1
PC000092,L-Malic acid,97-67-6
PC000091,Lactose,63-42-3
PC000090,Hydroxyacetic acid,79-14-1
PC000089,riboflavin,
PC000088,Riboflavine,83-88-5
PC000087,Urocanic acid,104-98-3
PC000086,(E)-2-Octenoic acid,1871-67-6
PC000085,Glutathione,70-18-8
PC000084,L-Aspartic acid,56-84-8
PC000083,L-Asparagine,70-47-3
PC000082,L-Homoserine,672-15-1
PC000081,L-Proline,147-85-3
PC000080,Hexadecanoic acid,57-10-3
PC000079,DL-Homocystine,870-93-9
PC000078,Epinephrine,51-43-4
PC000077,Stigmasterol,83-48-7
PC000076,Kynurenic acid,492-27-3
PC000075,Ribitol,488-81-3
PC000074,Propanedioic acid,141-82-2
PC000073,2-Oxo-3-phenylpropanoic acid,156-06-9
PC000072,2-Oxo-3-phenylpropanoic acid (Mixture oxo and keto),156-06-9
PC000071,L-Cystine,56-89-3
PC000070,Nicotinamide,98-92-0
PC000069,D-Xylose,58-86-6
PC000068,Tridecanoic acid,638-53-9
PC000067,L-Phenylalanine,63-91-2
PC000066,3-Methyl-1H-indole,83-34-1
PC000065,L-Tyrosine,60-18-4
PC000064,L-Serine,56-45-1
PC000063,Allantoin,97-59-6
PC000062,Pyruvic acid,127-17-3
PC000061,Xanthine,69-89-6
PC000060,Galactitol,608-66-2
PC000059,1-Methylnicotinamide,3106-60-3
PC000058,5-Methoxysalicylic acid,2612-02-4
PC000057,Uridine,58-96-8
PC000056,D-2-Aminobutanoic acid,2623-91-8
PC000055,Deoxycholic acid,83-44-3
PC000054,Uric acid,69-93-2
PC000053,Hydroxykynurenine,484-78-6
PC000052,Xanthosine,146-80-5
PC000051,Tetradecanedioic acid,821-38-5
PC000050,Hexanoic acid,142-62-1
PC000049,Chenodeoxycholic acid,474-25-9
PC000048,Uracil,66-22-8
PC000047,Cholic acid,81-25-4
PC000046,Maleic acid,110-16-7
PC000045,Undecanoic acid,112-37-8
PC000044,Octanedioic acid,505-48-6
PC000043,Glyoxylic acid,298-12-4
PC000042,Pipecolic acid,535-75-1
PC000041,Thymine,65-71-4
PC000040,Glyceric acid,473-81-4
PC000039,Pimelic acid,111-16-0
PC000038,Tyramine,51-67-2
PC000037,Creatinine,60-27-5
PC000036,Adenine,73-24-5
PC000035,L-Homoarginine,156-86-5
PC000034,4-Hydroxyphenylpyruvic acid,156-39-8
PC000033,Myo-Inositol,87-89-8
PC000032,Folic acid,59-30-3
PC000031,Glutamic acid,6899-05-4
PC000030,L-Glutamic acid,56-86-0
PC000029,Adenosine,58-61-7
PC000028,4-Hydroxyproline,51-35-4
PC000027,L-Ascorbic acid,50-81-7
PC000026,Ascorbic acid,50-81-7
PC000025,Xanthurenic acid,59-00-7
PC000024,L-Valine,72-18-4
PC000023,D-Mannose,3458-28-4
PC000022,L-Leucine,61-90-5
PC000021,Urea,57-13-6
PC000020,Pyridoxine,65-23-6
PC000019,Inosine,58-63-9
PC000018,Butanoic acid,107-92-6
PC000017,4-Hydroxybenzoic acid,99-96-7
PC000016,Taurine,107-35-7
PC000015,trans-Ferulic acid,537-98-4
PC000014,2-Aminoisobutyric acid,62-57-7
PC000013,L-carnitine,541-15-1
PC000012,Carnitine,461-06-3
PC000011,Creatine,57-00-1
PC000010,Mandelic acid,90-64-2
PC000009,Ornithine,3184-13-2
PC000008,Octanoic acid,124-07-2
PC000007,1H-Indole-3-acetic acid,87-51-4
PC000006,Fumaric acid,110-17-8
PC000005,L-Methionine,63-68-3
PC000004,Sarcosine,107-97-1
PC000003,Glutaconic acid,1724-02-3
PC000002,Levoglutamide,56-85-9
PC000001,Betaine,107-43-7
